,"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
0,,,57.89982062,377640.0,110.0,0.143734483,75.73715249,8988.0175,91.56626506,3803.225,,,,,98.61427973,11.73359091,0.397293297,7653000.0,327.0,3256395.77,1285.7,59.18,65.35473572,85.80915334,61.41719036,100.0,0.65333856,79.69,1.852781994,12084.4,652230.0,2532871.0,115.17,0.170185364,,,,15027717.0,78.014,3.961296941,,652860.0
1,,,57.94581666,377940.0,110.0,0.14317324,72.80453258,7712.14,90.33149171,3273.8578,,,,,98.60620134,11.77958696,0.393133453,7683000.0,327.0,1940000.0,806.3,50.23,65.34796071,86.04109555,61.3878348,100.0,0.650787453,67.78,1.852781994,12084.4,652230.0,2406000.0,98.12,0.170185364,637886.9764,0.0,0.0,15228282.0,77.922,1.325806085,0.0,652860.0
2,,5.66212462,57.94734986,377950.0,102.0,0.13276064,68.58974359,6421.6875,88.81987578,2861.0682,,,,,98.51857617,11.77958696,0.390225182,7683000.0,327.0,2108000.0,1006.7,52.08,65.25418941,86.287865,61.19809683,100.0,2.394897826,61.59,1.852781994,12084.4,652230.0,2094000.0,78.92,0.171718566,,,,15323859.0,77.831,0.625666868,,652860.0
3,,4.61762371,57.93968385,377900.0,161.0,0.209690023,73.19034853,8192.4275,90.0,3334.4114,,,38.62789186,1477787802.0,98.43110659,11.77192095,0.365614591,7678000.0,327.0,3737000.0,1669.8,62.38,63.93161499,84.69267195,59.88563387,104.7515589,3.194390466,74.72,1.852781994,12084.4,652230.0,2238000.0,95.13,0.171718566,,,,16325389.0,77.739,6.331047782,,652860.0
4,2.130410093,7.264280435,58.08380479,378840.0,96.0,0.123520329,73.43205575,8426.6375,90.10416667,3463.505,,,37.41885544,1691686566.0,98.3437922,11.91604189,0.343208451,7772000.0,327.0,4381000.0,1458.0,67.97,63.25609059,83.94584235,59.17913821,166.8225349,3.478546063,76.77,1.852781994,12084.4,652230.0,3004700.0,90.49,0.171718566,,,,17583264.0,77.647,7.422603719,,652860.0
5,7.84279549,5.499894537,58.15126566,379280.0,114.0,0.145854657,72.77486911,8342.655,90.02624672,3427.2086,,,29.72106714,1552895062.0,98.25663257,11.98350275,0.33183956,7816000.0,327.0,3560000.0,1334.8,60.62,62.64062405,83.62479432,58.4635338,170.4664919,4.243778147,74.75,1.852781994,12084.4,652230.0,2667000.0,97.17,0.171718566,,,,18254002.0,77.5,3.743680311,,652860.0
6,15.35564288,5.839069547,58.13440044,379170.0,132.0,0.169122357,72.83633248,8496.705,90.17632242,3575.3444,,,31.11485491,1930134259.0,98.1696273,11.96663754,0.319730406,7805000.0,327.0,5425000.0,1790.4,75.85,61.63717504,82.62592935,57.42101184,190.4829505,3.814784113,83.54,1.852781994,12084.4,652230.0,3030000.0,95.56,0.171718566,,,,18869118.0,77.297,3.314227377,,652860.0
7,19.26482076,6.085465576,58.12366803,379100.0,711.0,0.912240185,58.09267965,8651.66,83.74384236,3402.8918,,,28.63596858,1996430526.0,98.1696273,11.94977232,0.306332475,7794000.0,327.0,4638000.0,1551.7,72.48,60.87190568,81.8760341,56.71325229,141.0156498,3.190854503,77.31,1.852781994,12084.4,652230.0,2989000.0,84.74,0.177851371,,,,19614729.0,77.093,3.875414618,,652860.0
8,25.03639816,5.939758401,58.12980084,379140.0,1011.0,1.297151655,48.61878453,8796.81,78.11764706,3324.4582,,,30.10501136,2934602219.0,98.1696273,11.94977232,0.300888292,7794000.0,327.0,5786000.0,1915.3,82.92,59.8526541,80.65868576,55.78868628,96.49024922,2.101268925,84.65,1.852781994,12084.4,652230.0,3021000.0,86.6,0.183984177,,,,19916271.0,76.887,1.525627223,,652860.0
9,27.95425084,5.77856314,58.13286724,379160.0,171.0,0.219399538,44.20387912,9801.9825,75.1565762,3597.9626,9.894828627,1.476686406,24.89227001,2516433494.0,98.1696273,11.94977232,0.294923423,7794000.0,327.0,3950000.0,1455.4,72.17,59.00253992,79.89182987,54.96800717,94.17926129,1.851684629,79.59,1.852781994,12084.4,652230.0,2714000.0,91.41,0.18705058,,,,20264376.0,76.68,1.732743176,,652860.0
10,36.69450436,4.842282941,58.13286724,379160.0,223.0,0.286154241,,9993.155,,3863.868,7.559672801,,29.29750105,3637622453.0,98.1696273,11.94823912,0.284568656,7793000.0,327.0,6514000.0,2040.7,91.03,56.72268908,77.48913304,52.73826842,108.1295752,1.887862184,92.24,1.852781994,12084.4,652230.0,3192000.0,94.16,0.188583782,,,,20942092.0,76.472,3.289663734,,652860.0
11,30.21880181,5.000395601,58.13440044,379170.0,,,,11514.525,,4273.8564,10.76704582,,26.21006854,4156043681.0,98.1696273,11.94823912,0.276448765,7793000.0,327.0,5957000.0,2011.1,87.58,54.34941986,75.04292833,50.37673629,115.2458825,1.777859618,91.68,1.852781994,12084.4,652230.0,2962000.0,98.06,0.190116983,,,,21498290.0,76.263,2.621229215,,652860.0
12,29.57288091,5.391006198,58.13133404,379150.0,,,,11533.2525,,4369.0078,12.8790088,,23.74366399,4227582729.0,98.1696273,11.94517272,0.266366651,7791000.0,327.0,4681020.0,1659.9,79.35,52.79090999,73.25284942,48.77134314,155.9587823,3.827005519,87.4,1.852781994,12084.4,652230.0,2820000.0,100.53,0.190116983,,,,22244569.0,76.052,3.412449184,,652860.0
13,60.8491566,5.464999736,58.12980084,379140.0,,,,11379.2825,,4398.5098,0.236604474,,24.39087363,4855571680.0,98.1696273,11.94363951,0.255690853,7790000.0,327.0,6582000.0,2094.2,94.49,50.41668839,70.16678674,46.42445642,114.0888766,2.377852375,97.18,1.852781994,12084.4,652230.0,3143000.0,101.31,0.190116983,,,,23105778.0,75.84,3.798482719,,652860.0
14,60.23919772,5.518332894,58.12366803,379100.0,,,,11284.75,,4440.1106,0.036992232,,22.81066274,4595531207.0,98.1696273,11.93597351,0.246819962,7785000.0,327.0,6772235.0,2127.7,93.56,47.69731471,67.55830436,43.41162094,220.5763941,4.882714194,94.63,1.852781994,12084.4,652230.0,3182922.0,96.36,0.191650185,,,,23853670.0,75.627,3.185536778,,652860.0
15,86.50051163,5.74254814,58.12366803,379100.0,,,,11476.1975,,4744.2494,0.047523022,,22.13704137,4537457838.0,98.1696273,11.91450869,0.237527513,7771000.0,327.0,7012523.28,2096.6,100.31,44.79859397,64.92530416,40.16367525,495.0859184,10.16611247,101.99,1.852781994,12084.4,652230.0,3344733.0,104.27,0.213115005,,,,24672275.0,75.413,3.374205965,,652860.0
16,64.57335438,5.710894223,58.12366803,379100.0,,,,10834.435,,4702.3804,14.79906667,,20.63432272,3948217064.0,98.1696273,11.90530948,0.230050224,7765000.0,327.0,6010288.0,2206.4,95.65,44.59351627,65.56259209,39.45647646,648.3968164,13.32449195,95.97,1.852781994,12084.4,652230.0,2724070.0,96.68,0.222314214,636173.2292,0.0,0.0,25381619.0,75.197,2.834510708,0.0,652860.0
17,97.09935983,6.481139541,58.12366803,379100.0,,,,10617.2325,,4680.2688,16.35910938,,25.74031404,4663262628.0,98.1696273,11.85011422,0.223147991,7729000.0,327.0,5708330.42,2043.3,104.04,44.33713653,66.17782355,38.6466659,662.6173466,13.6801462,102.04,1.852781994,12084.4,652230.0,2793694.0,99.05,0.277509468,,,,25970228.0,74.98,2.292555436,,652860.0
