,"Access to electricity, rural (% of rural population)",Agricultural land (% of land area),Agricultural land (sq. km),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural population,Rural population (% of total population),Rural population growth (annual %),Surface area (sq. km)
0,7.954340522090004,57.89982062,377640.0,8988.0175,3803.225,16.39660014434,1.6324357715500006,32.458250073329985,2282768887.36,11.73359091,0.397293297,7653000.0,327.0,3256395.77,1285.7,59.18,65.35473572,85.80915334,61.41719036,0.65333856,79.69,1.852781994,12084.4,652230.0,2532871.0,115.17,0.170185364,15027717.0,78.014,3.961296941,652860.0
1,10.804099108480003,57.94581666,377940.0,7712.14,3273.8578,16.172090787110008,1.7154283175999998,31.131198847369998,2349933283.0360003,11.77958696,0.393133453,7683000.0,327.0,1940000.0,806.3,50.23,65.34796071,86.04109555,61.3878348,0.650787453,67.78,1.852781994,12084.4,652230.0,2406000.0,98.12,0.170185364,15228282.0,77.922,1.325806085,652860.0
2,11.824750689000002,57.94734986,377950.0,6421.6875,2861.0682,16.611531825049997,1.6744434728200002,31.399854285429996,2302931727.827,11.77958696,0.390225182,7683000.0,327.0,2108000.0,1006.7,52.08,65.25418941,86.287865,61.19809683,2.394897826,61.59,1.852781994,12084.4,652230.0,2094000.0,78.92,0.171718566,15323859.0,77.831,0.625666868,652860.0
3,7.522377664860006,57.93968385,377900.0,8192.4275,3334.4114,17.610670551699997,1.8679878871100015,38.62789186,1477787802.0,11.77192095,0.365614591,7678000.0,327.0,3737000.0,1669.8,62.38,63.93161499,84.69267195,59.88563387,3.194390466,74.72,1.852781994,12084.4,652230.0,2238000.0,95.13,0.171718566,16325389.0,77.739,6.331047782,652860.0
4,2.130410093,58.08380479,378840.0,8426.6375,3463.505,16.90721698941,1.9000159188900012,37.41885544,1691686566.0,11.91604189,0.343208451,7772000.0,327.0,4381000.0,1458.0,67.97,63.25609059,83.94584235,59.17913821,3.478546063,76.77,1.852781994,12084.4,652230.0,3004700.0,90.49,0.171718566,17583264.0,77.647,7.422603719,652860.0
5,7.84279549,58.15126566,379280.0,8342.655,3427.2086,17.189122855509996,1.6114914546900008,29.72106714,1552895062.0,11.98350275,0.33183956,7816000.0,327.0,3560000.0,1334.8,60.62,62.64062405,83.62479432,58.4635338,4.243778147,74.75,1.852781994,12084.4,652230.0,2667000.0,97.17,0.171718566,18254002.0,77.5,3.743680311,652860.0
6,15.35564288,58.13440044,379170.0,8496.705,3575.3444,15.451263444980004,1.700349556100001,31.11485491,1930134259.0,11.96663754,0.319730406,7805000.0,327.0,5425000.0,1790.4,75.85,61.63717504,82.62592935,57.42101184,3.814784113,83.54,1.852781994,12084.4,652230.0,3030000.0,95.56,0.171718566,18869118.0,77.297,3.314227377,652860.0
7,19.26482076,58.12366803,379100.0,8651.66,3402.8918,13.940858905240006,2.0333958061600006,28.63596858,1996430526.0,11.94977232,0.306332475,7794000.0,327.0,4638000.0,1551.7,72.48,60.87190568,81.8760341,56.71325229,3.190854503,77.31,1.852781994,12084.4,652230.0,2989000.0,84.74,0.177851371,19614729.0,77.093,3.875414618,652860.0
8,25.03639816,58.12980084,379140.0,8796.81,3324.4582,11.698722172680004,1.6274262003099997,30.10501136,2934602219.0,11.94977232,0.300888292,7794000.0,327.0,5786000.0,1915.3,82.92,59.8526541,80.65868576,55.78868628,2.101268925,84.65,1.852781994,12084.4,652230.0,3021000.0,86.6,0.183984177,19916271.0,76.887,1.525627223,652860.0
9,27.95425084,58.13286724,379160.0,9801.9825,3597.9626,9.894828627,1.476686406,24.89227001,2516433494.0,11.94977232,0.294923423,7794000.0,327.0,3950000.0,1455.4,72.17,59.00253992,79.89182987,54.96800717,1.851684629,79.59,1.852781994,12084.4,652230.0,2714000.0,91.41,0.18705058,20264376.0,76.68,1.732743176,652860.0
