Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,2.130410093,7.84279549,15.35564288,19.26482076,25.03639816,27.95425084,36.69450436,30.21880181,29.57288091,60.8491566,60.23919772,86.50051163,64.57335438,97.09935983,97.09197325,91.60606002,97.07562695,97.06671259,97.05720222,,
Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,3.473994062,9.477076685,2.759651249,2.255916325,1.653743735,0.959755702,0.664274596,,6.609390256,,,,,,,3.815067332,,,7.333448237,,,,,
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.84233706,99.89709497,99.95301414,99.73544337,99.72917743,100.0,100.0,100.0,100.0,,
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
United Arab Emirates,ARE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.43186463,91.79072807,88.6387107,92.58309745,92.90436607,93.1807941,93.41749668,93.61898267,93.79681514,93.96902296,94.15653615,98.61670919,97.78904358,96.09656217,95.42646425,100.0,97.61605752,99.27306918,100.0,99.92295531,100.0,100.0,100.0,,
Armenia,ARM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,98.53397299,100.0,95.75746748,98.90324199,98.89789137,99.62269983,98.89847203,98.91566309,98.94651265,98.99174916,99.97352291,99.2552845,99.22062429,99.43714736,99.79554548,100.0,99.8,99.52897525,99.9,100.0,100.0,100.0,,
American Samoa,ASM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,96.00552515,96.57171859,96.69920954,100.0,96.96586989,97.11237876,100.0,100.0,100.0,100.0,98.0183196,98.23780086,92.6706917,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
