Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,5.66212462,4.61762371,7.264280435,5.499894537,5.839069547,6.085465576,5.939758401,5.77856314,4.842282941,5.000395601,5.391006198,5.464999736,5.518332894,5.74254814,5.710894223,6.481139541,5.990503825,5.122336227,6.006314128,6.506929763,6.506929763,,
Angola,AGO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,17.42627346,9.991532599,16.81511696,17.02322484,17.01082431,17.03987347,17.28796429,12.75664444,13.45482415,14.30143014,14.56210226,14.99044785,15.24701874,15.61487875,16.54448972,,
Andorra,AND,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,19.37292888,18.3011583,12.76878152,20.92778071,21.56862745,21.63009404,21.83428869,21.83428869,21.91486575,23.65778689,23.55566957,23.99623048,,
Argentina,ARG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,1.053531194,,,,,,,,,,,,,,,,1.199574745,,,,,
Armenia,ARM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,8.762240947,8.824704606,8.906678866,8.921720208,8.945244957,9.104293033,9.17409388,9.162210339,9.198548224,9.22645673,9.231870229,9.229759561,9.235080188,9.254621348,9.285202864,9.30786592,,
American Samoa,ASM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,0.549923195,0.56935123,0.541069397,0.608246013,0.58625649,0.622034586,0.482734643,0.475483447,0.458287032,0.48914372,0.495555651,0.553121351,0.639634187,0.630650361,0.617346367,0.626674684,0.603490239,0.640298695,0.539344565,0.427517392,0.535047687,,
Austria,AUT,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,1.178415586,,1.40016802,,1.554715381,,,0.95279217,,,1.919084082,,,1.430620522,,,,,,,
Azerbaijan,AZE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,29.98567094,29.99009463,29.92891095,30.03217733,30.05085529,30.03574432,30.05571323,30.05234722,29.52515082,29.47679785,29.45456833,29.52624625,29.65113841,29.72304338,30.00125791,29.81143935,29.92987964,29.98849252,30.01443605,30.64580239,30.73463582,,
Burundi,BDI,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,0.136474644,,0.245842372,,0.417001975,,,,,,0.426487093,,,,,,,,,,
