Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,57.89982062,57.94581666,57.94734986,57.93968385,58.08380479,58.15126566,58.13440044,58.12366803,58.12980084,58.13286724,58.13286724,58.13440044,58.13133404,58.12980084,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.74797465,35.71268148,35.62605278,35.64450148,35.69343066,35.54183043,35.4399615,35.40306409,35.48969279,35.44958691,35.79850806,35.97497393,36.34876073,36.3383332,36.48672495,36.63591883,36.72816235,36.75623646,36.71452635,36.7305687,36.7987487,36.81078046,36.81479105,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365,41.47189781,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,48.93617021,48.93617021,48.40425532,48.61702128,48.63829787,48.53191489,46.38297872,46.34042553,44.19148936,44.17021277,44.19148936,42.06382979,42.06382979,39.91489362,40.0212766,40.0,40.0212766,40.04255319,40.04255319,40.07234043,40.00021277,39.95170213,39.90680851,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,7.265558997,7.702055759,7.913263869,7.969586032,7.800619544,7.800619544,7.842861166,7.583779217,7.499295973,7.597859758,5.461841735,5.523796114,5.470290059,5.304139679,5.342157139,5.385806815,5.390030977,5.404111518,5.404111518,5.375246409,5.497043086,5.488594762,5.513397634,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.92237703,46.95818671,46.99326559,47.0312677,47.17498146,47.31869521,47.47373652,47.55339479,47.49109325,46.42356277,45.43020949,46.13891234,45.79196036,45.58130442,44.92193124,44.28302073,44.11877122,43.4794953,42.98638136,42.37153631,42.59077926,43.02926517,43.10234616,,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,58.90410959,58.8689849,58.82753776,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.18,11.35,11.5,11.65,11.8,11.95,12.1,12.25,12.4,12.55,12.7,12.85,13.0,13.15,13.3,13.45,13.6,13.75,13.9,14.05,14.2,14.35,14.5,,
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,59.05692306,59.28810382,59.31817294,58.1856996,57.20942947,51.40465746,53.39937258,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984,47.2592375,,
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.81192438,35.63015027,35.33809985,35.16965584,34.96400873,34.74793989,34.61948619,34.45588948,34.29592826,34.04507998,33.87057683,33.6791081,33.41371789,33.14590402,32.91808047,32.89142026,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,31.53981338,31.47672564,,
Azerbaijan,AZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.73659392,57.38635676,57.45000242,57.43179452,57.52552872,57.51524095,57.56835229,57.55291213,57.56453545,57.56834933,57.57909516,57.67034456,57.69193544,57.68709623,57.70454518,57.70054317,57.7017529,57.73557518,57.79560136,57.8253926,57.82781233,57.83824989,57.8415003,,
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.48130841,72.70249221,72.07943925,71.41744548,71.37850467,71.96261682,70.83333333,70.95015576,71.06697819,71.18380062,71.30062305,71.37850467,71.69003115,72.42990654,73.48130841,74.53271028,75.58411215,76.63551402,77.68691589,78.73831776,79.78971963,80.8411215,81.89252336,,
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.89167768,45.7992074,45.87516513,45.97754293,45.94782034,45.67371202,45.57463672,45.14200793,45.08916777,45.0330251,44.77212682,44.11162483,43.98943197,44.13804491,43.9663144,43.85733157,44.61030383,43.82430647,44.71598415,44.79599075,45.06635733,45.10138705,,
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.58070238,28.33451579,28.9553033,29.8421426,30.74671869,30.74671869,30.89748138,29.62043278,29.70911671,31.48279532,32.36963462,32.36963462,32.36963462,33.25647393,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,,
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.79093567,37.14546784,37.51096491,37.86915205,38.22368421,38.63669591,39.04605263,39.4371345,39.80628655,40.20285088,40.61403509,41.08918129,41.71418129,42.1747076,42.85453216,43.31140351,43.80847953,44.23245614,44.65277778,45.36915205,45.75657895,46.10380117,46.56432749,,
Bangladesh,BGD,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.0852731,71.27602366,71.59867865,72.47630022,73.11369747,73.45263886,73.95943766,75.83928709,76.26949374,77.34501037,,
Bulgaria,BGR,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.33327307,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.77685722,47.1043182,46.96620937,46.33382461,46.53647752,46.86809138,47.19049374,46.01142225,45.84561533,46.16709654,46.25092115,46.3294031,46.33382461,46.39830508,46.49042004,46.48670965,,
Bahrain,BHR,Agricultural land (% of land area),AG.LND.AGRI.ZS,14.08450704,13.94366197,13.78873239,13.64788732,13.30555556,12.98630137,12.66216216,12.52702703,12.21333333,11.92105263,11.77631579,11.61417323,11.39504563,11.22077922,11.07792208,10.93385214,10.6940874,10.55198973,10.3974359,10.41131105,10.38461538,10.31847134,10.25316456,,
"Bahamas, The",BHS,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,,
Bosnia and Herzegovina,BIH,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109375,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125,43.515625,43.18359375,43.28125,43.7890625,44.19921875,,
