Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,377640.0,377940.0,377950.0,377900.0,378840.0,379280.0,379170.0,379100.0,379140.0,379160.0,379160.0,379170.0,379150.0,379140.0,379100.0,379100.0,379100.0,379100.0,379100.0,380100.0,380100.0,383130.0,383130.0,,
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,445670.0,445230.0,444150.0,444380.0,444990.0,443100.0,441830.0,441370.0,442450.0,441950.0,446300.0,448500.0,453160.0,453030.0,454880.0,456740.0,457890.0,458240.0,457720.0,457920.0,458770.0,458920.0,458970.0,,
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,11450.0,11440.0,11390.0,11400.0,11210.0,11220.0,10770.0,11200.0,11190.0,11810.0,12013.0,12013.0,12010.0,12013.0,11873.0,11742.9,11743.0,11817.0,11742.81,11740.81,11740.0,11655.55,11363.3,,
Andorra,AND,Agricultural land (sq. km),AG.LND.AGRI.K2,230.0,230.0,227.5,228.5,228.6,228.1,218.0,217.8,207.7,207.6,207.7,197.7,197.7,187.6,188.1,188.0,188.1,188.2,188.2,188.34,188.001,187.773,187.562,,
United Arab Emirates,ARE,Agricultural land (sq. km),AG.LND.AGRI.K2,5160.0,5470.0,5620.0,5660.0,5540.0,5540.0,5570.0,5386.0,5326.0,5396.0,3879.0,3923.0,3885.0,3767.0,3794.0,3825.0,3828.0,3838.0,3838.0,3817.5,3904.0,3898.0,3915.615,,
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,1284120.0,1285100.0,1286060.0,1287100.0,1291033.0,1294966.0,1299209.0,1301389.0,1299684.0,1270469.0,1243284.0,1262679.0,1253184.0,1247419.0,1229374.0,1211889.0,1207394.0,1189899.0,1176404.0,1159577.597,1165577.597,1177577.597,1179577.597,,
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,13230.0,13230.0,13280.0,13910.0,14440.0,15050.0,16050.0,17564.0,17519.0,17488.0,17463.0,17350.0,16981.0,16830.0,16830.0,16807.0,16767.0,16768.0,16761.0,16773.0,16770.0,16760.0,16748.2,,
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,22.36,22.7,23.0,23.3,23.6,23.9,24.2,24.5,24.8,25.1,25.4,25.7,26.0,26.3,26.6,26.9,27.2,27.5,27.8,28.1,28.4,28.7,29.0,,
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,4536930.0,4554690.0,4557000.0,4470000.0,4395000.0,3949060.0,4102300.0,4093020.0,3983555.0,3892880.0,3842570.0,3763720.0,3961210.0,3870760.0,3717750.0,3744230.0,3481190.0,3426020.0,3718370.0,3588950.0,3624770.0,3557750.0,3635190.0,,
Austria,AUT,Agricultural land (sq. km),AG.LND.AGRI.K2,29552.0,29402.0,29161.0,29022.0,28852.3,28674.0,28568.0,28433.0,28301.0,28094.0,27950.0,27792.0,27573.0,27352.0,27164.0,27142.0,27184.5,26701.7,26546.2,26528.3,26512.1,26026.654,25974.594,,
Azerbaijan,AZE,Agricultural land (sq. km),AG.LND.AGRI.K2,46924.0,47404.0,47456.0,47449.0,47546.0,47549.0,47586.0,47560.0,47565.0,47567.0,47573.0,47668.0,47687.0,47683.0,47698.0,47697.0,47698.0,47730.0,47775.0,47795.0,47797.0,47801.0,47806.0,,
Burundi,BDI,Agricultural land (sq. km),AG.LND.AGRI.K2,18870.0,18670.0,18510.0,18340.0,18330.0,18480.0,18190.0,18220.0,18250.0,18280.0,18310.0,18330.0,18410.0,18600.0,18870.0,19140.0,19410.0,19680.0,19950.0,20220.0,20490.0,20760.0,21030.0,,
Belgium,BEL,Agricultural land (sq. km),AG.LND.AGRI.K2,15210.0,13896.0,13868.0,13891.0,13922.0,13913.0,13830.0,13800.0,13669.0,13653.0,13636.0,13557.0,13357.0,13320.0,13365.0,13313.0,13280.0,13508.0,13270.0,13540.0,13564.226,13646.093,13656.7,,
Benin,BEN,Agricultural land (sq. km),AG.LND.AGRI.K2,31100.0,31950.0,32650.0,33650.0,34670.0,34670.0,34840.0,33400.0,33500.0,35500.0,36500.0,36500.0,36500.0,37500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,39500.0,,
Burkina Faso,BFA,Agricultural land (sq. km),AG.LND.AGRI.K2,100660.0,101630.0,102630.0,103610.0,104580.0,105710.0,106830.0,107900.0,108910.0,109995.0,111120.0,112420.0,114130.0,115390.0,117250.0,118500.0,119860.0,121020.0,122170.0,124130.0,125190.0,126140.0,127400.0,,
Bangladesh,BGD,Agricultural land (sq. km),AG.LND.AGRI.K2,94860.0,94000.0,94030.0,93530.0,93280.0,93230.0,93110.0,92800.0,92660.0,92530.0,92460.0,92410.0,91280.0,91230.0,92780.0,93200.0,94342.4,95172.1,95613.3,96273.0,98720.0,99280.0,100680.0,,
Bulgaria,BGR,Agricultural land (sq. km),AG.LND.AGRI.K2,56790.0,55820.0,54980.0,53250.0,53260.0,53300.0,52650.0,51900.0,51160.0,51010.0,50300.0,50520.0,50880.0,51230.0,49950.0,49770.0,50119.0,50210.0,50295.2,50300.0,50370.0,50470.0,50465.972,,
Bahrain,BHR,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0,99.0,97.9,96.9,95.8,94.8,93.7,92.7,91.6,90.6,89.5,88.5,87.4,86.4,85.3,84.3,83.2,82.2,81.1,81.0,81.0,81.0,81.0,,
"Bahamas, The",BHS,Agricultural land (sq. km),AG.LND.AGRI.K2,100.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,120.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,,
Bosnia and Herzegovina,BIH,Agricultural land (sq. km),AG.LND.AGRI.K2,21050.0,21300.0,21260.0,21230.0,21690.0,21694.0,21570.0,21590.0,21490.0,21300.0,21280.0,21440.0,21510.0,21560.0,21610.0,21570.0,21760.0,22090.0,22280.0,22110.0,22160.0,22420.0,22630.0,,
Belarus,BLR,Agricultural land (sq. km),AG.LND.AGRI.K2,92810.0,92520.0,91280.0,90250.0,89860.0,89570.0,89490.0,89580.0,89160.0,89170.0,89270.0,88980.0,88750.0,87960.0,87112.0,86239.0,85742.0,85327.0,84940.0,84530.0,83870.0,82810.0,81740.0,,
Belize,BLZ,Agricultural land (sq. km),AG.LND.AGRI.K2,1500.0,1490.0,1490.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1550.0,1570.0,1570.0,1600.0,1600.0,1600.0,1700.0,1700.0,1720.0,1720.0,1740.0,1800.0,1820.0,,
Bermuda,BMU,Agricultural land (sq. km),AG.LND.AGRI.K2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,
Bolivia,BOL,Agricultural land (sq. km),AG.LND.AGRI.K2,370690.0,371430.0,371560.0,373110.0,366470.0,366170.0,369620.0,370985.0,371960.0,372815.0,373670.0,374525.0,375440.0,376405.0,377380.0,377488.428,377498.354,377852.311,376715.465,378765.993,379954.219,380076.741,381193.672,,
Brazil,BRA,Agricultural land (sq. km),AG.LND.AGRI.K2,2282198.0,2283235.0,2284272.0,2285309.0,2286346.0,2287383.0,2288420.0,2289510.0,2296718.0,2303926.0,2311134.0,2318342.0,2325550.0,2332758.0,2339966.0,2347174.0,2354382.0,2361590.0,2368786.0,2375018.01,2381244.91,2387470.81,2393695.61,,
Barbados,BRB,Agricultural land (sq. km),AG.LND.AGRI.K2,180.0,180.0,180.0,170.0,170.0,160.0,160.0,160.0,160.0,160.0,160.0,150.0,140.0,130.0,125.0,120.0,110.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Brunei Darussalam,BRN,Agricultural land (sq. km),AG.LND.AGRI.K2,120.0,120.0,130.0,130.0,130.0,130.0,130.0,123.0,124.0,124.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,,
Bhutan,BTN,Agricultural land (sq. km),AG.LND.AGRI.K2,5720.0,5780.0,5790.0,5800.0,5830.0,5840.0,5930.0,5770.0,5630.0,5213.0,5200.0,5200.0,5196.0,5196.0,5196.0,5256.0,5256.0,5190.0,5130.0,5130.0,5130.0,5130.0,5130.0,,
