Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,0.143734483,0.14317324,0.13276064,0.209690023,0.123520329,0.145854657,0.169122357,0.912240185,1.297151655,0.219399538,0.286154241,,,,,,,,,,,,,,
Angola,AGO,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,142.1143847,139.9134948,132.3010381,130.017301,102.3702422,131.0380623,150.9665428,135.3082192,126.5916955,121.9344262,,,,,,,,,,,,,,,
Andorra,AND,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,4370.37037,4412.5,4589.74359,4636.363636,4671.052632,4584.415584,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,63.95348837,63.33333333,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,90.54917914,89.58031838,88.62538744,87.68932596,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,278.0666667,291.6,312.3956044,319.5164835,312.5054945,314.1758242,314.967033,322.7202473,325.5916833,327.0870337,,,,,,,,,,,,,,,
American Samoa,ASM,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,44.0,68.0,,120.0,107.7844311,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,2394.636234,2394.767691,2410.439798,2408.866426,2412.469294,2408.671065,2401.158832,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,150.0191791,148.1814198,147.3988124,147.4500626,147.3973348,147.2211659,83.88671875,99.22337479,113.6515642,116.0735405,114.9519744,,,,,,,,,,,,,,
Burundi,BDI,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1202.416953,1116.832947,1136.094675,1153.846154,1149.532934,1136.880952,1127.046263,,,,,,,,,,,,,,,,,,
Benin,BEN,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,1.280227596,1.19760479,1.083945562,0.969344481,0.850753525,0.552621884,1.965617495,3.807106599,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,114.3040805,98.43732275,94.03518892,95.59165425,95.11284983,93.4560821,114.251497,131.0536398,149.9481361,171.9559585,,,,,,,,,,,,,,,
Bahrain,BHR,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,60.0,75.0,85.0,80.0,76.47058824,86.66666667,66.66666667,55.17241379,35.71428571,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,126.4477515,118.8684168,116.0666551,110.9383903,105.5773029,99.7296323,96.68170336,94.96931408,91.38612067,89.7697607,86.76046176,,,,,,,,,,,,,,
Belize,BLZ,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,18.56677524,19.08396947,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,178.0738116,175.4677874,172.9273221,170.4495515,168.0323873,165.6736326,163.3711957,161.1099072,,,,,,,,,,,,,,,,,
Barbados,BRB,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
