Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,110.0,110.0,102.0,161.0,96.0,114.0,132.0,711.0,1011.0,171.0,223.0,,,,,,,,,,,,,,
Angola,AGO,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8200.0,8087.0,7647.0,7515.0,5917.0,7574.0,8122.0,7902.0,7317.0,7438.0,,,,,,,,,,,,,,,
Andorra,AND,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,354.0,353.0,358.0,357.0,355.0,353.0,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,275.0,380.0,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,249300.0,247600.0,245900.0,244320.0,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12513.0,13122.0,14214.0,14538.0,14219.0,14295.0,14331.0,14616.0,14720.0,14732.0,,,,,,,,,,,,,,,
American Samoa,ASM,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11.0,17.0,,30.0,36.0,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,335728.0,335028.0,334328.0,333628.0,332928.0,332228.0,331528.0,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,27377.0,27052.0,27058.0,27091.0,27099.0,27099.0,15462.0,18270.0,21071.0,21592.0,21542.0,,,,,,,,,,,,,,
Burundi,BDI,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,104971.0,96271.0,96000.0,96000.0,95986.0,95498.0,95010.0,,,,,,,,,,,,,,,,,,
Benin,BEN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1080.0,1000.0,900.0,800.0,700.0,450.0,1555.0,3000.0,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,40898.0,34709.0,32602.0,32071.0,31606.0,30962.0,36252.0,41046.0,46259.0,53100.0,,,,,,,,,,,,,,,
Bahrain,BHR,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12.0,15.0,17.0,16.0,13.0,13.0,10.0,8.0,5.0,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,78170.0,72902.0,66866.0,62303.0,58796.0,55330.0,53581.0,52613.0,50436.0,49517.0,48100.0,,,,,,,,,,,,,,
Belize,BLZ,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5700.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,799035.0,797466.0,795898.0,794329.0,792760.0,791191.0,789622.0,788053.0,,,,,,,,,,,,,,,,,
Barbados,BRB,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,115.0,117.0,117.0,117.0,120.0,123.0,126.0,129.0,132.0,136.0,,,,,,,,,,,,,,,
Botswana,BWA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3648.0,2688.0,3165.0,3133.0,2957.0,3068.0,2913.0,2816.0,2835.0,3371.0,,,,,,,,,,,,,,,
Central African Republic,CAF,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,724000.0,729000.0,732521.0,732650.0,732780.0,732915.0,733050.0,733182.0,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,110200.0,109600.0,109000.0,108400.0,107828.0,107400.0,107000.0,106600.0,106200.0,,,,,,,,,,,,,,,,
Chile,CHL,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,53750.0,53770.0,53790.0,53810.0,53830.0,53850.0,53870.0,53890.0,53915.0,,,,,,,,,,,,,,,,
China,CHN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,798506.0,989139.0,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8250.0,8400.0,8981.0,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,46.0,48.0,50.0,52.0,54.0,56.0,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,75968.0,75887.0,75806.0,75725.0,75643.0,75562.0,75480.0,75399.0,72602.0,,,,,,,,,,,,,,,,
Curacao,CUW,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,15172.0,14309.0,13445.0,12581.0,11717.0,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,79304.0,96716.0,94778.0,94440.0,91648.0,89350.0,87039.0,85426.0,83813.0,,,,,,,,,,,,,,,,
Germany,DEU,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1030775.0,989487.5,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,
