Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,75.73715249,72.80453258,68.58974359,73.19034853,73.43205575,72.77486911,72.83633248,58.09267965,48.61878453,44.20387912,,,,,,,,,,,,,,,
Angola,AGO,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,62.47201075,62.56521739,60.56105611,59.87795576,60.82650273,58.92267019,56.95917711,52.69403464,52.0380839,48.79976581,,,,,,,,,,,,,,,
Albania,ALB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,71.54471545,71.46666667,71.00271003,70.05494505,70.10869565,69.35933148,68.99441341,68.55524079,67.64705882,66.25386997,,,,,,,,,,,,,,,
Andorra,AND,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,2.611085662,2.544529262,2.483507955,2.395423668,2.354111406,2.196102691,2.341717259,2.40180842,2.486187845,2.566873818,,,,,,,,,,,,,,,
Argentina,ARG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,72.87527594,72.34913989,72.03947368,72.66276388,73.95754677,74.040857,73.89538257,74.24242424,74.28363283,73.9446395,,,,,,,,,,,,,,,
Armenia,ARM,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,28.71794872,31.14754098,31.38297872,31.60621762,32.32323232,32.84313725,32.36714976,32.09302326,32.14285714,31.6017316,,,,,,,,,,,,,,,
American Samoa,ASM,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,17.64705882,16.66666667,16.66666667,16.66666667,15.78947368,15.78947368,15.78947368,15.0,15.0,15.0,,,,,,,,,,,,,,,
Australia,AUS,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,69.0192834,70.11871383,71.77983949,71.16707543,63.32310597,68.29268293,62.89596273,67.06566579,65.11081958,60.27386602,,,,,,,,,,,,,,,
Austria,AUT,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,59.8691385,60.29082774,60.79545455,60.75949367,60.14067995,59.71563981,60.9963548,61.41439206,62.43654822,63.67137356,,,,,,,,,,,,,,,
Azerbaijan,AZE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,16.70602125,16.42294713,16.04166667,15.41828794,15.07285974,14.62264151,14.18727199,12.15046605,10.52929522,9.375,,,,,,,,,,,,,,,
Burundi,BDI,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,33.55704698,36.42857143,38.68613139,38.63636364,40.76923077,43.41085271,46.09375,47.76119403,49.27536232,51.38888889,,,,,,,,,,,,,,,
Belgium,BEL,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,61.9047619,61.88118812,63.87931034,64.31797651,65.48076923,65.14118793,65.9,66.02434077,66.80497925,67.83068783,,,,,,,,,,,,,,,
Benin,BEN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,68.73156342,71.4673913,66.26506024,67.21763085,65.09695291,63.18681319,65.27093596,62.18905473,61.19047619,58.57142857,,,,,,,,,,,,,,,
Burkina Faso,BFA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,89.92890995,90.94972067,89.86175115,89.50276243,90.81908191,90.49694856,90.18612521,89.62585034,89.37759336,89.23694779,,,,,,,,,,,,,,,
Bangladesh,BGD,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,76.43013899,76.37075718,76.1497171,75.80805923,75.32723434,74.43800368,74.26755113,74.17769892,74.00595077,74.44386286,,,,,,,,,,,,,,,
Bulgaria,BGR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,25.91549296,25.82781457,25.50200803,23.64793213,24.00813835,25.77873255,26.01351351,25.67726737,26.0210035,25.69360676,,,,,,,,,,,,,,,
Bahrain,BHR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,0.29717682,0.27100271,0.260416667,0.250312891,0.241545894,0.233100233,0.225225225,0.212089077,0.200400802,0.190114068,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,5.555555556,5.555555556,5.555555556,5.263157895,5.263157895,9.523809524,5.0,5.0,4.761904762,9.523809524,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,44.15204678,43.8547486,42.45810056,48.81355932,48.74213836,48.21428571,47.68786127,49.45054945,44.61942257,42.30769231,,,,,,,,,,,,,,,
Belarus,BLR,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,72.36111111,69.79241231,69.26438456,68.14486327,66.22613803,62.58890469,63.95939086,62.40282686,60.3021978,56.78131084,,,,,,,,,,,,,,,
Belize,BLZ,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,7.8125,42.85714286,41.66666667,38.46153846,37.93103448,35.71428571,33.33333333,31.42857143,32.5,31.11111111,,,,,,,,,,,,,,,
Bermuda,BMU,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,84.4403444,85.14007308,82.3100304,81.1247216,79.73568282,79.62962963,79.15644924,78.66995074,78.46003899,78.32369942,,,,,,,,,,,,,,,
Brazil,BRA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,81.70867653,82.52373491,81.52806895,81.65528302,81.49854382,81.74117528,82.66133092,81.99312715,81.65314892,81.35155851,,,,,,,,,,,,,,,
Barbados,BRB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,1.762114537,1.754385965,1.754385965,1.321585903,1.321585903,1.321585903,1.321585903,0.881057269,0.881057269,0.877192982,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,0.169204738,0.164880462,0.163666121,0.162601626,0.161550889,0.160384924,0.15936255,0.165837479,0.172860847,0.180668473,,,,,,,,,,,,,,,
Bhutan,BTN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,61.36363636,59.30232558,56.09756098,56.09756098,55.42168675,54.76190476,58.24175824,56.66666667,56.52173913,52.94117647,,,,,,,,,,,,,,,
Botswana,BWA,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,82.42811502,81.13821138,83.77997179,83.75706215,69.00269542,71.28463476,74.55752212,78.58439201,73.63834423,85.87699317,,,,,,,,,,,,,,,
Central African Republic,CAF,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,54.44255801,57.70234987,53.51131747,50.74626866,57.61517615,54.88018703,56.49942987,55.43840178,54.82832618,54.95403473,,,,,,,,,,,,,,,
Canada,CAN,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,24.57391627,24.54400898,25.56019749,26.71417565,26.69993151,27.93176972,28.68400315,28.42074132,27.78336013,27.68033212,,,,,,,,,,,,,,,
Switzerland,CHE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,76.3963964,76.45985401,76.49186257,76.45985401,76.67910448,76.3705104,76.98113208,77.35849057,77.9047619,78.6389414,,,,,,,,,,,,,,,
