Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,8988.0175,7712.14,6421.6875,8192.4275,8426.6375,8342.655,8496.705,8651.66,8796.81,9801.9825,9993.155,11514.525,11533.2525,11379.2825,11284.75,11476.1975,10834.435,10617.2325,10314.9575,10549.4125,10222.785,10679.11,,,
Angola,AGO,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,13952.0975,14393.4325,14680.15,15703.55,17806.42,17831.685,17722.9375,16430.255,17494.65,16669.3325,16732.8175,17503.85,18023.3075,17172.995,17636.3025,17060.2225,17714.025,17757.685,18022.0225,16230.375,18037.015,17050.16,,,
Albania,ALB,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,2636.5525,2682.5175,2620.19,2550.8725,2584.0225,2485.38,2468.37,2423.92,2301.9725,2138.04,2031.85,2043.9525,2031.7825,2072.26,2071.065,2095.3275,2108.5125,2099.05,2053.5525,2009.6275,1847.0125,1687.375,,,
Andorra,AND,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
United Arab Emirates,ARE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,572.705,600.825,636.0325,671.24,706.3675,709.6775,813.16,853.9075,897.3275,945.6575,1106.855,961.87,967.185,977.73,1084.3825,1168.7475,1208.13,1224.03,1254.3925,1260.5475,1284.175,1303.0725,,,
Argentina,ARG,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,79228.53,79490.055,78841.515,81921.41,88151.1825,89155.3,89142.37,91136.405,91773.78,90564.2225,85581.6975,77640.17,76878.935,79415.3025,80963.4775,81731.44,81556.8225,82830.2325,86592.7575,85839.3425,85762.375,86098.7125,,,
Armenia,ARM,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,564.37,570.2625,590.0025,613.0275,636.7275,669.2375,671.17,691.0725,720.0075,727.135,667.7675,662.8225,650.335,684.4425,756.9225,776.9175,792.2,809.755,758.2225,683.2975,662.9125,669.745,,,
American Samoa,ASM,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,29.4675,29.1025,29.925,30.3925,30.8225,31.445,31.4475,31.585,31.285,31.2075,31.0325,15.0175,15.1425,15.1425,15.095,15.1375,15.1525,15.0875,15.1425,14.84,13.7175,13.365,,,
