Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,91.56626506,90.33149171,88.81987578,90.0,90.10416667,90.02624672,90.17632242,83.74384236,78.11764706,75.1565762,,,,,,,,,,,,,,,
Angola,AGO,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,98.61717613,98.58757062,98.55172414,98.53503185,98.66666667,98.61954721,98.54096521,98.2381531,98.24063564,97.96407186,,,,,,,,,,,,,,,
Albania,ALB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,91.96428571,91.52542373,90.43478261,92.24806202,91.60305344,91.33858268,90.625,90.16393443,90.16393443,90.35087719,,,,,,,,,,,,,,,
Andorra,AND,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,13.23943662,12.46753247,12.46819338,13.75921376,14.18269231,13.94799054,14.3187067,13.65638767,13.44537815,13.57285429,,,,,,,,,,,,,,,
Argentina,ARG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,94.53376206,94.72750317,94.58153142,94.50990223,94.8618406,94.74761255,94.57969683,94.61384376,94.76130123,94.47465739,,,,,,,,,,,,,,,
Armenia,ARM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,86.53846154,86.79245283,87.03703704,87.3015873,88.52459016,89.39393939,87.5,91.57894737,89.87341772,87.17948718,,,,,,,,,,,,,,,
American Samoa,ASM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,50.0,50.0,50.0,50.0,50.0,50.0,33.33333333,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,
Australia,AUS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,94.56593771,94.78005271,94.8410153,94.13550029,89.4719897,92.28082431,89.14077362,91.77268872,91.04842865,88.19645733,,,,,,,,,,,,,,,
Austria,AUT,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,61.33909287,60.13071895,61.88340807,60.68965517,58.75576037,67.54617414,67.36842105,66.57824934,65.84699454,65.4353562,,,,,,,,,,,,,,,
Azerbaijan,AZE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,77.21518987,77.31092437,78.98832685,79.55390335,79.7833935,80.34482759,80.33898305,80.84415584,80.64516129,81.45896657,,,,,,,,,,,,,,,
Burundi,BDI,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,68.18181818,67.66917293,67.40740741,66.66666667,65.2173913,65.49295775,64.82758621,65.33333333,65.56291391,66.24203822,,,,,,,,,,,,,,,
Belgium,BEL,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,41.66666667,34.92268041,35.46666667,43.94506866,47.23756906,46.11186903,46.96755994,53.53037767,60.47358834,58.3032491,,,,,,,,,,,,,,,
Benin,BEN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,91.66666667,92.21311475,90.04975124,91.37931034,89.95215311,89.5,90.83333333,89.49771689,88.64628821,86.19047619,,,,,,,,,,,,,,,
Burkina Faso,BFA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,93.31103679,93.64341085,92.90540541,93.00476948,94.08672799,93.98207426,93.95807645,93.68686869,93.55638166,93.56014581,,,,,,,,,,,,,,,
Bangladesh,BGD,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,92.77961303,92.60299625,92.48395967,92.45535714,92.06566347,91.88576609,91.98423127,92.16261526,92.06680585,92.54706108,,,,,,,,,,,,,,,
Bulgaria,BGR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,69.64285714,65.95744681,67.67676768,73.97260274,73.88392857,70.0228833,65.6641604,69.93865031,70.16574586,72.63157895,,,,,,,,,,,,,,,
Bahrain,BHR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,50.0,25.0,25.0,40.0,50.0,42.85714286,42.85714286,42.85714286,33.33333333,42.85714286,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,40.0,40.0,40.0,40.0,20.0,42.85714286,33.33333333,33.33333333,33.33333333,42.85714286,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,91.66666667,91.76470588,84.52380952,85.36585366,87.01298701,89.58333333,90.0,91.01123596,93.18181818,93.82716049,,,,,,,,,,,,,,,
Belarus,BLR,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,92.19677693,92.01030928,87.27569331,92.6720286,93.00087489,93.0472103,93.16666667,93.41894061,93.26298701,93.60374415,,,,,,,,,,,,,,,
Belize,BLZ,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,90.90909091,81.81818182,81.81818182,88.88888889,91.66666667,83.33333333,78.57142857,76.92307692,78.57142857,84.61538462,,,,,,,,,,,,,,,
Bermuda,BMU,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,96.37795276,96.03305785,95.85406302,96.37681159,96.06060606,96.51006711,96.75,96.3494133,96.20915033,95.95827901,,,,,,,,,,,,,,,
Brazil,BRA,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,89.66350024,89.31757897,90.60748022,90.14935989,90.57520005,89.5451936,89.6256,88.83853425,93.01293669,92.55547602,,,,,,,,,,,,,,,
Barbados,BRB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,66.66666667,66.66666667,66.66666667,60.0,60.0,66.66666667,60.0,60.0,60.0,80.0,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,72.72727273,81.81818182,75.0,81.81818182,75.0,83.33333333,75.0,69.23076923,76.92307692,76.92307692,,,,,,,,,,,,,,,
Bhutan,BTN,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,66.66666667,64.70588235,62.5,58.82352941,58.82352941,58.82352941,66.66666667,61.11111111,61.11111111,58.82352941,,,,,,,,,,,,,,,
