Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,3803.225,3273.8578,2861.0682,3334.4114,3463.505,3427.2086,3575.3444,3402.8918,3324.4582,3597.9626,3863.868,4273.8564,4369.0078,4398.5098,4440.1106,4744.2494,4702.3804,4680.2688,4892.1766,4289.9782,4258.4498,4465.977,,,
Angola,AGO,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,13515.5814,13921.3978,14251.9692,15438.188,17728.3776,17825.7938,17521.9828,16132.1108,17271.335,16319.8806,16381.1494,17249.134,17813.9334,16864.9226,17409.7858,16843.3176,17541.1442,17580.9868,17973.3634,16054.1242,18059.098,17051.5004,,,
Albania,ALB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,1035.848,1091.7826,1052.8638,1196.1422,1210.1184,1164.9714,1167.2064,1111.7486,1106.027,1035.3116,1032.0634,1023.6598,1059.2112,1061.6548,1031.378,1046.0098,1085.6736,1118.4536,1084.422,971.3012,999.7304,907.4398,,,
Andorra,AND,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
United Arab Emirates,ARE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,474.3266,477.9324,490.3888,563.0114,589.742,589.6526,618.797,622.8498,644.574,683.1054,700.6576,687.0986,685.251,652.2028,693.8036,710.4916,752.0328,762.0456,776.7966,782.9652,780.7004,781.7136,,,
Argentina,ARG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,34820.3464,36919.5776,36727.755,37258.94,41094.9748,41203.7448,40747.9538,42052.0316,44385.0438,42985.5464,37465.5136,38513.1326,39547.133,38995.7138,40358.7062,40723.041,40297.2288,43184.3422,45730.5138,45015.4926,47002.3778,48504.0296,,,
Armenia,ARM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,452.215,458.5326,466.9064,554.3694,536.4298,585.3316,563.965,868.8786,705.3362,681.6154,735.5236,678.2182,707.2434,865.6602,932.0248,883.719,986.082,1517.3564,1116.606,1070.2074,1053.5492,1065.0222,,,
American Samoa,ASM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,12.8736,12.6054,12.963,13.2014,13.5888,13.6484,13.7676,13.8272,13.7974,13.6484,13.5888,8.3142,8.3738,8.5228,8.493,8.4334,8.3738,8.6718,8.4036,8.344,7.8672,7.5692,,,
Australia,AUS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,85641.773,93538.2962,103522.965,96177.6226,55609.0946,79281.5292,56251.3442,75762.8048,70718.7972,54795.3758,58653.254,47516.3682,101145.2826,100567.7884,57953.699,70406.9402,66573.9152,52132.3882,74191.9872,71526.0494,56371.2594,44205.0518,,,
Austria,AUT,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,2836.3044,2792.0216,2758.8244,2799.2034,2522.8978,2597.9938,2561.8464,2559.1644,2546.9762,2808.6798,2461.1522,2501.2928,2709.2074,2508.564,2582.9448,2632.6512,2709.2372,2704.797,2628.8964,2574.422,2496.793,2550.7012,,,
Azerbaijan,AZE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,1834.5774,1844.6498,2025.3868,2140.9512,2205.1404,2330.0918,2370.739,2493.8428,2504.988,2683.2218,2720.7996,2676.7552,2755.4868,2840.6552,2868.1308,2947.4584,3343.709,3300.2606,3193.0402,3482.6366,3688.1672,4025.3542,,,
Burundi,BDI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,567.4218,570.4912,576.8982,563.4584,567.8688,595.0464,610.5126,647.9414,657.7456,702.2966,752.4798,828.9466,893.255,927.1674,1069.6114,1068.3598,1038.0234,1175.0736,1379.1738,1428.0458,1278.5094,1220.7868,,,
Belgium,BEL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,3817.07561,2721.3956,2670.0502,3534.3992,3428.9966,3394.7564,3342.1892,3273.1724,3331.044,3238.9918,3376.1612,3459.0648,3416.9872,3377.532,3372.9428,3445.5952,3483.0538,3353.245,3315.4884,3348.477,3354.5264,3332.7724,,,
Benin,BEN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,2086.5364,2249.9596,1813.032,2121.0746,1880.7376,1793.662,2181.8964,1955.178,2025.7444,1813.8068,1906.5444,1946.5956,1993.0538,2041.4192,2142.2624,2130.3126,2079.1758,2269.8064,2168.4864,2521.2886,2782.0982,2685.2482,,,
Burkina Faso,BFA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,5576.1462,6044.4532,5500.1562,5851.2598,7160.4632,7343.5246,7621.6778,7421.4814,7552.0054,7698.7108,7871.0442,8227.035,8209.7212,8261.8414,8541.3952,8603.4388,8678.5348,9162.457,9184.1216,9279.8094,9275.0712,9597.8946,,,
Bangladesh,BGD,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,17934.9214,18064.611,18466.3448,19003.2216,18493.0456,18576.5154,19302.2646,20295.8562,20350.0326,22395.3258,21864.7666,22364.5722,23345.767,22713.9474,22866.8214,23746.13,24375.4762,23402.536,24230.9462,24959.735,25021.57,25643.9728,,,
Bulgaria,BGR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,2419.5216,2560.1776,2759.1522,3321.8954,3387.4256,3145.3304,2698.4496,2364.034,2616.589,2842.5624,3144.0192,3062.0692,3703.3056,2900.1658,3269.656,3326.6336,3469.1372,3713.9442,3674.2506,3623.1138,3732.7778,3718.3546,,,
Bahrain,BHR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,15.0192,14.4232,13.708,27.8332,26.0452,25.2406,25.0618,25.2704,20.711,26.6412,20.413,30.2172,25.5088,25.5684,25.8068,25.777,37.3096,49.8256,58.7954,61.7158,62.58,62.6694,,,
"Bahamas, The",BHS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,21.2176,17.4032,18.1184,17.1648,14.6616,28.31,20.0554,18.2674,19.2508,26.1644,19.3402,15.8238,26.075,21.8434,27.3266,20.413,23.3334,27.6544,33.376,28.3696,28.757,27.9524,,,
Bosnia and Herzegovina,BIH,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,781.654,786.8392,721.16,709.0612,674.0164,866.3456,888.2486,868.4316,821.4668,953.2722,1090.9184,1067.5254,1195.0992,1287.2706,1208.0324,1304.7036,1347.854,1209.582,1207.9728,1092.6468,1079.2666,1096.1036,,,
Belarus,BLR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,14292.4376,14144.6892,14138.5206,13799.2774,14050.402,14258.257,14604.682,15059.8472,14907.4798,15402.3684,15603.2502,15429.844,15968.2108,15816.9758,15580.6916,15168.1404,15075.82,14294.017,14685.1122,14535.1884,14552.1446,14958.9146,,,
Belize,BLZ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,66.9904,67.1692,67.2288,132.8186,194.5642,70.0002,86.5392,76.6754,87.3736,82.6354,110.4388,93.8104,127.842,116.1604,185.356,188.1572,192.806,189.0512,172.84,154.0064,196.829,197.9912,,,
Bermuda,BMU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,6118.9532,5811.298,5782.5112,6647.7542,6341.0824,7192.0214,7735.5138,7385.1552,7358.514,7359.9444,7337.8626,9187.1612,8110.5766,8118.9504,8090.5212,7654.9346,8168.1502,8654.516,8486.8612,8390.5774,9221.3716,9399.9928,,,
Brazil,BRA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,111320.1648,111062.4544,117914.0704,126692.912,132365.9082,140304.6282,139968.1266,137144.9342,148754.746,142158.0094,138766.5608,155364.6244,154582.5532,155152.2696,155224.8624,161604.1186,158988.811,158633.4162,167141.9718,162655.3136,169525.9718,178417.7256,,,
Barbados,BRB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,42.9716,41.571,38.4122,29.4722,29.7702,44.3722,34.3594,33.4058,32.8396,35.6408,29.4126,30.0086,32.1542,34.8958,35.4322,31.9158,31.3794,33.1674,35.76,31.4092,31.0814,31.3794,,,
Brunei Darussalam,BRN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,50.3024,56.5902,61.09,57.6928,62.9972,67.8248,63.5336,68.3612,73.9934,72.6226,72.2948,78.1058,73.1888,82.8142,87.91,81.8308,82.4268,84.4234,80.8474,85.377,80.2812,89.4894,,,
Bhutan,BTN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,115.9816,105.5516,96.9394,102.3928,101.5584,104.4192,116.667,111.3328,113.4486,102.4226,109.217,105.5218,107.1906,106.5052,106.1178,104.6278,99.6214,100.2472,101.7968,101.32,98.1016,92.7972,,,
Botswana,BWA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,4360.485,4167.1426,5253.0844,5441.3906,1783.6194,2058.7628,2602.3744,3640.815,2603.0598,7087.0658,2461.5992,8285.8304,10528.9658,4232.7026,3721.424,2337.065,1976.187,1596.5648,3256.5738,2150.0104,1206.1252,2845.5722,,,
Central African Republic,CAF,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,9116.2968,10636.067,8616.4316,7423.8058,10078.956,8697.2492,9209.0046,9245.301,9370.5504,10024.0644,7633.866,8736.7044,9310.9504,7791.2398,8428.781,8171.16,8308.7466,9151.6694,8257.6694,8503.5492,7619.2044,8190.679,,,
Canada,CAN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,31439.8642,30366.0808,29828.161,30568.6016,31201.6132,31343.8784,32802.5586,30089.1792,33818.3214,33127.5276,32211.0286,33000.967,35434.9118,37607.5702,37163.0138,36573.5698,36476.6602,35689.523,36118.4046,37862.2112,36358.384,39798.0192,,,
Switzerland,CHE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,1868.5196,1836.0674,1878.2046,1769.4942,1750.2136,1760.4946,1818.1874,1821.1078,1790.533,1836.3654,1810.648,1804.092,1774.3516,1717.9998,1761.8058,1775.8118,1758.796,1759.6602,1744.7006,1713.3212,1650.9498,1673.5978,,,
Chile,CHL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,5088.2606,5111.743,5152.9266,5274.749,5108.3756,5694.4522,5425.984,5592.8044,5840.502,6354.1348,6054.913,6094.6364,5682.264,5716.385,5358.3082,5315.0386,5539.9988,5126.3748,4823.3386,4774.1984,5114.7826,5199.5338,,,
