Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,0.737146652,0.548675386,0.992986356,1.171995547,1.248594021,0.316903458,1.095953872,1.006769112,0.243534905,0.025964463,0.158576853,0.097867573,0.031729305,0.046919053,0.055358095,0.092621379,0.08518762,0.079480297,0.076267043,0.104098348,0.069199439,0.102735794,0.226718764,
Afghanistan,AFG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,9.894828627,7.559672801,10.76704582,12.8790088,0.236604474,0.036992232,0.047523022,14.79906667,16.35910938,17.06363394,16.69459947,21.03506033,,,,
Angola,AGO,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,0.000749818,,0.000464839,0.000379226,,,0.00197436,0.00844074,0.033736186,0.233867793,0.26274384,0.357367566,0.055076726,0.092252838,0.00220435,0.001426722,
Albania,ALB,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,4.623562122,5.970691794,5.54071927,6.516126591,5.143025786,4.4909842,13.94427202,13.11936084,3.384378147,7.650853346,2.987539829,2.42005371,2.602337127,2.485838813,2.336270328,1.272659032,2.305902254,2.404998173,0.489922364,0.325400218,0.492667264,0.565251251,0.468064114,0.229068655,
Andorra,AND,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.941968951,1.33411376,0.75318711,0.787928812,0.685623922,0.605767196,0.509891745,0.481631569,0.640998763,0.79803242,0.890578028,1.636387126,1.807257487,1.722690667,1.47171915,1.397357126,1.58693664,1.751604356,1.649945373,1.527381946,1.462970813,0.849165219,1.220611877,0.506996896,
United Arab Emirates,ARE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.075872318,0.03507284,0.06452384,0.076749336,0.055447139,0.043872546,0.044647284,0.037673176,0.049264914,0.033956562,0.0378394,0.045415983,0.06273946,0.050860357,0.058132026,0.070113812,0.075464734,0.085047459,0.103699913,0.099312164,0.051903013,0.045548199,0.061696851,0.062776285,
Argentina,ARG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.123533773,1.757592616,1.612160319,1.550192497,1.516745387,1.629307158,1.362289456,1.273291427,1.238653995,0.97604638,1.062178649,1.190645507,1.250438669,0.930824975,0.90649222,1.050369034,0.987528543,1.064504073,1.105947009,0.997860687,0.881347105,0.87591661,0.74685877,0.755154416,
Armenia,ARM,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.732436419,4.898266077,6.816144596,1.464508208,0.840332828,1.605086185,0.942920415,2.917158056,2.980832408,1.519981784,0.878378231,1.085101238,0.051371551,0.153805373,0.239583209,0.320868137,0.572657407,0.540729936,0.556840163,0.448222734,0.342518363,0.32994659,0.305388973,0.366979113,
American Samoa,ASM,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.024076644,1.370528492,,,,,0.116769555,,2.539421238,,0.0,0.0,2.411467628,0.019184154,4.21995274,0.211223333,3.797655775,2.765440839,1.957664973,0.0,0.043236901,0.042346767,0.005936181,0.0,
Australia,AUS,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,6.69019422,6.058121221,6.235404084,5.776309677,5.01490134,4.820928998,3.89836058,3.434431229,3.425970959,2.441952676,2.282876544,2.491043371,3.005694105,3.005310474,2.994705894,2.764930603,2.965317588,3.166924685,2.990205316,2.885393719,2.105863067,1.428753573,1.673354004,1.767081247,
Austria,AUT,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.149920123,2.405102635,2.180441507,2.109157744,2.122315704,1.985814893,1.847664341,1.773146383,1.985232296,1.701525559,1.690966541,1.81434009,1.717734403,1.539657267,1.597743944,1.512205678,1.55834885,1.640450455,1.516522013,1.623917369,1.520802618,1.51947054,1.811887196,1.676778325,
Azerbaijan,AZE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.832439053,2.377476406,0.845394774,1.259740665,1.508987631,1.145104731,1.033752471,0.70702642,0.623109717,0.042726416,0.148173494,0.056650221,0.05306518,0.082188774,0.087782958,0.080392411,0.104834273,0.160335751,0.295942682,0.440598186,0.665306825,1.029853904,1.004374677,0.494333036,
Burundi,BDI,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.334089609,7.142575627,0.71577983,1.327897766,0.320237796,0.554081127,2.200428844,2.347087219,4.208359158,3.279254699,3.585219807,4.35703889,3.391347805,2.362981731,0.906211789,0.317841158,2.511336985,0.774417076,0.267791381,0.052440822,0.043930009,0.056913467,0.136350752,0.051870832,
Belgium,BEL,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1.375181367,1.522137702,1.306683099,1.211002077,1.236025406,1.22219896,1.247500708,1.265656249,1.313210833,1.266538864,1.281886378,1.398341964,1.396826902,1.389823253,1.397299888,1.351936822,1.355406043,1.250136785,1.183650561,1.209008217,1.233090254,1.220405599,1.230085255,1.009930649,
Benin,BEN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,76.01766269,69.66676461,59.58808106,56.00388774,74.16684433,72.41365846,64.32519794,42.89777863,47.88128586,38.38992454,31.4117111,26.73841293,39.71549311,48.50274289,49.13521978,45.23362248,49.79935959,50.03361339,54.4213163,56.44643237,64.55729656,64.6438179,74.80259423,76.83913195,
Burkina Faso,BFA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,66.14632189,58.01957564,55.62643558,61.4660503,72.45269728,75.4446082,74.71595519,,54.34582634,33.45086008,25.57233782,16.6146204,11.22059414,13.26819656,18.83827847,17.84896128,13.5184783,16.9946141,12.68782444,9.82394775,10.86977131,6.030787809,9.008462734,10.17104431,
Bangladesh,BGD,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,1.4488005,0.986272757,1.033206778,0.935837715,1.257730754,1.715486009,1.642768395,3.123103433,1.535071573,1.542409161,1.948603358,1.753546573,1.393297593,1.051364119,,0.747182515,,,,,,,,
Bulgaria,BGR,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,2.983011859,2.740356298,2.405922058,2.347001697,2.30643284,2.093605322,1.778539022,1.706180429,1.678123258,1.168299354,0.934957691,1.377884802,1.320140487,1.338856464,1.286918522,1.453258616,1.361323579,1.211182815,1.213623296,1.304166331,1.169849434,0.951952987,0.922793516,0.820647822,
Bahrain,BHR,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,0.041773373,0.04880885,0.049981521,0.051362833,0.039259028,0.029191098,0.023206498,0.016981597,0.013772223,0.011055777,0.021413463,0.107714318,0.058894545,0.102343796,0.034094976,0.076256008,0.082420506,0.085622879,0.06123415,0.070943978,0.086286136,0.077583194,0.065895617,
"Bahamas, The",BHS,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1.471258571,1.129411137,1.226456553,1.117429488,0.796066443,0.407905246,0.286634858,0.569776773,0.328955426,0.4417656,0.636377285,0.478758035,0.865642577,0.39225153,0.553500266,0.285826387,0.882460778,0.803971475,0.598364611,0.586012491,0.608176105,0.495512516,,1.447260669,
Bosnia and Herzegovina,BIH,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,9.973553992,11.56835031,9.78338718,8.339156378,8.201669534,6.830238802,6.198540351,5.916631595,6.190591512,6.52261694,6.955114462,7.13087132,7.03729873,7.07554568,5.649666416,5.264774924,4.862564793,4.945927881,4.923965267,4.646184621,
Belarus,BLR,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.488797864,3.623382379,3.368490026,3.710307506,3.575961378,3.087181311,2.507947455,1.857491673,1.932838615,1.313563837,1.569780717,2.057022028,1.519730517,1.25849353,1.711620041,1.758206156,2.014771728,2.396662293,2.419302478,2.826263051,3.271416543,4.010628613,3.581030125,,
Belize,BLZ,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.038768428,1.400513796,0.812870639,0.918686037,1.210286527,0.851913986,0.700274199,0.291245989,0.572480533,0.724210595,0.771632245,1.572415903,1.85130093,1.820739922,1.134009053,1.316078296,2.019518175,2.183983547,1.654401417,1.330673546,1.04814954,0.737496381,0.895885995,0.868709014,
Bermuda,BMU,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,0.040304636,,0.001671053,0.019901582,0.015281238,0.007809462,0.008397191,0.077569961,0.000581045,,0.081904665,
Bolivia,BOL,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,3.657231909,2.95989328,2.473772744,2.2823764,2.020244658,1.883901876,1.745408516,1.590112673,1.527805165,1.093278817,1.223168328,1.069284444,0.726726089,0.491816651,0.449728066,0.432956446,0.515341762,0.5362668,0.488909901,0.552689797,0.500793223,0.753498773,0.725177607,0.624185378,
Brazil,BRA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,4.55053273,4.820086118,4.163495836,3.981769709,4.547900045,4.046788884,3.897915734,3.763570987,3.842906092,3.608609123,3.823364751,3.882939803,3.565907123,3.842069634,3.679592076,4.099104689,4.809224662,4.959097001,4.73548584,5.425975563,5.761629517,5.662895667,4.781218356,4.717814666,
Barbados,BRB,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.183140156,0.157456168,0.197654339,0.54215091,0.656312193,0.256086091,0.205057314,1.009247255,0.334547761,0.178020046,0.187386899,0.450604712,0.273693515,0.423418589,0.43409795,0.320378719,0.577540867,0.190532805,0.265705725,0.171049724,0.084738662,0.02373013,0.083958737,0.024375876,
Brunei Darussalam,BRN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,0.004024968,0.005095492,0.004710573,0.007785999,,0.00458588,0.004923974,0.003611482,0.013220921,0.013649357,0.010809064,0.012575622,0.015274688,0.024727684,0.032397471,0.034845595,0.038236069,0.00878391,0.028939891,0.01889533,0.025712196,0.011197276,
Bhutan,BTN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1.664940176,,,,,,0.241835405,0.13638573,0.051438825,0.014358034,0.114249743,0.202057675,0.231919488,0.762587313,,,,,,,,,,,
Botswana,BWA,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,0.340490933,0.454558897,0.327472551,0.116703368,0.280778533,0.162496281,0.152945602,0.170634686,0.288181823,0.161471805,0.196444605,0.191282191,0.220339841,0.190721057,0.19220488,0.206573362,0.077986483,0.083674001,0.077876984,0.163163214,0.103171327,0.078061615,0.029540162,
Central African Republic,CAF,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,25.18763742,13.07615252,27.90133089,28.09929759,25.42319839,44.61241029,43.15309275,27.2953583,48.7630161,51.22138477,31.42570222,35.88720246,30.71712964,32.0751608,45.77606319,98.9472024,19.03943641,32.84898443,12.33615687,29.42458566,12.26876255,18.99478858,14.77417529,5.222564974,
Canada,CAN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,6.714321717,6.607752349,5.970256469,5.48795761,5.075544046,5.773445729,4.995217211,4.694363321,4.273759253,3.426964319,3.527750909,4.11515921,3.900678212,3.636592931,4.067568218,4.155022815,4.423050809,4.766705298,4.557507219,4.490957626,3.693404211,4.216032891,4.841550181,3.717156602,
Switzerland,CHE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0.557988404,0.642346689,0.529427846,0.460399963,0.396720988,0.396085105,0.389055014,0.369486824,0.34309584,0.306844034,0.259525566,0.303711743,0.277314668,0.188902786,0.161561933,0.194409607,0.171210148,0.158033863,0.148877255,0.157442572,0.141037383,0.143807447,0.15255775,0.145648893,
