Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,2.94462765,2.513891517,2.516781672,2.677284167,2.773688286,0.378770414,2.821705809,2.645377463,2.540628588,0.655209723,0.830182228,0.827502401,0.256387543,0.30368686,0.398227879,0.496427303,0.33555021,0.297791805,0.3114233,0.350669613,0.339581716,0.353604049,0.338202415,
Afghanistan,AFG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,1.476686406,,,,,,,,,1.871025292,1.821348719,1.769459716,,,,
Angola,AGO,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,0.685799999,,0.68773852,0.653942162,0.639497491,0.668341918,0.538515551,0.889125894,0.689691256,0.5528876,1.061292278,0.998518704,0.956585294,0.957763927,0.933696838,0.890747322,
Albania,ALB,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,3.764101789,0.937486657,0.86458999,0.965784257,1.000180619,1.071021385,1.108976341,1.190219206,0.933264645,0.839775847,0.997295222,1.003346441,0.952701238,0.908226295,0.966432041,0.644994495,0.862938518,0.980008778,0.9041165,0.682219683,0.875030254,0.973133993,0.768459185,0.249995026,
Andorra,AND,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.559174146,0.484753534,0.459556402,0.410149897,0.41366399,0.400098915,,0.370718663,0.396528379,0.430968619,0.426937348,0.382965118,0.404773502,0.390370683,0.406498802,0.432995449,0.395745615,0.399784127,0.354954841,0.394279347,0.419884503,0.366607751,0.42445199,0.425063481,
United Arab Emirates,ARE,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,0.5898677,0.76224308,0.73142982,0.539355042,0.504155404,0.542847344,0.532457671,0.515499553,0.505569284,0.413460703,0.29094228,0.307017857,0.300134234,0.430918221,0.25111093,0.277148014,0.269038543,0.269756565,0.310259911,0.498151882,0.431915823,0.457566225,0.421074242,0.432970386,
Argentina,ARG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1.505998698,1.487772691,1.514687377,2.408418734,2.492596522,1.795036083,1.509072561,1.482690713,1.275760137,1.089470727,1.20286603,1.116271176,1.070346018,1.104394712,0.936071192,0.965200436,0.999527343,0.929774289,0.880018001,0.891536699,1.045669656,1.07712906,0.959465123,0.863496915,
Armenia,ARM,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1.246073958,0.932047573,1.042167073,1.099039831,0.990767688,0.951037802,0.806137601,0.812293662,0.79426194,1.626637913,1.08122683,0.905665793,1.110951849,1.189197063,1.089693815,1.514211805,1.884845259,1.900890249,1.13361517,0.995810529,1.325976215,1.050813073,1.08160398,0.880258404,
American Samoa,ASM,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,2.740657417,2.419439233,,,,,1.71110357,1.795393828,2.39306645,,1.154538155,1.168453979,1.213647581,1.860064793,1.684282054,1.353170005,1.89353395,1.759551018,1.544598264,2.282097081,1.955589867,2.264414563,3.039057788,3.234170031,
