Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,6603351.955,348603.352,353072.6257,354189.9441,368156.4246,396089.3855,408938.5475,432402.2346,477653.6313,483240.2235,508379.8883,502793.2961,537988.8268,561452.514,486033.5196,413407.8212,370949.7207,555307.2626,739664.8045,729050.2793,936312.8492,,,,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,1477787802.0,1691686566.0,1552895062.0,1930134259.0,1996430526.0,2934602219.0,2516433494.0,3637622453.0,4156043681.0,4227582729.0,4855571680.0,4595531207.0,4537457838.0,3948217064.0,4663262628.0,4954700544.0,3979453248.0,4845363303.0,5981905983.0,4793204105.0,,
Angola,AGO,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,387034655.5,517163204.7,728860314.8,892609812.2,1104099923.0,1472210378.0,1870876565.0,2719245779.0,3421447172.0,4254583293.0,4655177818.0,5179053428.0,6534871905.0,7772338146.0,8611957335.0,10261491760.0,8255567077.0,5187083683.0,7381539858.0,6838910103.0,5588620582.0,4824228921.0,7639008924.0,14574897262.0,
Albania,ALB,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,832541636.5,853223432.0,890950856.2,957666991.0,1233309074.0,1475553859.0,1517438816.0,1575348420.0,1831547686.0,2168840323.0,2022750082.0,2141583008.0,2349571761.0,2312038877.0,2499688485.0,2644330679.0,2252343961.0,2354447510.0,2476628808.0,2793252452.0,2832292992.0,2915069419.0,3291715602.0,3522763459.0,
Andorra,AND,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,7388974.213,6836627.86,6776138.956,9898040.03,12006978.2,12025568.32,12218666.46,14576301.81,16625773.61,15392245.25,16094200.12,17803105.17,19169049.95,18699905.04,17589354.99,14323818.15,15120303.82,16787052.96,17584405.74,16489864.27,16173504.24,17743562.93,16615558.05,
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,1970319946.0,2360789653.0,2312321307.0,2419605174.0,2397004765.0,2461810756.0,2520353982.0,2430496937.0,2518992512.0,2609938734.0,2628999319.0,2206466898.0,2350542387.0,2415136180.0,2534073650.0,2603546715.0,2679578389.0,2772601296.0,2974791440.0,3038302971.0,3121180251.0,3368537939.0,3916872955.0,4176886241.0,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,12638962300.0,13300482400.0,12275651800.0,9974343869.0,13177395615.0,13769497386.0,15777249625.0,16129176943.0,21427791191.0,26462268579.0,17559926037.0,30213817111.0,37104355521.0,31567304378.0,33413631490.0,35330279235.0,30669352554.0,34926979196.0,33672207049.0,23815691142.0,23814083576.0,24521654022.0,35647668835.0,41906614728.0,
Armenia,ARM,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,1902205139.0,2050215598.0,2098075454.0,1817613988.0,1728561669.0,1728457145.0,1736924918.0,1569706413.0,1434808158.0,1574360720.0,2024159341.0,
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,12777777.78,13196296.3,12914814.81,14096296.3,14970370.37,14807407.41,17966666.67,19125925.93,21081481.48,21203703.7,18322222.22,18762962.96,20977777.78,24055555.56,19670370.37,19870370.37,20781481.48,21725925.93,25492592.59,27029629.63,28429629.63,32170370.37,33337037.04,36503703.7,
