Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,98.61427973,98.60620134,98.51857617,98.43110659,98.3437922,98.25663257,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,98.1696273,,,
Angola,AGO,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,35.32941465,32.78688525,30.19462635,27.70393928,25.30896893,23.00430176,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,20.78492491,,,
Albania,ALB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,57.69614928,57.67765807,55.39115433,52.86449565,50.05774918,46.9216092,43.39447577,40.67839235,42.57297193,44.54401256,46.59623826,48.73477038,50.96517032,53.29348774,55.72631541,58.27085155,69.56521739,70.26431718,64.01098901,68.16283925,61.18479222,69.33842239,,,
Andorra,AND,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,76.6809478,78.47525912,80.08314108,81.53236569,82.84531204,82.84336637,82.84142071,78.94728238,75.22681882,71.66866487,68.26242584,64.99857611,61.86837013,58.86376418,55.97734736,53.20228055,50.53224231,47.96138084,47.38791598,47.7527471,47.25429772,46.49571281,,,
Argentina,ARG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,71.53660766,70.65438204,71.01563042,71.36175073,71.69367376,72.01225548,72.3182844,72.61248811,72.895539,73.16805947,73.43062644,73.68377543,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,73.92800424,,,
Armenia,ARM,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,66.08329917,65.99816806,65.89279618,65.76670128,65.75217655,65.75801905,65.7557643,65.75875486,66.95005314,64.67811722,61.84229919,58.20292781,67.4733388,71.67630058,77.50888475,74.90820073,81.74311927,80.0,73.17073171,69.34414149,74.48516579,70.34287734,,,
American Samoa,ASM,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,18.46590909,17.88990826,17.16549296,16.83937824,16.3590604,15.90538336,15.47619048,15.5088853,15.53846154,15.56534508,15.58988764,15.61238223,15.63307494,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,,,
Australia,AUS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,69.50127877,69.38251216,69.26267281,68.36149434,67.39490399,66.35551167,65.23477056,62.59364028,59.57407915,56.08847612,52.01991465,53.83321141,55.1139772,59.84768088,65.67753697,63.3583691,54.24120023,65.53727043,69.41419082,70.65830365,66.8328726,62.32283249,,,
Austria,AUT,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,2.726504349,2.748553192,2.770961554,2.793738301,2.738467165,2.682180676,2.624850596,2.56644763,2.506941377,2.446300275,2.325226362,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,,,
Azerbaijan,AZE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,56.44217914,58.03141456,58.20132244,63.28598795,62.33406977,65.55657532,66.52670362,65.80693181,69.93480033,69.6895585,73.53108507,72.17029665,73.07858835,74.24394319,71.23500116,69.7198667,91.14552143,91.09277656,92.08745875,92.3563738,92.24781573,92.32848398,,,
Burundi,BDI,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,76.71541057,77.08333333,77.50855387,77.93849178,78.37322601,78.81283726,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,,,
Belgium,BEL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,0.382229408,0.471097192,0.521242013,0.566933808,0.587344168,0.542762399,0.554146708,0.583872119,0.593505219,0.640499261,0.666444519,0.682433227,0.700437774,0.720865038,0.83619211,0.927643785,1.126690035,1.099846878,1.041040219,1.274214241,1.274214241,1.274214241,,,
Benin,BEN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,51.10385369,48.31603616,45.38461538,42.53347065,40.01937985,37.78591034,35.78856153,33.99176955,32.36677116,30.89005236,29.54220315,28.30705963,27.17105263,26.12270715,25.15225335,24.2513212,23.41269841,24.68619247,25.21367521,25.21367521,25.21367521,25.21367521,,,
Burkina Faso,BFA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,66.08292701,58.01442216,57.14790263,55.60254817,54.13857003,52.74970534,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,,,
Bangladesh,BGD,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,,,
Bulgaria,BGR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,20.51872526,19.32170227,14.83233902,11.27636971,15.95792366,13.62503812,13.60562197,13.58571812,11.27636971,15.81341908,16.27675216,15.76086045,16.44453493,16.61242345,15.08778347,13.51612783,14.72270579,15.95185808,14.75786497,13.34562212,14.7178163,14.94977349,,,
Bahrain,BHR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,49.59558234,49.06749556,47.52823307,46.02070105,44.54392837,43.16694149,41.83808729,40.5548854,39.31502301,38.11634091,36.956821,35.83457492,34.74783381,33.69493898,32.67433346,31.68455436,32.16864663,33.31031308,33.31031308,33.31031308,33.31031308,33.31031308,,,
"Bahamas, The",BHS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,25.04288165,24.06096897,24.04462116,24.02779334,24.01046406,23.99261055,23.97420868,25.16722408,26.40613587,27.69364449,29.0326665,30.42635659,31.04121475,31.66520979,32.2985469,32.9726289,29.99308915,29.47658402,30.85182534,29.90654206,27.02503682,27.61474793,,,
Belize,BLZ,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,66.56102935,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,67.72277228,,,
Bermuda,BMU,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,90.97975332,91.09038936,91.19934403,91.30665534,91.41236022,91.51649446,91.61909281,91.720189,91.81981578,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,91.95402299,,,
Brazil,BRA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,58.94859395,58.30454141,57.66778821,57.03821095,56.41568902,55.80010448,55.19134199,54.58928879,56.21586894,57.63732129,58.89014723,60.00267272,58.70751589,57.32160732,55.83506224,54.23650623,54.0269665,60.86563113,60.03349574,58.36090226,63.07829181,61.63690476,,,
Barbados,BRB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,67.65432099,,,
Brunei Darussalam,BRN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,5.760869565,,,
Bhutan,BTN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,,,
Botswana,BWA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,41.74461605,41.2371134,40.54743442,39.87183724,39.20989494,38.56119768,37.92535186,37.88521261,37.84461529,37.80355201,37.7620147,37.71999511,37.67748479,38.23983531,36.70852957,35.12506652,36.31522897,40.23845007,35.75129534,39.01960784,36.92757067,36.95979995,,,
Central African Republic,CAF,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,0.638977636,0.604229607,0.592943967,0.582072177,0.571591883,0.561482313,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,0.551724138,,,
Canada,CAN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,8.827045534,8.524423031,8.102637627,7.683151199,7.265945004,6.851000498,6.438299342,6.02782339,5.619554695,5.619554695,5.619554695,11.70545189,10.99589058,10.20020391,9.358869787,8.458601291,7.505688282,9.099183622,10.64463631,10.64786712,10.65109989,10.65109989,,,
Switzerland,CHE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,1.972853535,2.342451112,2.714455917,3.142888417,3.589527027,4.055557436,4.542270573,5.051074556,5.583508289,6.141257018,6.72617014,7.340281696,7.985833998,9.309222003,9.396642799,9.223412836,9.228729537,9.234052371,9.05645435,9.05645435,9.05645435,,,
Chile,CHL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,83.03697432,83.75824558,84.49458339,85.24398265,86.00679401,86.78338078,87.5741195,88.37940057,89.19962889,90.03522452,90.88662342,90.88662342,90.88662342,90.88662342,90.88662342,,,
China,CHN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,70.03015002,68.82502728,67.97586922,67.12937781,66.2855405,65.44434483,64.60577843,64.25815503,63.01417819,63.28151986,63.51074719,62.50423585,62.44162775,64.31294547,64.52674355,64.5694259,64.40394583,62.38204033,62.32253367,61.39306791,61.1555836,62.14454059,,,
Cote d'Ivoire,CIV,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,45.9159014,42.58943782,41.69172095,40.82841852,39.99758881,39.19743347,38.42628453,39.52388681,40.71509993,41.96489414,43.32613217,44.77470119,46.31928388,47.94968128,49.72660716,51.63511188,51.63511188,51.63511188,51.63511188,51.63511188,51.63511188,51.63511188,,,
Cameroon,CMR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,73.95879857,76.26241722,74.38433589,72.5965327,70.89265102,69.26691729,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,67.71407571,,,
