Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.023023703,0.022446437,0.022052905,0.021791002,0.02157474,0.021381227,0.021167829,0.020919189,0.020663932,0.020408996,0.020158852,0.019932032,0.019745676,0.019586337,0.019440124,0.019306137,0.019183364,0.019070504,0.018968313,0.018874691,0.018789576,0.018764366,0.018772821,,
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.397293297,0.393133453,0.390225182,0.365614591,0.343208451,0.33183956,0.319730406,0.306332475,0.300888292,0.294923423,0.284568656,0.276448765,0.266366651,0.255690853,0.246819962,0.237527513,0.230050224,0.223147991,0.216000609,0.212447076,0.206198128,0.200886631,0.195239527,,
Angola,AGO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.189026948,0.182993086,0.177079042,0.176979641,0.182075575,0.17580193,0.169657445,0.163671479,0.162604083,0.156743266,0.177717164,0.179762316,0.193741642,0.186594629,0.18529849,0.184677741,0.182204595,0.183400672,0.177167927,0.171295005,0.165762141,0.160581607,0.155722096,,
Albania,ALB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.185603475,0.187113936,0.18887821,0.189445462,0.190155599,0.190951982,0.178649285,0.195151488,0.194611681,0.206968107,0.208025977,0.214897181,0.214099226,0.213453243,0.213153848,0.213076442,0.213524268,0.215673928,0.212983873,0.213281858,0.213720806,0.211286788,0.213361046,,
Andorra,AND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.015231132,0.01512928,0.011058685,0.011997346,0.011636246,0.010528642,0.010021797,0.00972314,0.009850578,0.009992768,0.010426258,0.01076637,0.010911616,0.010702266,0.011349784,0.011169908,0.011289828,0.011304108,0.011105543,0.010991428,0.010362443,0.009895753,0.00945922,,
United Arab Emirates,ARE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.013881881,0.018318748,0.020554699,0.020640374,0.016782734,0.015776271,0.015884165,0.010328735,0.007594561,0.007383363,0.006243241,0.005965735,0.005259349,0.004281608,0.00428481,0.004979656,0.004945666,0.004947598,0.004907206,0.004627923,0.005417049,0.005276028,0.005370979,,
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.751152067,0.745600834,0.740278416,0.735435645,0.779248451,0.822223687,0.864887809,0.901351022,0.927495161,0.884851378,0.847763579,0.931712218,0.936139243,0.949431929,0.933378212,0.919056938,0.935248349,0.921361802,0.916927535,0.903679284,0.908098116,0.925776916,0.921412666,,
Armenia,ARM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.140360508,0.142022008,0.145222051,0.146536096,0.147530789,0.14841417,0.149315152,0.149645496,0.150479648,0.150967631,0.151604293,0.152225186,0.153364179,0.153855603,0.154477948,0.154848041,0.155179871,0.155766121,0.156385709,0.157091855,0.157696832,0.158254467,0.158876435,,
American Samoa,ASM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.01302219,0.013051692,0.013202112,0.01340736,0.013634559,0.013882622,0.014147483,0.014427222,0.014720749,0.015029253,0.015352382,0.015679411,0.016019149,0.016390084,0.016794037,0.017235766,0.017715309,0.0182366,0.018801933,0.019411862,0.020075654,0.020784169,0.021538803,,
Antigua and Barbuda,ATG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.054185123,0.053294251,0.052483107,0.051816828,0.051232789,0.050670754,0.050082009,0.049446814,0.048770972,0.048047471,0.047318239,0.046677169,0.046120675,0.04562356,0.045199272,0.044824959,0.044473599,0.04416766,0.043898638,0.043655731,0.043423038,0.04316671,0.042909707,,
