Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,11.73359091,11.77958696,11.77958696,11.77192095,11.91604189,11.98350275,11.96663754,11.94977232,11.94977232,11.94977232,11.94823912,11.94823912,11.94517272,11.94363951,11.93597351,11.91450869,11.90530948,11.85011422,11.80411818,11.94977232,11.94057311,12.00343437,12.00343437,,
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.36889388,3.769952675,3.769952675,3.886259726,4.018609128,4.110852651,4.288922756,4.292933344,4.296943932,4.301756638,4.305767225,4.309777813,,
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.33576642,22.31189781,22.26277372,21.88321168,21.89416058,,
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,2.127659574,2.127659574,1.595744681,1.808510638,1.829787234,1.723404255,1.70212766,1.659574468,1.638297872,1.617021277,1.638297872,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.754255319,1.683191489,1.635957447,1.590638298,,
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,0.60546325,0.844832442,0.999718389,1.056040552,0.901154604,0.887074064,0.957476767,0.712475359,0.627992115,0.7265559,0.702618981,0.712475359,0.635032385,0.52238806,0.528020276,0.61954379,0.620951845,0.626584061,0.626584061,0.595606871,0.702618981,0.689946494,0.708251197,,
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,10.06032835,10.09979208,10.13852501,10.18091198,10.89937114,11.6178303,12.34761701,13.00202069,13.51446455,13.02167947,12.60307159,13.88651985,14.11431328,14.47840274,14.39377496,14.32960986,14.74010575,14.67557524,14.7572067,14.69247876,14.91172171,15.35020762,15.42328861,,
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797331,15.87987355,15.82016157,15.78503688,15.75342466,15.77801194,15.74991219,15.74288725,15.71829996,15.69020021,15.6796628,15.66561293,15.65156305,15.62346329,15.59536354,15.57499122,,
American Samoa,ASM,Arable land (% of land area),AG.LND.ARBL.ZS,3.75,3.8,3.85,3.9,3.95,4.0,4.05,4.1,4.15,4.2,4.25,4.3,4.35,4.4,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,,
Antigua and Barbuda,ATG,Arable land (% of land area),AG.LND.ARBL.ZS,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,,
