Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Arable land (hectares),AG.LND.ARBL.HA,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,,
Afghanistan,AFG,Arable land (hectares),AG.LND.ARBL.HA,7653000.0,7683000.0,7683000.0,7678000.0,7772000.0,7816000.0,7805000.0,7794000.0,7794000.0,7794000.0,7793000.0,7793000.0,7791000.0,7790000.0,7785000.0,7771000.0,7765000.0,7729000.0,7699000.0,7794000.0,7788000.0,7829000.0,7829000.0,,
Angola,AGO,Arable land (hectares),AG.LND.ARBL.HA,3000000.0,3000000.0,3000000.0,3100000.0,3300000.0,3300000.0,3300000.0,3300000.0,3400000.0,3400000.0,4000000.0,4200000.0,4700000.0,4700000.0,4845000.0,5010000.0,5125000.0,5347000.0,5352000.0,5357000.0,5363000.0,5368000.0,5373000.0,,
Albania,ALB,Arable land (hectares),AG.LND.ARBL.HA,577000.0,578000.0,578000.0,578000.0,578000.0,578000.0,538000.0,584000.0,578000.0,610000.0,609000.0,626000.0,622000.0,619100.0,617100.0,615600.0,615100.0,620300.0,612000.0,611346.0,610000.0,599600.0,599900.0,,
Andorra,AND,Arable land (hectares),AG.LND.ARBL.HA,1000.0,1000.0,750.0,850.0,860.0,810.0,800.0,780.0,770.0,760.0,770.0,770.0,770.0,760.0,810.0,800.0,810.0,820.0,820.0,824.5,791.1,768.9,747.6,,
United Arab Emirates,ARE,Arable land (hectares),AG.LND.ARBL.HA,43000.0,60000.0,71000.0,75000.0,64000.0,63000.0,68000.0,50600.0,44600.0,51600.0,49900.0,50600.0,45100.0,37100.0,37500.0,44000.0,44100.0,44500.0,44500.0,42300.0,49900.0,49000.0,50300.0,,
Argentina,ARG,Arable land (hectares),AG.LND.ARBL.HA,27532000.0,27640000.0,27746000.0,27862000.0,29828200.0,31794400.0,33791600.0,35582500.0,36984900.0,35636300.0,34490700.0,38003100.0,38626500.0,39622900.0,39391300.0,39215700.0,40339100.0,40162500.0,40385900.0,40208759.7,40808759.7,42008759.7,42208759.7,,
Armenia,ARM,Arable land (hectares),AG.LND.ARBL.HA,450000.0,450000.0,455000.0,455000.0,455000.0,455000.0,455000.0,452900.0,452100.0,450400.0,449400.0,448500.0,449200.0,448400.0,448200.0,447500.0,446700.0,446400.0,446000.0,445600.0,444800.0,444000.0,443420.0,,
American Samoa,ASM,Arable land (hectares),AG.LND.ARBL.HA,750.0,760.0,770.0,780.0,790.0,800.0,810.0,820.0,830.0,840.0,850.0,860.0,870.0,880.0,890.0,900.0,910.0,920.0,930.0,940.0,950.0,960.0,970.0,,
Antigua and Barbuda,ATG,Arable land (hectares),AG.LND.ARBL.HA,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,,
Australia,AUS,Arable land (hectares),AG.LND.ARBL.HA,22994000.0,23473000.0,24200000.0,23735000.0,23240000.0,25743000.0,26402000.0,24228000.0,23125000.0,23994100.0,27141600.0,25591750.0,31694900.0,31637400.0,31220800.0,31960300.0,31090700.0,30057000.0,30752000.0,30974000.0,30573000.0,30644000.0,31265000.0,,
Austria,AUT,Arable land (hectares),AG.LND.ARBL.HA,1402000.0,1399000.0,1387000.0,1385000.0,1380030.0,1379300.0,1380700.0,1377200.0,1376000.0,1369000.0,1366600.0,1363800.0,1359600.0,1355100.0,1353900.0,1351700.0,1346100.0,1344490.0,1328940.0,1327150.0,1325530.0,1324971.4,1319765.4,,
Azerbaijan,AZE,Arable land (hectares),AG.LND.ARBL.HA,1824900.0,1825600.0,1835700.0,1837300.0,1838500.0,1840700.0,1843200.0,1841300.0,1854000.0,1860200.0,1874000.0,1884100.0,1885700.0,1896800.0,1925300.0,1926500.0,1937700.0,1999000.0,2094500.0,2097900.0,2096000.0,2084300.0,2089000.0,,
Burundi,BDI,Arable land (hectares),AG.LND.ARBL.HA,960000.0,960000.0,975000.0,986000.0,990000.0,985000.0,956000.0,939000.0,942000.0,945000.0,948000.0,950000.0,1000000.0,1027000.0,1054000.0,1081000.0,1108000.0,1135000.0,1162000.0,1189000.0,1216000.0,1243000.0,1270000.0,,
Belgium,BEL,Arable land (hectares),AG.LND.ARBL.HA,873000.0,862000.0,845000.0,832000.0,835000.0,840000.0,843000.0,842000.0,839000.0,844000.0,840000.0,834000.0,825000.0,803000.0,816000.0,817000.0,829500.0,849400.0,836000.0,850000.0,857286.0,864876.6,865640.0,,
Benin,BEN,Arable land (hectares),AG.LND.ARBL.HA,2300000.0,2380000.0,2450000.0,2550000.0,2650000.0,2650000.0,2654000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2600000.0,2700000.0,2700000.0,2700000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,,
Burkina Faso,BFA,Arable land (hectares),AG.LND.ARBL.HA,3996000.0,4091000.0,4187000.0,4283000.0,4378000.0,4474000.0,4570000.0,4665000.0,4761000.0,4857000.0,4952000.0,5048000.0,5143000.0,5239000.0,5335000.0,5430000.0,5526000.0,5622000.0,5717000.0,5813000.0,5909000.0,6004000.0,6100000.0,,
Bangladesh,BGD,Arable land (hectares),AG.LND.ARBL.HA,8436000.0,8350000.0,8303000.0,8253000.0,8228000.0,8143000.0,7911000.0,7880000.0,7816000.0,7803000.0,7796000.0,7791000.0,7678000.0,7670000.0,7678000.0,7669000.0,7732240.0,7764210.0,7757330.0,7772300.0,7967000.0,8000000.0,8110000.0,,
Bulgaria,BGR,Arable land (hectares),AG.LND.ARBL.HA,3578000.0,3526000.0,3467000.0,3355000.0,3323000.0,3313000.0,3173000.0,3132000.0,3085000.0,3088000.0,3146000.0,3186000.0,3250000.0,3317000.0,3479000.0,3486000.0,3509700.0,3496000.0,3489080.0,3478000.0,3476000.0,3492000.0,3500475.5,,
Bahrain,BHR,Arable land (hectares),AG.LND.ARBL.HA,2000.0,2010.0,2010.0,2020.0,2020.0,2030.0,2030.0,2040.0,2040.0,2050.0,2050.0,2060.0,2060.0,2070.0,2070.0,2080.0,2080.0,2090.0,2090.0,2100.0,2100.0,2100.0,2100.0,,
"Bahamas, The",BHS,Arable land (hectares),AG.LND.ARBL.HA,6000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,,
Bosnia and Herzegovina,BIH,Arable land (hectares),AG.LND.ARBL.HA,950000.0,1000000.0,1010000.0,997000.0,1017000.0,1028000.0,1025000.0,1027000.0,1022000.0,1008000.0,997000.0,1004000.0,1005000.0,1003000.0,1009000.0,1006000.0,1022000.0,1026000.0,1060000.0,1029000.0,1015000.0,1015000.0,1008000.0,,
Belarus,BLR,Arable land (hectares),AG.LND.ARBL.HA,6182000.0,6133000.0,5761000.0,5616000.0,5569000.0,5548000.0,5542000.0,5540000.0,5519000.0,5516000.0,5544000.0,5535000.0,5529000.0,5522000.0,5559700.0,5662100.0,5677400.0,5683800.0,5727000.0,5712000.0,5713000.0,5660000.0,5624000.0,,
Belize,BLZ,Arable land (hectares),AG.LND.ARBL.HA,64000.0,64000.0,65000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,73000.0,75000.0,75000.0,78000.0,78000.0,78000.0,88000.0,88000.0,90000.0,90000.0,92000.0,98000.0,100000.0,,
Bermuda,BMU,Arable land (hectares),AG.LND.ARBL.HA,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,
Bolivia,BOL,Arable land (hectares),AG.LND.ARBL.HA,3070000.0,3144000.0,3150000.0,3300000.0,3514000.0,3579000.0,3806000.0,3891500.0,3977000.0,4062500.0,4148000.0,4233500.0,4325000.0,4417500.0,4510000.0,4515842.8,4504835.4,4538231.1,4424546.5,4627599.3,4742421.9,4756674.1,4868367.2,,
Brazil,BRA,Arable land (hectares),AG.LND.ARBL.HA,44871000.0,45448000.0,46025000.0,46602000.0,47179000.0,47756000.0,48333000.0,48914000.0,49537000.0,50159000.0,50782000.0,51405000.0,52027000.0,52650000.0,53272000.0,53895000.0,54518000.0,55140000.0,55762000.0,56385000.0,57007690.0,57630280.0,58252760.0,,
Barbados,BRB,Arable land (hectares),AG.LND.ARBL.HA,15000.0,15000.0,15000.0,14000.0,14000.0,13000.0,13000.0,13000.0,13000.0,13000.0,13000.0,12000.0,11000.0,10000.0,9500.0,9000.0,8000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,,
Brunei Darussalam,BRN,Arable land (hectares),AG.LND.ARBL.HA,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,,
Bhutan,BTN,Arable land (hectares),AG.LND.ARBL.HA,153000.0,154000.0,155000.0,156000.0,157000.0,158000.0,167000.0,151300.0,136300.0,100000.0,100000.0,100600.0,100200.0,100200.0,100200.0,100200.0,100200.0,100000.0,94500.0,94000.0,94000.0,94000.0,94000.0,,
Botswana,BWA,Arable land (hectares),AG.LND.ARBL.HA,240000.0,350000.0,200000.0,245000.0,195000.0,226000.0,213500.0,201000.0,182000.0,279000.0,316000.0,259000.0,324000.0,285000.0,280000.0,402000.0,259600.0,259600.0,259600.0,259600.0,260000.0,260000.0,260000.0,,
Central African Republic,CAF,Arable land (hectares),AG.LND.ARBL.HA,1870000.0,1870000.0,1870000.0,1870000.0,1870000.0,1870000.0,1870000.0,1870000.0,1870000.0,1870000.0,1866000.0,1834000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,,
Canada,CAN,Arable land (hectares),AG.LND.ARBL.HA,40993000.0,40971000.0,40948000.0,40615000.0,40282000.0,39949000.0,39616000.0,39283000.0,38884000.0,38485000.0,38086000.0,37687000.0,37285000.0,37534000.0,37783000.0,38032000.0,38282000.0,38530000.0,38509000.0,38690000.0,38648000.0,38235000.0,38259000.0,,
Switzerland,CHE,Arable land (hectares),AG.LND.ARBL.HA,409881.6,408038.5,408765.3,407594.9,406267.0,405776.3,405412.3,406158.8,405879.5,405489.1,405213.9,403749.4,403051.3,403017.7,402901.7,399441.7,398398.8,398695.3,398184.0,398138.9,398794.4,399841.5,395464.6,,
Chile,CHL,Arable land (hectares),AG.LND.ARBL.HA,1800000.0,1750000.0,1750000.0,1650000.0,1500000.0,1500000.0,1450000.0,1350000.0,1262000.0,1265993.0,1269986.0,1272979.0,1276971.0,1280964.0,1284957.0,1288950.0,1291943.0,1295936.0,1299929.0,1303921.0,1306914.0,1310907.0,1313900.0,,
China,CHN,Arable land (hectares),AG.LND.ARBL.HA,119039750.0,119040000.0,119633844.4,120027688.9,120221533.3,120415377.8,120659222.2,121003066.7,120946911.1,121190755.6,121384600.0,120132300.0,118680000.0,117327700.0,116375400.0,115603100.0,114870800.0,113451833.3,112032866.7,110613900.0,109162000.0,108962000.0,108862000.0,,
Cote d'Ivoire,CIV,Arable land (hectares),AG.LND.ARBL.HA,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,2900000.0,2900000.0,2900000.0,2900000.0,2900000.0,3000000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,,
