Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,,,
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,,,
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,1485.0,,,
Andorra,AND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,,,
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,,,
Armenia,ARM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,,,
American Samoa,ASM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,,,
Australia,AUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,,,
Austria,AUT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,,,
Azerbaijan,AZE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,,,
Burundi,BDI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1274.0,1218.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,1274.0,,,
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,847.0,,,
Benin,BEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,,,
Burkina Faso,BFA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,748.0,,,
Bangladesh,BGD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0,,,
Bulgaria,BGR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,,,
Bahrain,BHR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,,,
"Bahamas, The",BHS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,1292.0,,,
Bosnia and Herzegovina,BIH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,,,
Belarus,BLR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,618.0,,,
