Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Cereal production (metric tons),AG.PRD.CREL.MT,3256395.77,1940000.0,2108000.0,3737000.0,4381000.0,3560000.0,5425000.0,4638000.0,5786000.0,3950000.0,6514000.0,5957000.0,4681020.0,6582000.0,6772235.0,7012523.28,6010288.0,5708330.42,5059633.97,4304555.5,5771861.0,6241828.0,4970609.31,4824671.6,
Angola,AGO,Cereal production (metric tons),AG.PRD.CREL.MT,541183.0,519635.0,601120.0,733819.0,736542.08,742341.31,914886.0,723305.0,780963.0,754711.0,1056844.0,1181944.0,1412826.0,509545.03,1674598.34,1823231.03,2019544.24,2370452.67,2480756.75,2870474.94,2916348.63,3075673.21,3053114.7,3173959.08,
Albania,ALB,Cereal production (metric tons),AG.PRD.CREL.MT,497500.0,565800.0,502500.0,518800.0,488500.0,498800.0,511200.0,507500.0,493600.0,608500.0,630900.0,693800.0,701200.0,697400.0,702870.0,700370.0,695000.0,698430.0,701734.0,678196.0,666065.0,684023.0,691126.7,690850.0,
Andorra,AND,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Cereal production (metric tons),AG.PRD.CREL.MT,4046.85,4037.21,3642.89,3133.91,2372.56,2210.4,2156.96,2216.51,1860.0,2378.0,3401.0,5336.0,4590.17,3779.0,772.0,2580.0,3695.0,5988.0,17143.0,8169.54,26072.05,26405.0,23474.84,23031.27,
Argentina,ARG,Cereal production (metric tons),AG.PRD.CREL.MT,31936418.0,37983923.0,36655385.0,35057269.0,32473165.0,34193141.0,41947408.0,32262738.0,42067213.0,44956952.0,26147049.0,39769212.0,50916576.0,47372117.0,50742603.0,50794075.58,55980088.03,61148032.97,76397452.56,70592010.0,83616966.37,85702826.46,87692513.88,91584182.57,
Armenia,ARM,Cereal production (metric tons),AG.PRD.CREL.MT,292212.0,216970.0,360144.0,407583.0,305303.0,451641.0,391829.0,208587.0,447554.0,409182.0,369076.6,321954.0,435470.0,451049.0,543659.0,574673.0,595756.6,598966.0,298029.0,334342.0,195063.0,242010.7,149802.0,239505.3,
American Samoa,ASM,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cereal production (metric tons),AG.PRD.CREL.MT,49.73,48.0,50.77,50.0,55.0,60.0,61.12,65.0,64.85,68.0,66.32,63.44,71.88,70.12,71.77,72.08,74.57,64.71,51.47,36.94,22.98,11.4,10.68,15.74,
Australia,AUS,Cereal production (metric tons),AG.PRD.CREL.MT,33644600.0,35386938.0,34717520.71,38590113.0,17553202.0,42384121.8,34357112.0,40504980.0,17771911.0,26866214.0,34140448.13,33464873.64,39973081.87,43362426.46,35589235.54,38420401.88,37195914.48,35229824.87,50049458.35,33860810.45,29236107.03,26612704.79,51077697.91,56306820.81,
Austria,AUT,Cereal production (metric tons),AG.PRD.CREL.MT,4809095.2,4494383.16,4837093.57,4762611.9,4269509.66,5323713.99,4907056.68,4467510.5,4766039.24,5756463.63,5164152.4,4866648.45,5712206.55,4883379.22,4599433.26,5720308.58,4853895.01,5701697.09,4874849.22,4787200.0,5399310.0,5649770.0,5316150.0,5205750.0,
Azerbaijan,AZE,Cereal production (metric tons),AG.PRD.CREL.MT,1065306.4,1496224.24,1955915.0,2133184.0,1993208.0,2086640.0,2056186.0,2011622.0,1943652.6,2419910.7,2903361.0,1928779.0,2370823.1,2707274.3,2856572.0,2298047.5,2898559.0,2965670.0,2824527.1,3181818.0,3416764.3,3151182.0,3258169.4,3055969.7,
Burundi,BDI,Cereal production (metric tons),AG.PRD.CREL.MT,264518.0,254735.0,283645.0,292395.0,282588.0,290589.0,296951.0,296904.0,301452.0,297923.0,310262.0,323180.0,338093.0,257030.65,254198.46,236880.85,260287.26,468248.09,375525.86,459945.08,547255.71,465248.57,457949.29,466394.0,
Belgium,BEL,Cereal production (metric tons),AG.PRD.CREL.MT,,2513100.0,2358600.0,2639300.0,2560990.0,2931988.0,2786575.0,2684227.0,2718733.0,3113270.0,3255409.0,3041408.0,2939102.0,2957908.0,3097497.0,3162852.0,3163733.0,2287774.0,2764392.0,2431020.0,2814390.0,2565850.0,2452580.0,2779540.0,
Benin,BEN,Cereal production (metric tons),AG.PRD.CREL.MT,974484.0,993383.0,942790.0,1086000.0,1042770.0,1108856.0,1151853.0,1095952.0,1158679.0,1267588.0,1508142.0,1333435.72,1544233.0,1576090.51,1791887.87,1714040.4,1643227.33,1814288.87,1897503.59,2320755.59,2177782.78,2203105.09,2308912.73,2297372.9,
Burkina Faso,BFA,Cereal production (metric tons),AG.PRD.CREL.MT,2699886.0,2279246.55,3109092.0,3119050.0,3564281.0,2901973.0,3649533.0,3680674.0,3108811.0,4358518.0,3626638.0,4560546.0,3666404.0,4898544.0,4869722.0,4469300.0,4189665.0,4567066.0,4063197.0,5180701.81,4939629.91,5179104.0,4661140.0,5179059.02,
Bangladesh,BGD,Cereal production (metric tons),AG.PRD.CREL.MT,36403000.0,39503000.0,38029335.0,39341455.0,40015280.0,37759046.0,41146756.0,42044685.0,44841300.0,48946800.0,49735853.0,51862850.0,52628364.0,52801014.0,54357477.0,55241123.0,55438379.0,54262297.0,58495624.0,58816519.33,59185501.11,59962356.15,61597969.2,62549531.82,
Bulgaria,BGR,Cereal production (metric tons),AG.PRD.CREL.MT,5221441.0,4388340.55,6076855.95,6770394.0,3814085.0,7462821.0,5839080.0,5531830.0,3870212.73,7015582.0,6243088.0,7136449.0,7521107.72,6988023.0,9153930.0,9530421.0,8570299.0,8752219.0,9475846.0,10109850.0,11130990.0,8598290.0,11639300.0,9790690.0,
Bahrain,BHR,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Cereal production (metric tons),AG.PRD.CREL.MT,379.0,312.0,300.0,305.0,340.0,355.0,360.0,380.0,400.0,500.0,600.0,678.0,687.0,690.0,690.83,687.62,597.18,658.54,647.78,626.45,614.65,608.4,608.22,608.04,
Bosnia and Herzegovina,BIH,Cereal production (metric tons),AG.PRD.CREL.MT,1368792.0,930230.0,1137981.0,1307700.0,793364.0,1438704.0,1349772.0,1340995.0,1000576.0,1374701.0,1390724.0,1104907.0,1118257.0,905975.0,1222498.0,1082655.0,1137236.0,1657556.0,1167004.74,1743762.0,1666131.0,1944178.0,1400676.0,1431169.0,
Belarus,BLR,Cereal production (metric tons),AG.PRD.CREL.MT,3427316.12,4579256.44,4885396.76,5723737.08,5132062.2,6604944.45,6104298.71,5700180.97,7029909.22,8728461.48,8169503.73,6741683.99,7996331.18,8843847.86,7233152.0,9033775.0,8186980.0,7075658.0,7529412.0,5813781.0,6991979.0,8403688.0,6914963.89,6800828.75,
