Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1285.7,806.3,1006.7,1669.8,1458.0,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2094.2,2127.7,2096.6,2206.4,2043.3,2091.4,2253.2,2184.7,2050.8,2099.0,2253.3,
Angola,AGO,Cereal yield (kg per hectare),AG.YLD.CREL.KG,620.4,564.4,585.4,627.2,646.1,491.7,583.4,445.9,464.3,652.7,571.4,629.3,662.4,552.0,814.4,888.2,982.4,852.1,809.0,948.3,963.1,992.3,1000.1,1033.3,
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2798.1,3175.1,3030.8,3291.9,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,4873.8,4716.4,4813.0,4840.5,5038.2,5209.2,5144.7,5200.7,
Andorra,AND,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,17165.8,17504.7,17476.9,18064.6,20927.8,20373.6,20215.2,20900.8,21428.6,22265.9,24716.6,18069.8,24064.3,12112.2,36761.9,14238.4,35291.3,33396.5,30801.8,20853.3,23842.3,18982.7,19809.2,23625.3,
Argentina,ARG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3335.6,3461.8,3398.6,3275.7,3308.7,3658.8,4075.8,3707.6,4294.0,4116.5,3249.3,4876.2,4596.3,4162.4,4795.6,4827.3,4779.1,5203.4,5404.6,4671.2,5474.5,5164.2,5193.0,5070.0,
Armenia,ARM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1776.5,1383.0,1878.7,2204.7,1567.1,2280.8,1938.7,1323.9,2592.6,2405.0,2250.3,2068.2,2789.0,2650.5,3072.5,3181.6,3132.1,3076.1,1975.1,2623.6,1690.6,2055.8,1287.2,2185.8,
American Samoa,ASM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1631.7,1600.0,1614.9,1562.5,1571.4,1578.9,1597.4,1625.0,1601.4,1619.0,1590.2,1585.9,1597.4,1595.3,1593.1,1583.0,1579.6,1843.2,2030.7,2233.9,2369.3,3800.0,2094.1,3081.0,
