Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,85.80915334,86.04109555,86.287865,84.69267195,83.94584235,83.62479432,82.62592935,81.8760341,80.65868576,79.89182987,77.48913304,75.04292833,73.25284942,70.16678674,67.55830436,64.92530416,65.56259209,66.17782355,66.58349599,63.13749452,58.8156026,53.81646841,53.19996777,47.44943011,
Angola,AGO,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,46.95023331,46.40776094,46.09833643,44.85287621,44.81196898,44.28933103,46.13010361,48.04483494,49.80119276,51.67975806,53.5374687,56.65098703,60.33482125,63.41332582,66.71552176,69.52460774,67.82101131,66.04140208,64.08224326,61.87005293,59.57800691,60.49896523,61.27084189,60.47982016,
Albania,ALB,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,62.4149787,61.76256247,61.22814478,60.38249935,60.16896175,59.63579653,59.03922752,58.3647653,57.48480527,56.78943502,57.14375215,53.06079495,54.19698991,56.89661316,53.11830621,49.83841896,47.63384368,45.17649291,42.39117627,42.24788933,41.57603137,41.13984856,40.8522572,39.81458245,
Andorra,AND,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,0.059505668,0.059988269,0.065146043,0.070560805,0.077965459,0.086723904,0.093693937,0.113432346,0.133889083,0.159707088,0.136409373,0.120042207,0.108553217,0.094912656,0.082383519,0.070301277,0.059960299,0.051308574,0.043055361,0.037121797,0.054621125,0.046764316,0.0356102,0.034677233,
Argentina,ARG,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,6.334572534,6.163511912,6.045467221,5.915630203,5.584947072,5.349351464,5.074165473,4.806547497,4.590013001,4.378721501,4.260805515,4.043762655,3.908795163,3.771526035,3.660489055,3.576804833,3.475811,3.376311653,3.27098141,3.188956047,3.150913217,3.40347846,3.36149302,3.279224678,
Armenia,ARM,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,68.26913398,68.09559181,67.97540146,67.64223154,67.20859525,66.85053797,66.44055398,66.18598544,65.98313697,65.76850926,65.27913066,65.17148295,65.11258233,65.05725434,64.90929749,64.7335952,64.48684145,64.18390158,64.02876341,63.78926677,61.32567707,60.7935594,65.30286328,64.52029421,
American Samoa,ASM,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,3.479494541,3.431591475,3.333241694,3.049367791,2.69292859,2.558732029,2.444252361,2.322600703,2.249802737,2.183634106,2.221690857,2.287494266,1.893447882,1.919993554,1.670971503,1.829979887,1.852386929,1.755054172,1.656746874,1.681200262,1.720485479,1.908614702,1.792498636,1.36119164,
Austria,AUT,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,6.959685169,6.38351595,6.284978411,6.085720828,5.782390504,5.107721958,5.292438041,5.290492056,5.62183235,5.415364875,5.423304469,5.167835097,4.662772684,4.249065082,4.190756742,4.573693778,4.214864818,3.93292089,3.684162769,3.28689814,3.190490516,3.381778932,3.39808972,3.187320188,
Azerbaijan,AZE,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,47.45762532,45.94695225,42.69735523,39.48107286,37.13342837,38.15963255,37.49646679,43.27821795,42.00125078,40.69122396,44.06689745,44.28016434,43.88555671,43.8223977,43.43810567,42.5711409,41.9758888,42.00720944,41.85025121,41.65740016,41.25364332,41.60052243,41.8646871,40.89069265,
Burundi,BDI,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,96.68953837,96.50968785,96.36229787,96.16578406,96.12203603,96.09463063,95.79670013,95.59957756,95.44400658,95.25199987,95.05876001,94.87441611,94.61804663,94.34653988,94.12626195,93.86704639,93.86644882,93.91334686,93.93753041,93.50206521,92.95582315,92.41216814,92.3579707,92.03621604,
Belgium,BEL,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,1.991246121,1.193907099,0.947065847,1.088536709,1.05942128,1.573663632,1.482872726,1.279973335,1.307421988,1.033586662,0.989012644,0.892563434,0.888029053,0.694957765,0.841769345,0.838979887,0.729631992,0.755248245,0.70872214,0.639758475,0.632623111,0.638187164,0.555489299,0.565488562,
Benin,BEN,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,45.78399064,44.97102365,44.14288713,43.40514861,42.7315962,41.99394869,41.50726417,40.83709351,39.82455376,38.9355953,38.39305263,37.80685937,36.14219288,32.80805406,29.35430153,26.07937248,23.47452825,20.75928596,18.05028423,15.56490467,14.98907676,14.84119048,14.60570589,13.97898226,
Burkina Faso,BFA,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,88.34570444,87.79794371,87.13246063,86.44654099,85.62313031,84.8218056,83.91412774,83.08330131,82.62778066,82.21186229,81.82058929,81.40507098,80.9759122,80.47299003,79.8862503,79.48554305,79.01489287,78.51868401,78.012716,77.47406309,76.93774752,77.01768756,76.98867804,76.38043881,
Bangladesh,BGD,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,72.39304553,71.67721374,68.05473955,63.7510364,58.89760347,63.78905328,68.10519386,68.07834116,67.46957439,66.82138658,66.16573879,65.38195168,61.73807775,57.73489274,53.45456079,57.00378247,60.23968442,63.202507,59.63421832,58.32421433,57.14968313,56.68580431,56.30096332,55.2364776,
Bulgaria,BGR,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,11.06044973,10.63531406,7.139307875,8.158360916,8.367826273,8.316152026,6.861864088,6.142478291,5.678790247,5.819326358,5.376074743,5.217119799,4.821029519,4.295537213,4.448272297,4.568507041,4.337121447,4.254487647,4.537554285,4.243969771,4.298403264,4.24968172,4.092139938,4.242010435,
Bahrain,BHR,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,0.194899848,0.19086907,0.188668292,0.165944374,0.146028411,0.125169622,0.107061841,0.09162897,0.079180047,0.068418723,0.058374097,0.049946536,0.050115848,0.050233226,0.050937526,0.051486594,0.051462605,0.047728608,0.045188066,0.043191569,0.040841795,0.040812464,0.040551262,0.039082706,
"Bahamas, The",BHS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,0.925423399,1.133881063,1.382970481,1.644929327,0.577289763,0.430314708,0.337446487,0.475736258,0.240538427,0.728625233,0.517300698,0.930469851,1.614062837,1.455438014,1.364301176,1.294012793,1.25482415,1.210007086,1.169282847,1.141928213,1.104711733,1.177391509,1.196055755,1.147298298,
Bosnia and Herzegovina,BIH,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,26.24602595,25.26000401,24.09134273,23.52252363,23.11118041,22.74523638,22.41944787,21.98601273,21.3465388,22.27413451,25.75246125,22.7599841,20.9582026,22.67638656,19.18321085,17.53504308,16.82383118,17.75648724,19.9995103,16.04945464,20.46955563,13.92016062,16.0159442,19.30545588,
Belarus,BLR,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,15.10370938,14.62367406,13.99292799,13.49283277,12.94133869,12.48370491,11.97191753,11.49402147,10.99925292,10.57488478,10.03546188,9.544689492,9.091375256,8.611542606,8.098798006,7.642974923,7.154793684,6.698258931,7.309633813,7.749083359,7.596575809,7.462758511,7.85451561,7.446572823,
Belize,BLZ,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,6.205550132,5.686216136,5.173023292,4.658431314,4.027708348,3.577052098,3.172567972,3.366366824,3.604344497,3.805309735,3.937068304,4.085968983,4.265004552,4.325904112,4.350146214,4.819774279,4.533282689,4.561689783,5.203445619,5.28684892,6.782386197,4.667693189,4.779542945,4.554076697,
Bermuda,BMU,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,40.00649684,37.20435216,42.22829017,39.07536088,34.39943364,34.41442658,39.02871654,39.34507467,38.17707428,31.27860933,30.73164257,32.85568888,34.69920878,31.08177454,33.0977423,31.56729372,30.65756978,29.23842024,30.6188333,31.10442916,27.56421338,29.33284753,27.73827712,26.72637238,
Brazil,BRA,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,8.149653966,9.189021698,10.43823294,10.90706657,10.54584222,10.63950004,10.63524211,9.713602954,8.742436088,7.973491728,7.08653264,6.454483456,5.936704761,5.074294137,5.125288199,4.705888516,4.610933554,4.594748611,4.174854709,4.086037859,3.988865825,4.380329598,4.58911004,3.987037782,
Barbados,BRB,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,3.163976681,3.133926655,3.410287566,2.963133111,3.426540818,2.400061857,1.742251525,2.5709936,2.380805811,2.401813614,2.01077912,1.940148257,1.826193542,1.710093841,1.735511714,1.604952059,1.609584897,1.862466294,1.783462439,1.683144296,1.017376429,1.104587213,1.154811715,1.111694547,
Brunei Darussalam,BRN,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,0.45864336,0.390420683,0.328311061,0.336244017,0.343671138,0.350741706,0.359139315,0.367278798,0.372235927,0.379959989,0.383249337,0.390539355,0.401046207,0.408744495,0.415190793,0.423972314,0.42913022,0.436971835,0.443680052,0.539412077,0.70616499,0.646428179,0.303252118,0.318209813,
Bhutan,BTN,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,80.73965807,80.1750547,79.5816084,78.98449421,78.49572769,77.38904923,76.31780901,72.14266331,71.08469359,69.72030657,67.95603192,66.33246066,66.84967925,70.70765622,66.23780699,66.81131707,66.37371207,65.54313773,64.74090199,63.80271859,62.36969219,59.31748537,59.05209323,54.01262346,
Botswana,BWA,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,15.01935346,17.2220048,14.21816164,13.31426206,12.47388705,15.72671771,19.33123974,23.35494967,22.04448728,20.92590089,20.03729203,18.19266749,16.74804525,15.82259275,14.33236856,13.12172235,12.47124745,11.29805789,10.36282905,9.493924458,8.652851598,13.61336717,10.47028349,9.142131715,
Central African Republic,CAF,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,84.09371231,84.15866889,83.78882108,83.45317703,83.66032152,83.18595565,82.87477842,82.3548324,81.91003456,81.68849402,81.05368377,80.59239694,80.12458605,79.654402,80.67521311,80.10059648,79.38562467,78.81587682,78.24611618,77.38992116,76.98566063,76.93479371,76.84527959,76.18688877,
Canada,CAN,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,1.945033911,1.65640907,1.346372945,1.364126548,1.325181038,1.28915663,1.358010882,1.388983706,1.309532812,1.211084011,1.195390725,1.114239468,1.098419396,1.113844452,1.085781975,1.056413835,1.015367172,1.129615643,0.962089488,0.936289243,1.001751414,1.027118381,0.896748755,0.807942746,
Switzerland,CHE,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,3.900430573,3.946086164,3.521145205,3.200177385,3.180640541,2.686045524,2.751310214,2.65480143,2.700955518,2.803889823,2.453282223,2.718126405,2.914064357,2.815149279,2.780953035,2.694000847,2.784980498,2.757524066,2.594974546,2.543701256,1.893028169,1.933125151,1.717901694,1.65287196,
Chile,CHL,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,4.636869013,4.617205873,4.653256403,4.732469112,4.90207373,4.933070761,4.960681103,4.973855766,5.013270325,5.062721732,5.17416544,5.225733898,5.304389176,5.146188207,4.968098922,4.785778651,4.741850266,5.23362862,5.44803202,5.277400689,4.833288334,3.880282117,3.510779497,3.39367237,
China,CHN,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,45.25519915,45.58818838,45.89418792,46.30477891,45.52912588,42.89777516,40.73547048,38.42982697,36.48513938,35.25667271,33.76820493,32.34049165,30.36862189,29.15488064,26.8699232,24.93400655,23.79929168,22.98254112,22.34823065,21.48549076,20.44485822,19.35690946,19.22585477,18.4515458,
Cote d'Ivoire,CIV,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,48.07381289,47.6256654,47.52589262,47.48457248,47.30805823,46.39695194,45.80871045,45.39092781,44.88901358,44.36572308,43.65202774,42.85159014,43.06862584,41.76459137,40.66270507,39.62388262,37.95213616,36.92789257,35.74166679,37.89979192,39.75796405,39.91831408,39.8562208,38.91173035,
Cameroon,CMR,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,70.48143078,70.01116333,69.03699002,69.01402539,68.64451827,67.97169114,67.43665235,66.81487687,66.02426547,64.43815117,62.80086713,61.17100645,59.24122231,57.33535709,55.33737137,53.29639927,52.05607307,50.98729976,50.08512531,49.16674844,48.32314697,48.2340114,47.99781085,47.00274223,
