Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,61.41719036,61.3878348,61.19809683,59.88563387,59.17913821,58.4635338,57.42101184,56.71325229,55.78868628,54.96800717,52.73826842,50.37673629,48.77134314,46.42445642,43.41162094,40.16367525,39.45647646,38.6466659,37.726521,39.52256336,41.57322395,44.18693555,45.24348099,46.53570685,
Angola,AGO,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,28.46578984,28.13332353,27.9938696,28.20627627,27.71061929,28.23991239,30.38692428,33.19761342,35.77392451,38.39308017,41.09695377,40.97578987,42.37677888,43.66394991,44.64664282,46.11236463,46.21697093,46.64551938,46.72125341,47.02317138,47.30226563,49.84254448,52.11597367,52.24240887,
Albania,ALB,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,42.16342285,41.28761967,40.23626343,39.40434102,39.24149714,38.87731772,38.14874299,37.51615951,36.57014159,35.57035081,34.9238094,34.2085971,38.48788261,37.42390683,37.44210683,36.65584844,36.58192022,35.99541561,34.76802733,33.44933891,32.36072639,32.30417791,31.4727313,31.05099969,
Andorra,AND,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,9.654506943,9.705498697,9.001912077,8.378334506,7.808304711,7.325688087,6.820404774,6.100660769,5.41064699,4.837067839,4.392552072,4.061324435,3.753885794,3.419020157,3.082101506,2.762226391,2.434398261,2.173914726,1.94483278,1.744694392,2.71441046,2.211731986,1.714270202,1.674950873,
Argentina,ARG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,16.0698835,15.85948717,15.77116881,16.0725447,15.59026107,15.02717915,14.36124666,13.77401317,13.29587227,12.88431553,12.62057153,12.18157308,11.69802295,11.43520795,11.20766312,11.09263631,10.81824286,10.66056384,10.43518198,10.41352869,10.35354032,10.09113084,10.21149547,10.06274057,
Armenia,ARM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,45.38054491,45.14677734,44.65402455,43.86474356,42.92615368,42.1561353,41.18182262,40.34537804,39.49805169,39.05113265,40.31436076,40.26139456,40.09440022,39.68039802,39.5200544,39.33322939,39.12164252,39.17447599,38.58076229,38.18066026,36.47966354,42.40386685,38.57695701,38.51475468,
American Samoa,ASM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,6.051252428,5.975523974,5.885502173,5.445840697,4.897043206,4.682885466,4.501989305,4.302934003,4.195746878,4.077344668,4.079269887,4.009886776,3.590544977,3.540587498,3.417718124,3.619502747,3.30757255,3.371084943,3.415917593,3.440631296,3.30053011,3.527722924,3.123240636,2.944911232,
Austria,AUT,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,5.665257885,5.789460543,5.42535061,5.492856605,5.277247924,4.820206295,5.259626789,5.205724517,5.446945433,5.481833538,5.693474816,5.659127959,5.179112867,5.052960386,4.917345383,5.072578268,4.813805428,4.719366725,4.149325696,4.05382954,4.068186895,4.293524987,4.032940456,3.851435861,
Azerbaijan,AZE,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,37.28807682,36.20040923,37.25888779,40.89020655,39.26403557,40.90050722,41.11605881,35.87945735,35.35624763,38.56182685,32.38612026,32.05411257,32.09683133,31.58670216,30.90941215,31.05639043,30.83191208,30.78132459,30.94596468,30.93666131,30.78977969,31.20274059,30.8207304,30.49759828,
Burundi,BDI,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,86.91645889,86.73805542,86.28699571,85.83878161,85.43136303,85.34244006,84.93334267,84.2599882,83.32682617,82.65036365,82.04844437,81.19654049,80.3028029,79.43753728,78.65648788,77.81549501,78.17093803,78.1567169,78.21601612,78.08478586,77.90345242,77.96016922,77.94134152,77.83412039,
Belgium,BEL,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,2.68590505,2.430690821,1.693956798,2.307299991,2.219452305,2.713269093,2.469559832,2.482047384,2.291447135,1.971895835,1.89543248,1.731681489,1.643544789,1.569883613,1.799139732,1.545869131,1.564759082,1.67690222,1.55592869,1.307305067,1.173863275,1.15987983,1.273475492,1.213042505,
Benin,BEN,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,58.37063372,57.73085722,57.11087744,56.66684058,56.05326201,55.60610226,55.30928794,54.7556632,53.97420616,53.18678102,52.68381445,52.20231641,50.82024451,50.09725166,49.00524033,47.9511887,47.10150059,46.20026126,44.63462988,42.99495097,41.59496929,41.48248934,40.89829676,40.34304186,
Burkina Faso,BFA,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,84.02754898,83.37545884,82.71594616,82.09258095,81.37241745,80.55487562,79.74162349,78.77927257,78.1958392,78.08812913,77.6768334,77.33981833,76.94019786,76.48865044,75.93065317,75.51303742,75.08491149,74.58774297,74.00552128,73.49476975,72.80780102,72.97421998,72.58731301,72.43530647,
Bangladesh,BGD,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,58.10264791,57.52369194,54.9597013,52.252591,49.46517694,45.59383515,41.76183141,41.69787417,41.45640093,41.22540089,41.02715888,40.69634064,41.03929638,41.4394998,41.90814813,39.41754549,36.82912366,34.20502247,32.05940795,30.86275782,29.64053458,29.68984283,28.74689727,28.37784613,
Bulgaria,BGR,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,16.15184041,15.44437791,12.04146605,13.03772282,13.61530664,12.91676246,10.76638668,9.850854611,9.1908173,8.921176275,8.595710365,8.230005193,8.544795996,8.3933937,8.6584817,9.19362032,9.097839743,8.950633351,9.177495505,8.608303887,8.629343662,8.591221386,8.184117441,8.368306155,
Bahrain,BHR,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,2.069545577,1.998425299,1.915954677,1.86385451,1.806604373,1.735964639,1.669880628,1.60057848,1.532498958,1.471918119,1.421195559,1.359298427,1.364740796,1.356030581,1.352009295,1.350727633,1.346078879,1.297204309,1.253887096,1.221759647,1.188065623,1.165565821,1.157498843,1.128261167,
"Bahamas, The",BHS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,6.719967249,6.75217841,6.761303028,5.578798919,5.157465554,7.990812794,6.308886119,4.33990928,4.138440435,4.896014316,5.012181617,5.350557508,5.52581647,5.631824946,5.567808862,5.50613297,5.438574452,5.309692356,5.20182155,5.151286903,5.056541492,4.929044088,4.924335922,4.778783241,
Bosnia and Herzegovina,BIH,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,17.86235306,16.73007272,16.07549012,16.69144705,17.38288795,18.17236734,18.97943866,19.75846289,19.00940148,19.63959155,18.55754075,17.8842548,18.8001956,19.30627792,18.66829208,16.8047046,18.5133541,18.07203079,18.17836099,15.52640876,16.37731556,11.19136669,12.42119773,15.26930713,
Belarus,BLR,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,24.82970388,24.10149918,23.26005491,22.53124208,21.65528078,20.75970501,19.86014792,18.99479371,18.1755393,17.38749721,16.83651393,16.10154183,15.49909376,14.95984325,14.3953154,13.88367265,13.47002054,12.91289716,14.21147132,14.9402442,14.61057085,14.39054806,14.05666986,13.89570235,
Belize,BLZ,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,36.59650873,35.11902523,33.54110272,32.11012378,30.47948091,28.94210278,27.38473143,27.19115598,26.98641594,26.75645249,26.42803356,26.13169794,25.8465167,25.4944975,24.65491786,24.57848966,25.81193988,26.60343176,24.49203066,24.43180678,22.64029348,24.52406591,24.50440419,24.10196768,
Bermuda,BMU,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,39.90886666,40.17979143,45.62196128,44.78292546,35.58192413,35.574755,38.29734133,39.61756482,34.57091147,31.07908295,29.56759798,30.90393402,32.04399448,30.69433552,32.51501019,30.56034108,29.01274422,30.10873575,30.39334945,31.04271732,27.30193692,30.47998104,27.58110562,27.23117968,
Brazil,BRA,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,20.07458575,19.27463804,18.4856569,18.43136004,18.96278787,19.74877385,18.91859914,17.85480012,16.93080204,16.03393104,15.96179944,14.97645263,14.21215629,13.19239409,13.46833498,12.57107884,12.71422907,13.52648256,12.85383442,12.71690605,12.49972243,12.81018062,12.9783339,12.23045646,
Barbados,BRB,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,5.304465898,4.242930893,4.913518003,5.018122642,5.594684975,4.355656253,2.969236482,4.583751692,3.580609622,3.212414464,3.960498806,4.028368794,4.043003794,4.129819994,4.075089517,3.948845224,4.209656806,3.851091142,4.404695196,4.465639305,4.684643159,4.524771693,4.508429627,4.346449093,
Brunei Darussalam,BRN,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,2.072699683,2.04340126,2.000524728,2.000575552,2.005533942,2.009759073,2.014704858,2.014902083,2.014476657,2.018148274,2.010655548,2.014550035,2.020757131,2.025585394,2.0285547,2.038128062,2.038210752,2.041494389,2.045054822,1.432395906,2.810290783,1.811141748,2.174986042,2.113051384,
Bhutan,BTN,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,63.16422335,62.27907352,61.34049334,60.46057231,59.78453747,58.2937394,56.99975987,56.06695263,55.35433027,54.00880147,52.08871132,50.43023676,50.04875149,47.76528024,49.53710514,50.0464196,52.41302691,50.93193149,49.31123684,47.40184254,42.90613518,42.88332315,42.87000994,36.53966271,
Botswana,BWA,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,24.2119137,22.07880696,22.78646101,25.30605732,28.03173245,30.43292328,32.43611813,33.78834286,32.19842541,30.4856484,29.09811044,28.34653943,27.49080786,26.45373796,25.18839855,24.33273934,23.71626887,22.92832641,21.98652821,21.08039469,20.19105174,24.40596053,23.53024244,24.88124107,
Central African Republic,CAF,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,69.11148728,69.50623889,69.40207618,69.12749204,70.20604202,69.64913153,69.65693051,69.34385899,69.00027113,68.84216705,68.07532589,67.61161946,67.33486823,66.59016366,68.14771746,68.23476926,67.76290247,67.34284474,66.92729969,66.90661331,66.61806257,66.80662846,66.60253109,66.49550999,
Canada,CAN,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,3.53715951,3.248336688,2.86136863,2.773315099,2.794068229,2.669949302,2.794156912,2.754209101,2.620496537,2.595574268,2.652543528,2.442147166,2.41290686,2.333977068,2.402607956,2.309818888,2.209974897,2.685348755,2.023943286,1.986358158,1.97093194,2.02730235,1.732126324,1.71980026,
Switzerland,CHE,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,6.03226687,5.186322591,5.197714823,4.828664928,4.817697912,4.62809622,4.520228446,4.504450614,4.88475625,5.147520429,4.101329452,4.255366271,4.202410478,4.043854403,4.166586431,4.248110147,3.909525886,3.717823511,3.601007638,3.414850539,3.101917964,3.000749091,2.947401804,2.873925199,
Chile,CHL,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,19.35790339,19.39151738,18.0865474,17.89139458,18.09195308,17.54481638,16.96858976,16.38504596,15.77079257,15.132899,14.68039702,14.12992248,13.72002177,13.38398501,12.30734835,12.25467056,12.23371924,12.16902862,12.04558608,12.14034384,12.09889773,9.453857713,8.649925642,8.427594009,
China,CHN,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,54.16803803,53.7028714,53.43598933,53.08349817,52.06895635,50.21384328,48.15022859,46.02130968,44.32267085,43.13234835,41.60786442,40.21366358,38.37895275,37.20076131,35.07986892,33.22138718,31.98051253,31.0638122,30.25372224,29.27870493,28.27519328,27.12237399,26.47265643,26.00927732,
Cote d'Ivoire,CIV,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,54.21340708,54.08187885,53.98268106,54.04610416,54.31627756,53.72456267,53.32230886,52.87505265,52.50492553,51.8941347,51.30103025,50.46788299,50.55290622,49.50149761,48.2423145,47.66867005,47.34322922,46.91412332,46.34298755,48.48339242,50.54385509,50.9447099,50.70887603,50.60146317,
Cameroon,CMR,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,64.00627819,63.44567204,62.89583434,61.28521471,59.74208272,58.13207413,56.88706389,55.51936978,54.06061515,52.61720757,51.12551761,49.63508504,47.94515744,46.18720193,44.36538316,42.62988187,41.64853569,40.74856985,39.94127964,39.16735638,38.46276766,38.64546102,38.18659324,37.94799314,
"Congo, Dem. Rep.",COD,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,65.6815732,66.0422841,66.61675519,65.9639289,65.29748145,64.55020218,63.87367757,63.37189834,62.50792663,61.59731629,60.6429622,59.02223383,57.07987662,54.97482288,53.61469266,52.34937394,51.16425617,50.75262896,50.41979631,49.73556396,48.87792777,48.99641099,48.60048458,48.34591427,
"Congo, Rep.",COG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,42.68446401,41.98269508,41.42034032,40.83252876,40.42211988,39.81030303,38.68217483,37.71245706,37.85709549,37.0618349,35.74006447,34.71064285,34.23733277,33.17907127,32.95884991,32.19916776,32.25717294,32.70549038,32.89398579,33.15524438,32.87755741,33.31577244,33.05037091,32.78390638,
Colombia,COL,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,26.55720025,28.55169132,29.38687546,28.7000971,29.01555265,27.92903592,28.66576424,27.8006668,26.04982058,25.63481923,26.78269768,26.49095927,25.59229103,24.79748461,24.18886908,23.36088028,23.00224694,22.96163144,23.67342237,23.71008737,22.74824208,23.05150346,21.91831182,20.54659536,
Comoros,COM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,53.56302161,52.72914958,52.24943132,51.71196069,51.20626762,50.67772608,49.72844273,48.75935553,47.55391034,46.32389301,45.24278321,44.09946846,42.87534949,41.67385759,40.44525381,39.16230275,38.79702462,38.22567457,37.46740123,36.85277567,36.29846907,36.17669102,35.26737439,35.12056048,
Cabo Verde,CPV,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,33.90587259,32.25321431,31.37643655,30.29656976,29.35217129,27.92511037,26.77123722,25.53118367,23.90774664,22.83156614,22.38430345,21.80797101,21.21130576,20.79972313,20.4019376,19.97487766,19.43345425,18.85112782,18.08333547,16.11512604,14.75668943,14.96492382,14.70443943,14.19020476,
