Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,65.35473572,65.34796071,65.25418941,63.93161499,63.25609059,62.64062405,61.63717504,60.87190568,59.8526541,59.00253992,56.72268908,54.34941986,52.79090999,50.41668839,47.69731471,44.79859397,44.59351627,44.33713653,43.98903105,44.45359961,45.01603987,45.98340782,46.58782301,46.58907003,
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,37.57213959,37.14600674,36.92514413,36.4258485,36.15557165,36.1663353,38.1609804,40.52386406,42.69032052,44.9381526,47.21854895,48.68251813,51.10221409,53.29248488,55.44006667,57.59963822,56.84990192,56.22175339,55.32027877,54.401488,53.42332799,55.16415286,56.70750627,56.31826113,
Albania,ALB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,50.69299322,49.91958952,48.98881745,48.14332799,47.9953407,47.60078757,46.96271842,46.35776043,45.49346207,44.65603252,44.05163492,42.08440843,45.38802197,45.99563111,44.19802676,42.25706281,41.28352526,40.04085241,38.07834614,37.28573248,36.41685559,36.19074425,35.640848,34.9267183,
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,8.508846365,8.533792946,7.906317512,7.351052792,6.844739747,6.416034175,5.974358568,5.34723701,4.753646366,4.258605084,3.865655336,3.560693721,3.270661883,2.960083072,2.652014109,2.36242912,2.069538738,1.837140683,1.638573571,1.464062809,2.241195523,1.783297996,1.428170544,1.388618633,
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,12.06459439,11.89439401,11.76088649,11.94594555,11.61238855,11.12469947,10.64503027,10.16673943,9.800821787,9.486493352,9.22641274,8.931453465,8.590011874,8.366416545,8.184549972,8.061587505,7.842718979,7.694325115,7.503205065,7.413700907,7.330879761,7.285751789,7.333607565,7.205905708,
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,56.02211772,55.91064047,55.68425196,55.2033356,54.60037444,54.1210463,53.51504588,53.061757,52.63558229,52.37263056,52.81234185,52.7911553,52.73933652,52.56649875,52.4654375,52.33915487,52.16398344,52.07921782,51.77792398,51.52183521,49.64608144,52.38390895,53.10091772,52.41622338,
American Samoa,ASM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,4.933061619,4.857445817,4.754301108,4.382120499,3.913118043,3.737889847,3.579846296,3.411947268,3.320813353,3.22332837,3.234276389,3.230406358,2.819939691,2.801780424,2.618187867,2.798318478,2.636504782,2.621162976,2.596054142,2.616851969,2.558298117,2.765993461,2.494832643,2.19955445,
Austria,AUT,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,6.232945423,6.050783171,5.804787806,5.758687672,5.503834591,4.950238747,5.274581628,5.244476017,5.526848998,5.451254341,5.567571132,5.429741519,4.937548956,4.675254256,4.575703669,4.836898156,4.530998658,4.348164109,3.92985047,3.69411173,3.656132394,3.863843186,3.734824358,3.538558251,
Azerbaijan,AZE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,42.31393056,41.00958383,39.95424837,40.18517883,38.20238079,39.53688356,39.31742591,39.54691853,38.54912801,39.59321026,38.12479956,38.22997535,37.88277757,37.65333448,37.10055028,36.75345249,36.35584148,36.33690943,36.32769615,36.23633262,35.96315464,36.31278898,36.28280975,35.62249033,
Burundi,BDI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,92.04916084,91.86492565,91.56578373,91.23835296,91.0071008,90.92750816,90.55245695,90.09403457,89.57524809,89.15841951,88.78191078,88.28809005,87.73985424,87.19498113,86.71485096,86.1850297,86.31752024,86.3016526,86.30984997,85.99034691,85.5939222,85.31948854,85.31313419,85.05812986,
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,2.393020035,1.907888286,1.379627642,1.789764656,1.721100234,2.218844372,2.038951044,1.954274795,1.856321517,1.552807312,1.487031828,1.35198104,1.300524793,1.171985612,1.359843765,1.21816556,1.176516552,1.25137555,1.16361136,0.994281961,0.919572762,0.915486837,0.935983611,0.907770508,
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,52.70574522,51.91270012,51.11943099,50.4568384,49.78134949,49.16375214,48.73709145,48.08934033,47.16421805,46.29375015,45.73539877,45.16624213,43.61341746,41.69137594,39.55146438,37.546498,35.99597257,34.39357773,32.46266496,30.61302566,29.57229652,29.44868173,29.05929399,28.3861144,
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,86.0406343,85.4136946,84.72688436,84.04948304,83.25753746,82.41900235,81.53692215,80.60622357,80.08434328,79.85509365,79.46382895,79.10579711,78.7069055,78.2468463,77.69132421,77.2979574,76.85227967,76.35672486,75.81004715,75.28870358,74.67154181,74.80013908,74.58013935,74.21480399,
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,61.42369687,60.84615569,58.05777536,54.99590679,51.7349543,49.96348893,48.0762679,48.07571159,47.89155759,47.70771289,47.54073298,47.3063798,46.64138013,45.89584548,45.0991816,44.36760429,43.53924489,42.66474192,40.5973065,39.41036885,38.24186557,38.12320338,37.54564038,36.85821648,
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,13.76628795,13.19634209,9.693578267,10.70513136,11.13949356,10.7452851,8.938777651,8.107991711,7.544333959,7.470855373,7.088894276,6.814951208,6.779055265,6.440063325,6.65978379,7.007933964,6.855872599,6.75356767,7.013994599,6.57773669,6.621749879,6.585688666,6.291864964,6.446483866,
