Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,1.355,2.745,,78.185,1.16,3.95,3.185,2.71,2.485,1.375,1.345,0.7,3.855,,
Afghanistan,AFG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.65333856,0.650787453,2.394897826,3.194390466,3.478546063,4.243778147,3.814784113,3.190854503,2.101268925,1.851684629,1.887862184,1.777859618,3.827005519,2.377852375,4.882714194,10.16611247,13.32449195,13.6801462,20.4525289,17.35222864,10.9725,8.714494827,5.202572487,,
Angola,AGO,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.133333333,0.466666667,,1.659032258,1.788787879,4.501515152,2.260606061,3.66,3.305,8.258823529,5.47225,8.229285714,11.98382979,8.876048936,9.369120743,9.056087824,7.694993171,6.635911726,9.773157698,7.103552361,6.652424016,7.849204545,5.606854644,,
Albania,ALB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.37088388,32.35294118,32.35294118,97.58477509,99.31956747,101.3073356,112.375316,85.80246575,88.4199654,77.3097377,90.37835796,85.02392971,97.43427653,93.0615571,88.17109058,88.38580247,107.831247,126.1384814,99.80859477,66.58507621,94.43932787,101.4281855,,,
Andorra,AND,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,841.8604651,585.0,492.9577465,644.8,755.625,767.6190476,667.0588235,834.3873518,940.5829596,798.6434109,623.0460922,737.3517787,900.0,848.2479784,1033.866667,629.1565909,714.9272109,708.5008989,708.5008989,745.3496454,631.8294589,643.4344898,626.8049702,,
Argentina,ARG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.91064943,31.22225036,31.0672169,30.2339387,40.24077886,43.85640239,35.4391328,40.56342303,48.52169399,34.84410559,22.8523631,39.15801606,41.88427634,34.64067496,36.25234506,35.18117285,26.50650585,40.14417006,41.06520444,47.02657018,50.86975873,55.15937787,62.17919097,,
Armenia,ARM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,13.68444444,15.55555556,10.98901099,34.52307692,22.9978022,31.65054945,22.69230769,127.8438949,59.32315859,54.15253108,88.00044504,66.0548495,80.9579252,129.4081178,132.0673806,118.6884916,145.5999552,330.4903674,202.5544843,202.7363106,203.1009442,203.4668919,203.7330296,,
American Samoa,ASM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,78.75641026,70.30379747,77.1,63.33333333,64.32926829,64.5060241,86.58333333,68.94117647,67.10465116,53.90804598,41.19318182,38.61797753,29.07777778,38.23076923,34.19565217,41.66666667,34.03191489,43.63157895,38.61458333,,,
Antigua and Barbuda,ATG,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,13.0,27.25,7.5,6.0,4.5,0.5,3.5,13.25,3.0,3.25,9.8475,12.53,7.9525,5.265,18.2125,5.2625,3.4675,10.2725,8.735,8.3325,,
Australia,AUS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,102.7163899,97.31602948,102.1888219,95.4683063,93.53500258,94.48304044,83.93220211,85.59817443,89.32765838,78.0951063,60.9279254,77.03853625,68.11520907,69.42181816,72.8357217,79.6105265,79.4678592,89.08681006,89.32498179,85.87009363,84.48998659,84.29422921,82.61993795,,
Austria,AUT,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,165.9850214,161.1386705,157.3280461,162.3263538,137.4187518,137.5175814,131.7027595,130.2708394,136.037064,167.182615,86.58056491,99.80642323,132.7331568,115.4136226,130.9084866,130.875934,148.7214174,137.7951268,141.0313107,133.1500584,118.5090492,137.9711517,128.5658497,,
Azerbaijan,AZE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.562058195,2.245836985,6.48254072,10.43378871,7.642099538,11.9747922,13.36046007,13.33894531,10.63754045,20.9375336,13.41141942,9.954885622,15.57458769,19.07650253,19.9624526,31.75203737,50.96609382,44.2146073,36.67366913,60.67989895,75.59112595,105.832764,105.5946529,,
Burundi,BDI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.135416667,3.645833333,3.58974359,1.343813387,0.304040404,1.111675127,3.546025105,3.204472843,1.821656051,2.067724868,1.864978903,3.627368421,5.635,6.207555988,10.58989564,12.00570768,9.028429603,15.24191189,18.33214286,24.00093356,19.92141447,19.48868866,19.0743622,,
Belgium,BEL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,348.2245132,,,326.2223558,339.4215569,337.2809524,332.3973903,325.8693587,335.0882002,224.4881517,282.0142857,324.9460432,317.8060606,328.5516812,321.3615196,304.0305998,305.4779988,275.0539911,269.7357416,266.7612588,265.8835441,259.0445042,265.7066217,,
Benin,BEN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,24.65217391,14.78991597,12.69387755,16.36666667,0.802264151,0.054716981,0.461944235,0.0132,0.2456,0.3204,6.544,9.134,4.44,10.29041923,5.002277778,8.086548148,0.133233333,9.949325,0.016396429,36.64275357,55.46367143,40.21205714,40.70601786,,
Burkina Faso,BFA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.86086086,8.29210462,0.399092429,0.469297222,12.10507081,12.89383102,16.34442013,13.50482315,10.39592523,11.77825818,10.87964459,11.20661648,11.8615594,15.53766559,17.96756139,17.54779742,17.68446616,23.23747777,19.07376596,18.13724583,9.688458284,17.16969687,11.91105574,,
Bangladesh,BGD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,161.8895211,158.1075449,174.5902686,188.6391615,160.2668935,170.6713742,197.7487043,193.1901015,184.4110798,200.0640779,188.8528733,212.9639327,255.764522,260.4432855,254.6001563,279.2202373,298.9664056,289.4022702,303.7127465,318.4668631,316.021087,320.9125,384.2096178,,
Bulgaria,BGR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.2666294,42.96653432,57.71041246,113.7684054,147.327415,80.85179596,74.23195714,73.93997446,102.0094003,111.2428756,104.600445,97.05335844,133.0824615,95.86976183,109.1382581,108.8032129,122.0021654,138.0286041,130.6310403,131.8345112,135.8411795,139.2289032,131.0598889,,
Bahrain,BHR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,216.5,172.1393035,149.2537313,987.4405941,987.4405941,982.5763547,982.5763547,977.7598039,661.9411765,1219.160976,671.4780488,1336.082524,968.2669903,1566.830918,1327.285024,1383.206731,1039.504808,311.923445,348.6363636,534.5142857,827.6142857,1395.890476,1395.890476,,
"Bahamas, The",BHS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,50.0,42.85714286,114.2857143,,,,,,,,,,,155.0975,134.46,152.44375,188.2675,272.855,328.22625,348.6,170.5625,102.32375,102.32375,,
Bosnia and Herzegovina,BIH,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,44.21052632,41.8,32.27722772,32.69809428,17.65683382,58.1793677,57.59298537,42.19190847,45.08753425,59.18871032,72.78532598,81.52988048,103.3781095,120.7439781,101.6353221,120.0344036,127.8874755,107.9054581,106.4787453,84.76285714,60.35912315,82.4571133,62.0219246,,
Belarus,BLR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,127.9521191,131.2571335,131.9215414,135.9864672,135.6257856,146.9178082,167.7011909,231.967509,218.3547744,237.4184191,281.1147186,270.4607046,303.8885874,271.386092,256.3429681,215.2245633,194.1865995,146.6186354,142.446307,156.1857493,153.8802731,180.7282686,169.3677098,,
Belize,BLZ,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,95.234375,95.9375,72.30769231,367.7285714,382.3714286,78.65714286,81.0,89.25714286,60.87142857,49.75714286,121.4383562,58.01333333,234.7066667,140.0705128,389.1102564,374.2176923,382.4942045,413.2660227,333.4345556,419.9005556,449.7842391,402.6115306,378.1444,,
Bermuda,BMU,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,250.0,250.0,250.0,,,,,,,,,,,,339.0666667,316.9,284.6666667,177.2,140.0,363.7666667,271.4,340.2333333,239.4666667,,
Bolivia,BOL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.631921824,2.386450382,3.66,4.042727273,3.675583381,5.064263761,6.472937467,3.977386612,6.174503395,4.944738462,5.535679846,7.364355734,8.041156069,7.960658744,9.711026608,8.962665839,9.003798452,7.481569196,8.943639761,7.699888795,6.245074906,10.27751723,10.35330696,,
Brazil,BRA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,130.814379,144.5168104,148.5714286,164.9112959,188.7633426,229.8192818,174.3133946,184.5780106,233.1424107,214.677601,148.4863843,202.7967653,251.4273191,230.132479,265.5677821,285.0605357,234.9650836,240.1819509,275.9339023,290.6178393,290.2441006,353.4004015,369.4674721,,
Barbados,BRB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,200.0,200.0,200.0,45.85714286,79.71428571,214.2307692,109.0769231,139.0,133.6153846,135.1538462,77.0,135.0833333,96.27272727,199.522,133.5684211,80.01111111,121.565,113.8042857,147.8542857,77.98857143,54.39714286,50.59,37.19857143,,
Brunei Darussalam,BRN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,168.0,51.0,75.75,154.25,33.0,282.75,84.5,103.0,431.75,117.5,113.5,55.75,177.25,177.25,177.25,177.25,177.25,177.25,177.25,177.25,,
Bhutan,BTN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,6.942307692,6.993630573,7.398734177,7.556886228,7.620621282,9.009537784,11.66,23.96,10.03976143,13.05389222,10.68802395,12.15508982,14.2006986,14.76057884,14.0691,13.27280423,21.28393617,14.31212766,14.31212766,14.31212766,,
Botswana,BWA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.16666667,13.14285714,23.0,,,,,,,,48.60443038,83.12741313,29.67901235,54.83508772,80.51785714,57.84328358,66.03293529,46.92161017,33.1837057,58.23058552,51.29111538,66.19461538,59.26661538,,
Central African Republic,CAF,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.320855615,0.320855615,0.320855615,0.042122995,0.000171123,0.069475936,0.131058824,0.228893048,0.323048128,0.213518717,0.217609861,0.294258451,0.444727778,0.281838889,0.143922222,0.005994444,0.340672222,0.22465,0.186766667,0.187722222,0.236638889,0.238461111,0.238461111,,
Canada,CAN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,65.60241993,59.68585097,60.42089968,64.88235873,66.66769277,62.11334451,70.63817649,53.96828144,78.83548503,73.55244901,71.58433545,79.65645979,96.89352286,104.2245236,96.49842522,102.1508204,104.3571391,99.27329354,101.8203537,111.8118377,106.7325605,131.3979338,126.0618417,,
Switzerland,CHE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,248.8523515,217.9745294,240.5585797,196.5456388,203.6862457,216.8239003,228.4069822,229.1271296,230.3048072,227.7274531,191.2002525,218.7891796,209.3951812,167.9614568,203.4501716,208.401251,208.9335359,212.1099998,199.8879161,187.792803,163.427997,175.1299953,177.1872628,,
Chile,CHL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,263.9977778,275.4285714,271.3142857,288.5012121,323.7286667,379.1406667,326.4082759,377.3933333,478.8534073,486.5595623,425.5747701,446.7465685,385.203736,381.7265747,403.4461854,412.8530975,460.8864323,381.9746731,349.8819089,348.4496377,330.5051748,346.699354,359.0525839,,
China,CHN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,306.1078337,287.4484879,295.4485261,333.5089331,328.6582546,352.2643512,375.1049932,374.7651369,385.3146398,372.6581054,383.9675958,425.2393478,444.6498048,457.333239,458.516152,477.5792781,480.2420628,474.3191841,467.3194799,450.3718168,399.5989717,385.3229909,374.8050875,,
Cote d'Ivoire,CIV,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,25.21428571,23.96428571,24.53571429,31.01892857,29.34535714,27.21892857,17.78035714,22.7725,23.99,18.21172414,15.30758621,32.08586207,19.40275862,26.02111667,31.13828,35.12064571,41.30715143,44.11828,38.24961714,30.20787714,52.50447714,45.63454,45.88220571,,
Cameroon,CMR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8.30704698,7.732214765,8.809060403,9.768624161,8.155201342,11.06275168,7.998993795,9.032198558,8.622840852,6.557437531,7.002850914,9.239032258,11.03596774,10.33573387,10.05833871,9.621035484,13.59095806,10.90362258,13.02838065,13.38532903,13.38532903,13.38532903,13.38532903,,
"Congo, Dem. Rep.",COD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.110746269,0.119402985,0.293283582,,0.275223881,0.208208955,0.067761194,0.454925373,0.634776119,0.940296296,0.682425618,0.82378758,0.686965812,0.456245207,0.870809504,1.639210655,1.89385634,1.390881377,1.599106563,1.911705202,2.409979532,2.09032383,2.09032383,,
