Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,100.0,100.0,100.0,104.7515589,166.8225349,170.4664919,190.4829505,141.0156498,96.49024922,94.17926129,108.1295752,115.2458825,155.9587823,114.0888766,220.5763941,495.0859184,648.3968164,662.6173466,986.8021558,847.5482234,535.5256627,427.560193,255.2543711,,
Angola,AGO,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,530.0,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,13.31567719,14.42070666,12.63994222,13.31277873,12.44211176,12.73771269,9.620360551,11.19300106,11.121421,10.9252386,8.242311771,9.891304348,10.64516129,9.642725824,5.887981047,2.966574864,3.378658537,3.378658537,3.378658537,3.378658537,3.378658537,3.378658537,3.378658537,,
Argentina,ARG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,688.5451505,587.0632653,198.9363028,160.8512507,197.5844949,222.144902,208.3625494,218.9827268,382.6881166,305.8803098,153.2786359,343.5883938,303.389554,253.0057898,209.3599916,255.6533314,212.515123,258.5680688,236.7238229,364.0655521,347.5071286,356.2510752,543.2764362,,
Armenia,ARM,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,523.6,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,317.1900661,235.2522307,224.3361446,228.4729868,231.1089982,252.3745,236.9127904,224.6736474,181.0697894,215.5698811,152.6385416,282.4134604,242.34266,267.7300119,222.4656431,383.4001369,285.7796605,282.4820304,309.2797451,304.1788975,296.7048426,277.3365214,277.3365214,,
Austria,AUT,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,79.42354949,95.11940928,75.19434873,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,27.63636364,,,28.12611399,30.15074468,28.62356032,26.4899792,24.83544533,24.3031639,18.38781056,23.92123599,25.17464004,24.60491742,25.47330308,23.62015853,23.28393326,22.64873078,21.68469092,19.31800565,20.47747404,20.58504832,20.23313736,20.77181252,,
Benin,BEN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,4822.222222,8857.180157,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,123.9742193,114.7718816,123.7386472,129.2054413,130.4410962,140.6429121,164.7302004,172.0708114,156.5491047,207.7809722,238.0816624,306.3179855,415.4171603,407.8399347,384.2473562,469.3656569,476.94974,392.3759299,460.5520369,572.9675926,544.2114819,554.9239149,673.5128826,,
Bulgaria,BGR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,37.20971168,30.4339092,46.70720747,97.71015621,107.7159516,54.91225912,45.13951706,58.08989159,67.77004197,75.25912099,129.9656398,81.86535631,85.60237816,81.12244898,128.2791868,114.932738,133.9931744,151.3820085,55.68899812,67.71157336,73.03865364,75.97899818,71.17708944,,
Bahrain,BHR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,0.193843564,0.140095719,0.106458481,0.687187349,0.76475347,0.850225916,0.772852749,0.694137525,0.502009398,0.821969348,0.457562159,0.951244211,0.64334602,1.124519798,0.868137007,0.901224784,0.673907097,0.174357125,0.236583148,0.315607489,0.44617962,0.864100385,0.864100385,,
"Bahamas, The",BHS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,163.77109,258.0824164,123.1806563,191.3825535,209.6749784,179.2570476,168.4272788,252.2930867,226.147886,182.4281538,461.1850212,274.7609457,205.2421731,,
Belarus,BLR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,18.85038845,19.95884264,17.35397543,16.85772232,15.11089291,14.84311207,16.29132693,23.68635731,20.08581348,21.94545375,46.66628739,24.2374591,26.67016301,25.91063647,26.99584452,16.53896015,14.68444966,11.5781354,10.00056635,10.58640033,10.27793824,11.70912052,10.90329303,,
Belize,BLZ,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,40.95078642,19.80256396,296.3826102,305.5790146,,
Brazil,BRA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,229.8961158,250.5421483,277.985447,275.3455241,312.7442437,348.0629677,281.6431161,279.6966582,340.2846718,334.1700978,274.5396646,322.0155018,401.8982874,391.6471284,442.7540251,480.7485818,402.5328537,526.3363524,635.864402,590.8926769,803.65943,790.813022,756.8751112,,
Barbados,BRB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,21.26738843,18.46306766,20.6926185,22.81545375,21.07804189,18.08943524,24.38269795,16.85736368,21.45612693,27.59797169,26.10166814,21.54817281,26.39830626,28.98420428,26.70968347,26.89098664,25.67180445,25.25475945,24.26808904,23.9234979,24.82322852,28.81084168,27.88238409,,
Switzerland,CHE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,566.6666667,592.9466667,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,103.9816193,92.60326609,94.01980198,90.84484733,86.93674258,83.70783044,71.79031353,82.42388651,90.60232835,69.69640396,56.40966765,62.02410296,45.12788991,43.62369524,46.37364702,45.93413897,46.74509342,39.91410498,39.63932717,37.08078022,50.38985534,49.53576131,51.41789537,,
