Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,0.737146652,0.548675386,0.992986356,1.171995547,1.248594021,0.316903458,1.095953872,1.006769112,0.243534905,0.025964463,0.158576853,0.097867573,0.031729305,0.046919053,0.055358095,0.092621379,0.08518762,0.079480297,0.076267043,0.104098348,0.069199439,0.102735794,0.226718764,
Aruba,ABW,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,2.94462765,2.513891517,2.516781672,2.677284167,2.773688286,0.378770414,2.821705809,2.645377463,2.540628588,0.655209723,0.830182228,0.827502401,0.256387543,0.30368686,0.398227879,0.496427303,0.33555021,0.297791805,0.3114233,0.350669613,0.339581716,0.353604049,0.338202415,
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,52.873,53.283,53.661,54.028,54.394,54.76,55.125,55.489,55.853,56.217,56.579,56.941,57.06,57.043,57.01,56.959,56.892,56.808,56.707,56.589,56.454,56.303,56.134,55.948,
Aruba,ABW,Rural population growth (annual %),SP.RUR.TOTL.ZG,3.710577036,3.312759436,2.475631412,1.874806829,1.673854961,1.572139772,1.666914994,1.839591516,1.880382921,1.891066725,1.87556634,1.769301372,1.148537815,0.780749035,0.691191802,0.601745854,0.520623218,0.442422772,0.358555441,0.287255738,0.213237457,-0.133220116,-0.347205183,-0.417236293,
Aruba,ABW,Rural population,SP.RUR.TOTL,45929.0,47476.0,48666.0,49587.0,50424.0,51223.0,52084.0,53051.0,54058.0,55090.0,56133.0,57135.0,57795.0,58248.0,58652.0,59006.0,59314.0,59577.0,59791.0,59963.0,60091.0,60011.0,59803.0,59554.0,
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.383268482,0.018607536,0.018617487,0.018053934,0.018010582,0.017566258,0.017327777,0.017507704,0.017838596,0.016997399,0.019906853,0.020492088,0.020394903,0.021468749,0.01781746,0.014812973,0.012519788,0.018611768,0.02391857,0.02225303,0.027572683,,,,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,6603351.955,348603.352,353072.6257,354189.9441,368156.4246,396089.3855,408938.5475,432402.2346,477653.6313,483240.2235,508379.8883,502793.2961,537988.8268,561452.514,486033.5196,413407.8212,370949.7207,555307.2626,739664.8045,729050.2793,936312.8492,,,,
