Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,79.69,67.78,61.59,74.72,76.77,74.75,83.54,77.31,84.65,79.59,92.24,91.68,87.4,97.18,94.63,101.99,95.97,102.04,99.84,96.19,109.41,112.3,114.32,111.43,
Angola,AGO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,27.58,32.16,36.9,41.72,45.12,48.23,52.4,53.64,60.96,64.82,80.89,85.77,93.77,78.69,105.73,94.42,100.7,104.88,105.13,107.35,110.28,114.88,117.5,124.09,
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,60.3,63.53,65.39,65.88,69.05,72.33,71.11,73.85,74.88,77.15,79.91,85.68,89.92,95.06,95.64,96.84,100.07,103.09,103.88,106.02,104.0,105.72,104.92,105.4,
Andorra,AND,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,144.81,185.23,122.1,119.93,111.31,119.83,121.7,111.88,111.48,120.88,119.04,129.7,75.57,77.32,78.77,94.36,98.36,107.28,107.31,111.15,120.4,124.53,126.83,124.86,
Argentina,ARG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,68.32,69.14,69.29,68.91,71.49,73.94,83.0,82.05,89.82,91.03,76.08,88.2,92.78,86.64,94.03,95.14,103.91,100.95,105.91,97.51,112.42,108.57,108.4,109.39,
Armenia,ARM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,48.07,46.29,48.42,49.72,53.7,62.67,72.74,75.6,82.25,84.47,84.35,73.0,81.17,88.2,92.49,97.4,106.65,95.95,95.24,83.48,81.27,85.28,84.82,83.87,
American Samoa,ASM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,139.88,140.71,143.8,144.38,150.32,153.0,135.97,140.67,143.11,145.98,141.4,102.49,104.99,99.69,101.46,100.66,100.31,99.03,93.31,85.36,81.4,82.25,80.94,89.95,
Australia,AUS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,84.21,87.03,87.19,88.75,73.45,89.98,87.28,90.96,76.45,80.9,86.77,86.42,90.37,95.53,96.86,100.8,101.22,97.98,108.12,98.31,92.46,87.12,107.15,112.1,
Austria,AUT,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,97.57,95.63,97.58,96.98,94.33,99.62,95.64,95.29,97.93,103.56,101.87,95.33,102.99,95.95,96.23,102.03,97.36,100.61,98.48,100.51,99.96,101.84,100.48,100.45,
Azerbaijan,AZE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,48.02,53.49,59.77,63.6,66.81,67.12,74.93,76.53,78.58,82.72,88.58,86.47,91.19,95.38,98.45,94.84,101.27,103.9,107.73,113.33,121.46,122.2,126.99,129.02,
Burundi,BDI,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,76.8,78.84,85.54,98.97,84.64,100.27,82.55,95.42,84.46,92.93,88.92,98.8,92.74,81.8,112.9,100.47,95.75,103.78,100.5,117.68,128.45,115.62,119.32,119.15,
Belgium,BEL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,98.39,94.77,97.87,95.41,98.9,93.4,91.24,93.49,90.22,92.73,95.84,96.71,91.38,95.83,101.8,101.32,96.87,102.61,98.91,101.26,101.9,102.85,100.0,
Benin,BEN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,51.57,55.18,55.69,65.18,62.51,66.41,66.7,59.03,61.04,74.43,77.51,80.51,84.97,91.68,99.15,103.07,94.87,102.05,104.57,109.45,117.25,113.88,121.75,126.25,
Burkina Faso,BFA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,46.53,43.16,52.81,53.28,60.3,56.81,63.55,64.85,62.98,75.27,73.32,81.81,78.41,85.38,95.99,98.87,99.77,101.36,95.84,112.06,119.25,117.73,109.25,118.84,
Bangladesh,BGD,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,56.47,59.91,58.81,60.55,62.25,61.12,68.55,70.64,74.54,80.64,80.52,85.25,88.81,90.18,94.25,97.97,100.7,101.33,110.77,110.54,111.94,115.91,121.59,125.2,
Bulgaria,BGR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,102.58,94.0,80.39,86.97,77.18,95.53,77.4,82.3,65.69,88.42,82.08,91.43,91.55,83.86,102.69,100.74,97.47,101.79,106.22,105.22,107.09,90.38,109.51,100.74,
Bahrain,BHR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,36.24,39.42,34.82,33.26,31.73,29.28,29.57,34.93,35.44,35.31,39.72,36.57,48.83,67.61,86.22,83.41,98.7,117.89,137.69,131.3,132.96,124.57,124.25,129.17,
"Bahamas, The",BHS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,81.6,63.68,66.88,65.67,71.61,75.28,75.13,77.88,81.45,81.51,78.63,92.69,95.65,93.88,95.05,98.78,100.28,100.94,100.71,99.58,100.91,99.35,98.72,99.17,
Bosnia and Herzegovina,BIH,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,76.48,65.58,70.13,74.14,69.13,92.67,92.52,96.63,94.97,103.04,107.17,100.04,101.43,91.82,104.99,88.85,99.16,111.99,94.61,114.96,105.39,115.06,95.71,113.39,
Belarus,BLR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,68.97,72.5,73.33,74.14,75.21,85.3,84.4,88.62,92.03,100.27,100.37,99.31,96.89,103.2,98.1,101.59,100.07,98.34,102.21,97.9,99.84,105.23,101.55,102.53,
Belize,BLZ,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,82.4,94.43,95.97,87.52,89.79,100.64,102.65,99.81,98.96,96.16,96.47,96.64,88.85,106.29,99.62,102.29,102.1,95.61,103.64,98.69,96.99,95.21,101.58,102.28,
Bermuda,BMU,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,52.4,54.71,55.36,57.97,60.84,60.88,64.82,68.88,73.22,74.43,79.67,78.67,80.5,89.26,93.43,96.04,101.79,102.17,101.63,109.51,109.9,109.48,116.96,115.45,
Brazil,BRA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,55.27,56.86,59.51,63.61,68.05,70.89,71.33,75.18,79.93,85.18,84.14,89.08,92.3,91.55,97.65,98.98,101.68,99.34,106.98,107.51,109.12,111.97,112.13,113.77,
Barbados,BRB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,122.81,120.19,111.64,108.24,112.28,112.28,123.25,113.02,118.73,110.38,115.89,106.98,108.93,107.13,98.01,99.11,102.64,98.24,102.65,108.14,105.12,88.71,89.53,102.71,
Brunei Darussalam,BRN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,48.19,54.73,62.7,69.45,68.07,65.86,48.59,78.17,81.91,84.36,84.82,89.06,95.8,97.4,105.36,99.31,97.31,103.38,99.89,101.28,100.54,107.53,116.45,119.3,
Bhutan,BTN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,59.31,49.41,50.82,48.8,52.62,62.98,92.73,105.44,103.64,87.15,80.73,84.07,102.94,92.32,89.35,93.35,96.14,110.51,109.76,96.42,103.83,112.95,100.29,77.75,
Botswana,BWA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,85.82,95.79,102.03,89.75,90.07,99.13,103.6,102.33,103.61,108.95,115.06,126.14,130.79,127.68,115.07,99.91,105.37,94.72,93.21,89.17,92.64,96.61,98.28,96.87,
Central African Republic,CAF,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,52.72,58.17,59.03,60.17,58.39,61.67,62.87,64.3,67.9,69.03,70.92,96.14,99.01,100.7,87.92,95.43,97.61,106.95,108.19,119.2,134.09,141.82,144.9,147.99,
Canada,CAN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,79.72,77.79,70.31,66.56,75.4,82.02,84.13,81.38,80.11,89.24,87.14,85.92,85.04,87.26,100.92,94.77,98.68,106.55,108.26,108.98,109.72,112.78,95.47,111.63,
Switzerland,CHE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,95.33,97.35,94.63,96.82,93.03,97.16,95.2,94.94,97.81,98.33,101.09,98.98,104.57,100.47,97.38,102.58,99.43,97.98,97.74,101.65,97.32,99.14,94.38,97.39,
Chile,CHL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,67.95,70.68,75.8,76.16,78.3,81.17,85.45,90.3,87.1,89.9,89.6,92.75,97.59,100.23,101.07,97.59,101.34,101.07,98.85,108.52,107.35,105.71,106.73,105.36,
China,CHN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,60.65,63.37,64.45,67.12,68.08,71.68,74.57,76.14,78.0,82.67,85.1,87.79,90.95,93.74,95.75,97.62,101.33,101.05,102.37,103.42,104.25,105.49,109.89,111.75,
Cote d'Ivoire,CIV,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,66.41,72.12,69.16,67.86,67.61,70.7,72.15,75.15,71.95,77.42,72.05,75.95,77.72,83.99,86.32,94.7,104.41,100.89,109.42,114.55,116.76,119.18,119.97,121.86,
Cameroon,CMR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,45.02,45.54,46.3,46.89,48.68,50.7,58.62,62.81,66.75,70.59,75.79,81.32,83.07,88.13,91.23,95.62,101.11,103.27,103.19,107.35,104.17,103.53,104.44,107.84,
"Congo, Dem. Rep.",COD,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,50.57,49.66,48.55,47.58,47.86,48.09,48.32,48.54,48.87,49.27,52.46,82.35,85.97,87.45,92.45,98.72,99.26,102.02,103.91,106.34,108.52,113.23,118.0,122.79,
"Congo, Rep.",COG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,56.7,58.11,59.53,60.25,62.63,66.13,70.66,73.69,76.9,81.28,84.44,85.08,88.66,92.69,93.42,98.96,102.35,98.69,99.98,101.35,101.44,102.18,105.06,106.13,
