Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.170185364,0.170185364,0.171718566,0.171718566,0.171718566,0.171718566,0.171718566,0.177851371,0.183984177,0.18705058,0.188583782,0.190116983,0.190116983,0.190116983,0.191650185,0.213115005,0.222314214,0.277509468,0.323505512,0.331171519,0.340370728,0.340370728,0.340370728,,
Angola,AGO,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.160423518,0.188497634,0.188497634,0.188497634,0.204539986,0.232614101,0.240635277,0.240635277,0.248656453,0.252667041,0.254271276,0.254271276,0.254271276,0.254271276,,
Albania,ALB,Permanent cropland (% of land area),AG.LND.CROP.ZS,4.452554745,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.416058394,4.379562044,3.175182482,3.175182482,2.554744526,2.700729927,2.806569343,2.890510949,2.934306569,2.95620438,3.03649635,3.072992701,3.089562044,3.138686131,3.210036496,3.198175182,,
Andorra,AND,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,0.020212766,0.019148936,0.01787234,0.018297872,,
United Arab Emirates,ARE,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.43593354,2.63306111,2.689383272,2.689383272,2.675302732,2.689383272,2.661222191,2.64714165,2.64714165,2.64714165,0.535060546,0.587158547,0.611095466,0.557589411,0.589974655,0.542100817,0.544916925,0.553365249,0.553365249,0.554773303,0.571669952,0.571669952,0.580849057,,
Argentina,ARG,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.365404923,0.390252458,0.390252458,0.390252458,0.390252458,,
Armenia,ARM,Permanent cropland (% of land area),AG.LND.CROP.ZS,1.334738321,1.334738321,1.334738321,1.264488936,1.369863014,1.756234633,1.756234633,1.791359326,1.896733404,1.896733404,1.861608711,1.935370566,1.875658588,1.991570074,2.026694766,2.012644889,2.023182297,2.037232174,2.040744643,2.075869336,2.10748156,2.10748156,2.118018967,,
American Samoa,ASM,Permanent cropland (% of land area),AG.LND.CROP.ZS,7.43,7.55,7.65,7.75,7.85,7.95,8.05,8.15,8.25,8.35,8.45,8.55,8.65,8.75,8.85,8.95,9.05,9.15,9.25,9.35,9.45,9.55,9.65,,
Antigua and Barbuda,ATG,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,,
Australia,AUS,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.035145725,0.038530128,0.041654192,0.042305039,0.043606732,0.043867071,0.044257579,0.043867071,0.052718587,0.049451336,0.048084558,0.048976218,0.049867878,0.046288221,0.05079208,0.045129714,0.039870872,0.041731561,0.041861566,0.043161614,0.045111687,0.045761711,0.050051872,,
Austria,AUT,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.860397479,0.860397479,0.860397479,0.860397479,0.860397479,0.799806108,0.799806108,0.824042656,0.824042656,0.80344159,0.80344159,0.791323316,0.791323316,0.791323316,0.792535143,0.792535143,0.793625788,0.810349006,0.810349006,0.810349006,0.810349006,0.82057683,0.82057683,,
Azerbaijan,AZE,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.864397558,2.866654561,2.748050942,2.734270982,2.731936311,2.69498742,2.679651585,2.675556954,2.719384236,2.753337287,2.748662584,2.75116144,2.748675264,2.793438022,2.786145489,2.824722064,2.867062652,2.915205032,2.985652416,3.085150144,3.149272872,3.299615226,3.316394434,,
Burundi,BDI,Permanent cropland (% of land area),AG.LND.CROP.ZS,14.01869159,14.01869159,14.09657321,14.21339564,14.01869159,14.79750779,14.79750779,15.57632399,15.57632399,15.57632399,15.57632399,15.57632399,13.94080997,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,13.62928349,,
Belgium,BEL,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.680317041,0.686922061,0.69682959,0.7001321,0.70343461,0.693527081,0.693527081,0.690224571,0.70343461,0.71334214,0.71664465,0.71664465,0.72655218,0.736459709,0.736459709,0.743064729,0.759577279,0.759577279,0.792602378,0.781793263,0.779838177,0.784346103,,
Benin,BEN,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.305782192,2.350124158,2.350124158,2.350124158,2.367860944,2.367860944,2.483150053,2.571833984,2.660517914,4.434196524,5.321035828,5.321035828,5.321035828,5.321035828,6.207875133,6.207875133,6.207875133,5.321035828,5.321035828,5.321035828,5.321035828,5.321035828,5.321035828,,
Burkina Faso,BFA,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.255847953,0.263157895,0.277777778,0.285087719,0.292397661,0.354532164,0.413011696,0.456871345,0.475146199,0.520833333,0.584795322,0.709064327,0.986842105,1.096491228,1.425438596,1.535087719,1.68128655,1.754385965,1.82748538,2.192982456,2.229532164,2.229532164,2.339181287,,
Bangladesh,BGD,Permanent cropland (% of land area),AG.LND.CROP.ZS,3.457017746,3.457017746,3.841130829,3.841130829,3.841130829,4.455711762,6.145809326,6.145809326,6.529922409,6.529922409,6.529922409,6.529922409,6.529922409,6.552969194,7.682261658,8.074057002,8.465852347,8.857647691,9.249443036,9.641238381,10.02535146,10.20204348,10.43251133,,
Bulgaria,BGR,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.539998192,2.277863147,2.214589171,2.095588235,1.967454261,1.94005149,1.730486009,1.675411949,1.740171255,1.694134978,1.519896831,1.510685335,1.473839352,1.464627856,1.243551953,1.169859985,1.229734709,1.298820929,1.364130435,1.40935888,1.40935888,1.400147384,1.372902542,,
Bahrain,BHR,Permanent cropland (% of land area),AG.LND.CROP.ZS,5.633802817,5.478873239,5.323943662,5.169014085,4.944444444,4.726027397,4.513513514,4.364864865,4.16,3.960526316,3.815789474,3.661417323,3.494132986,3.337662338,3.194805195,3.047989624,2.879177378,2.734274711,2.58974359,2.570694087,2.564102564,2.547770701,2.53164557,,
"Bahamas, The",BHS,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.1998002,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,0.2997003,,
Bosnia and Herzegovina,BIH,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.05078125,1.953125,1.89453125,1.875,1.85546875,1.90234375,1.85546875,1.875,1.85546875,1.7578125,1.9921875,2.05078125,1.9921875,2.05078125,2.0703125,2.0703125,2.05078125,2.03125,2.08984375,1.953125,2.0703125,2.08984375,2.109375,,
Belarus,BLR,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.611334336,0.611295157,0.606377315,0.601491897,0.591640125,0.586741612,0.581759378,0.596341127,0.596349944,0.596347005,0.591430177,0.601275493,0.601251787,0.591427262,0.585979853,0.580372759,0.557695908,0.548308274,0.561609553,0.546851907,0.52718449,0.492659375,0.46809559,,
Belize,BLZ,Permanent cropland (% of land area),AG.LND.CROP.ZS,1.578255151,1.53441473,1.49057431,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,1.402893468,,
Bermuda,BMU,Permanent cropland (% of land area),AG.LND.CROP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
