Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,6.534745075,,,,,,,,,,,,,,,6.251517505,,,,,,,,
Afghanistan,AFG,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Angola,AGO,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.157532076,,,,,,,,,,,,,,,0.153367802,,,,,,,,
Albania,ALB,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,3.542365671,,,,,,,,,,,,,,,3.520465685,,,,,,,,
Andorra,AND,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
United Arab Emirates,ARE,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,3.593457968,,,,,,,,,,,,,,,3.428913744,,,,,,,,
Argentina,ARG,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.613603374,,,,,,,,,,,,,,,0.612340143,,,,,,,,
Armenia,ARM,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
American Samoa,ASM,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,17.71291791,,,,,,,,,,,,,,,17.38584586,,,,,,,,
Antigua and Barbuda,ATG,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,16.56605162,,,,,,,,,,,,,,,16.45423803,,,,,,,,
Australia,AUS,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.721830974,,,,,,,,,,,,,,,0.72079744,,,,,,,,
Austria,AUT,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Azerbaijan,AZE,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Burundi,BDI,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Belgium,BEL,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,3.85032497,,,,,,,,,,,,,,,3.68909962,,,,,,,,
Benin,BEN,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.982811518,,,,,,,,,,,,,,,0.924860201,,,,,,,,
Burkina Faso,BFA,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Bangladesh,BGD,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,11.14920381,,,,,,,,,,,,,,,10.71238737,,,,,,,,
Bulgaria,BGR,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.107319748,,,,,,,,,,,,,,,0.104930889,,,,,,,,
Bahrain,BHR,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,19.23378158,,,,,,,,,,,,,,,17.58252736,,,,,,,,
"Bahamas, The",BHS,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,69.57487556,,,,,,,,,,,,,,,69.54122599,,,,,,,,
Bosnia and Herzegovina,BIH,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,,0.005720635,,,,,,,,,,,,,,,0.005720635,,,,,,,,
