Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,11.90243921,,,,,,,,,,,,,,,11.38656615,,,,,,,,
Afghanistan,AFG,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Angola,AGO,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,1975.438414,,,,,,,,,,,,,,,1923.218787,,,,,,,,
Albania,ALB,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,997.5052193,,,,,,,,,,,,,,,991.3383374,,,,,,,,
Andorra,AND,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
United Arab Emirates,ARE,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,2856.671369,,,,,,,,,,,,,,,2725.864559,,,,,,,,
Argentina,ARG,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,16854.59512,,,,,,,,,,,,,,,16819.89641,,,,,,,,
Armenia,ARM,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
American Samoa,ASM,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,39.26654596,,,,,,,,,,,,,,,38.54148249,,,,,,,,
Antigua and Barbuda,ATG,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,70.93551538,,,,,,,,,,,,,,,70.45673174,,,,,,,,
Australia,AUS,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,55309.31716,,,,,,,,,,,,,,,55230.12405,,,,,,,,
Austria,AUT,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
