Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,94.78797638,,,,,,,,,,,,,,,84.80002661,,,,,,,,
Afghanistan,AFG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,637886.9764,,,,,,,,,,,,,,,636173.2292,,,,,,,,
Angola,AGO,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,1251980.789,,,,,,,,,,,,,,,1250999.883,,,,,,,,
Albania,ALB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,27369.24083,,,,,,,,,,,,,,,27331.60161,,,,,,,,
Andorra,AND,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,408.5788254,,,,,,,,,,,,,,,409.4971338,,,,,,,,
United Arab Emirates,ARE,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,78110.12855,,,,,,,,,,,,,,,77233.34084,,,,,,,,
Argentina,ARG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,2736792.286,,,,,,,,,,,,,,,2735389.702,,,,,,,,
Armenia,ARM,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,27377.10707,,,,,,,,,,,,,,,27342.21829,,,,,,,,
American Samoa,ASM,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,209.7692344,,,,,,,,,,,,,,,198.2477988,,,,,,,,
Antigua and Barbuda,ATG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,399.2531734,,,,,,,,,,,,,,,396.33478,,,,,,,,
Australia,AUS,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,7651569.227,,,,,,,,,,,,,,,7650418.083,,,,,,,,
Austria,AUT,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,80319.24991,,,,,,,,,,,,,,,80030.88661,,,,,,,,
Azerbaijan,AZE,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,82662.77709,,,,,,,,,,,,,,,82218.65449,,,,,,,,
Burundi,BDI,Rural land area (sq. km),AG.LND.TOTL.RU.K2,,24469.92146,,,,,,,,,,,,,,,24150.62687,,,,,,,,
