Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.583561523,,,,,,,,,,,,,,,0.391895299,,,,,,,,
Afghanistan,AFG,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
Angola,AGO,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.28961262,,,,,,,,,,,,,,,0.312737407,,,,,,,,
Albania,ALB,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,2.701435772,,,,,,,,,,,,,,,2.783842785,,,,,,,,
Andorra,AND,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
United Arab Emirates,ARE,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,2.55757803,,,,,,,,,,,,,,,1.216508505,,,,,,,,
Argentina,ARG,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.114085116,,,,,,,,,,,,,,,0.13308202,,,,,,,,
Armenia,ARM,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
American Samoa,ASM,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,5.713630395,,,,,,,,,,,,,,,4.083524184,,,,,,,,
Antigua and Barbuda,ATG,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,9.82174066,,,,,,,,,,,,,,,8.21521423,,,,,,,,
Australia,AUS,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,1.025681697,,,,,,,,,,,,,,,0.891658665,,,,,,,,
Austria,AUT,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
