Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Rural population growth (annual %),SP.RUR.TOTL.ZG,3.710577036,3.312759436,2.475631412,1.874806829,1.673854961,1.572139772,1.666914994,1.839591516,1.880382921,1.891066725,1.87556634,1.769301372,1.148537815,0.780749035,0.691191802,0.601745854,0.520623218,0.442422772,0.358555441,0.287255738,0.213237457,-0.133220116,-0.347205183,-0.417236293,
Afghanistan,AFG,Rural population growth (annual %),SP.RUR.TOTL.ZG,3.961296941,1.325806085,0.625666868,6.331047782,7.422603719,3.743680311,3.314227377,3.875414618,1.525627223,1.732743176,3.289663734,2.621229215,3.412449184,3.798482719,3.185536778,3.374205965,2.834510708,2.292555436,2.559272446,2.556908766,2.56029651,2.767723855,2.461274744,2.123806465,
Angola,AGO,Rural population growth (annual %),SP.RUR.TOTL.ZG,0.930256897,0.88794687,0.878350985,0.868889745,0.891201637,0.923422382,0.92667002,1.840393911,1.86616167,1.870259779,1.874463434,1.889525487,1.888973109,1.866160149,1.822269381,1.747263494,1.680549129,1.644296557,1.607594751,1.526050949,1.454033348,1.333900536,1.233383566,1.169889508,
Albania,ALB,Rural population growth (annual %),SP.RUR.TOTL.ZG,-1.594233873,-1.614394032,-2.136817959,-2.169088757,-2.289748621,-2.382000972,-2.518952622,-2.686833451,-2.860733909,-2.921578419,-2.867395703,-2.743291493,-2.561111693,-2.508854494,-2.524864649,-2.556585404,-2.638588443,-2.505938185,-2.432825322,-2.578121102,-2.746066612,-2.878003312,-3.214804211,-3.482671893,
Andorra,AND,Rural population growth (annual %),SP.RUR.TOTL.ZG,4.329129203,4.308733946,6.935087384,9.449997113,9.297408923,9.069745089,8.599202682,5.298753855,2.189382885,0.059805037,-2.102542411,-2.372531894,-0.514011036,1.459879942,1.328923212,1.190779563,0.997544478,1.930539024,2.60506772,2.315833514,2.405235101,2.327440475,2.18075537,1.386755122,
United Arab Emirates,ARE,Rural population growth (annual %),SP.RUR.TOTL.ZG,3.747487075,3.447877737,3.174295361,2.912071867,2.667035094,2.43240442,4.775483209,11.28340696,15.94317614,15.23170663,11.26289385,3.794882848,-1.038489089,-1.07375035,-1.1027715,-1.134412393,-1.153691465,-1.188305882,-1.217269875,-1.223096961,-1.221806201,-1.162237724,-1.122168711,-1.131758297,
Argentina,ARG,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.579781,-0.601445456,-0.638083047,-0.637198372,-0.659646637,-0.68608506,-0.667304254,-0.675121506,-0.702067992,-0.724676159,-0.700442043,-1.456277026,-0.3997476,-0.32770453,-0.332978803,-0.374035542,-0.393992379,-0.412892629,-0.430673051,-0.46153037,-0.506115919,-0.53958153,-0.55955889,-0.604271965,
Armenia,ARM,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.271829247,-0.378358783,-0.331122131,-0.483303207,-0.399993856,-0.321386885,-0.327518996,-0.409428167,-0.456537952,-0.427837162,-0.368497347,-0.335226341,-0.316328844,-0.225816653,-0.241765086,-0.254544962,-0.319824388,-0.436095044,-0.543530334,-0.664961112,-0.754200198,-0.788976479,-0.845109531,-0.766181006,
American Samoa,ASM,Rural population growth (annual %),SP.RUR.TOTL.ZG,-3.70465911,-2.818759532,1.003077502,0.579281234,0.428582641,0.294507649,0.17628916,0.102692006,0.029321214,-0.043985046,-0.102707074,-0.10281267,-0.250128873,-0.502142541,-0.728140523,-1.004280344,-1.243005242,-1.506098855,-1.749497918,-1.989402763,-2.259707628,-2.463506739,-2.664091982,-1.90448667,
Antigua and Barbuda,ATG,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.250386652,2.193005061,2.101741991,2.214645748,2.048843987,2.000486126,2.047962927,2.136807263,2.219193157,2.320041123,2.335347343,2.152408918,1.922548581,1.321214616,1.170868375,1.066002235,1.020667894,0.8943521,0.788805741,0.705946805,0.657868635,0.687849322,0.667546869,0.626473656,
