Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Rural population,SP.RUR.TOTL,45929.0,47476.0,48666.0,49587.0,50424.0,51223.0,52084.0,53051.0,54058.0,55090.0,56133.0,57135.0,57795.0,58248.0,58652.0,59006.0,59314.0,59577.0,59791.0,59963.0,60091.0,60011.0,59803.0,59554.0,
Afghanistan,AFG,Rural population,SP.RUR.TOTL,15027717.0,15228282.0,15323859.0,16325389.0,17583264.0,18254002.0,18869118.0,19614729.0,19916271.0,20264376.0,20942092.0,21498290.0,22244569.0,23105778.0,23853670.0,24672275.0,25381619.0,25970228.0,26643455.0,27333488.0,28042342.0,28829317.0,29547690.0,30181937.0,
Angola,AGO,Rural population,SP.RUR.TOTL,8110431.0,8182768.0,8254958.0,8326997.0,8401539.0,8479480.0,8558422.0,8717389.0,8881597.0,9049269.0,9220494.0,9396374.0,9575556.0,9755929.0,9935338.0,10110460.0,10281807.0,10452268.0,10621656.0,10784991.0,10942954.0,11089900.0,11227528.0,11359649.0,
Albania,ALB,Rural population,SP.RUR.TOTL,1828925.0,1799636.0,1761589.0,1723790.0,1684768.0,1645111.0,1604189.0,1561661.0,1517619.0,1473922.0,1432259.0,1393502.0,1358266.0,1324613.0,1291587.0,1258985.0,1226200.0,1195854.0,1167112.0,1137407.0,1106598.0,1075204.0,1041188.0,1005551.0,
Andorra,AND,Rural population,SP.RUR.TOTL,4815.0,5027.0,5388.0,5922.0,6499.0,7116.0,7755.0,8177.0,8358.0,8363.0,8189.0,7997.0,7956.0,8073.0,8181.0,8279.0,8362.0,8525.0,8750.0,8955.0,9173.0,9389.0,9596.0,9730.0,
United Arab Emirates,ARE,Rural population,SP.RUR.TOTL,625398.0,647337.0,668215.0,687960.0,706555.0,723952.0,759363.0,850066.0,996995.0,1161030.0,1299444.0,1349704.0,1335760.0,1321494.0,1307001.0,1292258.0,1277435.0,1262345.0,1247072.0,1231912.0,1216952.0,1202890.0,1189467.0,1176081.0,
Argentina,ARG,Rural population,SP.RUR.TOTL,4049427.0,4025145.0,3999543.0,3974139.0,3948010.0,3921016.0,3894938.0,3868731.0,3841665.0,3813926.0,3787305.0,3732551.0,3717660.0,3705497.0,3693179.0,3679391.0,3664923.0,3649822.0,3634137.0,3617403.0,3599141.0,3579773.0,3559798.0,3538352.0,
Armenia,ARM,Rural population,SP.RUR.TOTL,1123810.0,1119566.0,1115865.0,1110485.0,1106052.0,1102503.0,1098898.0,1094408.0,1089423.0,1084772.0,1080782.0,1077165.0,1073763.0,1071341.0,1068754.0,1066037.0,1062633.0,1058009.0,1052274.0,1045300.0,1037446.0,1029293.0,1020631.0,1012841.0,
American Samoa,ASM,Rural population,SP.RUR.TOTL,6836.0,6646.0,6713.0,6752.0,6781.0,6801.0,6813.0,6820.0,6822.0,6819.0,6812.0,6805.0,6788.0,6754.0,6705.0,6638.0,6556.0,6458.0,6346.0,6221.0,6082.0,5934.0,5778.0,5669.0,
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,49837.0,50942.0,52024.0,53189.0,54290.0,55387.0,56533.0,57754.0,59050.0,60436.0,61864.0,63210.0,64437.0,65294.0,66063.0,66771.0,67456.0,68062.0,68601.0,69087.0,69543.0,70023.0,70492.0,70935.0,
Australia,AUS,Rural population,SP.RUR.TOTL,2940357.0,2999891.0,3064677.0,3075954.0,3087676.0,3096947.0,3110866.0,3128998.0,3161216.0,3199492.0,3240082.0,3264665.0,3283984.0,3318631.0,3353116.0,3380029.0,3405449.0,3435109.0,3466571.0,3491861.0,3515460.0,3529080.0,3502976.0,3513869.0,
Austria,AUT,Rural population,SP.RUR.TOTL,3157687.0,3187562.0,3222225.0,3260666.0,3299328.0,3342824.0,3388796.0,3428840.0,3463449.0,3497858.0,3530644.0,3562894.0,3598756.0,3612504.0,3617832.0,3629979.0,3654565.0,3677700.0,3686708.0,3686762.0,3683835.0,3678385.0,3672325.0,3684012.0,
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,3896779.0,3912746.0,3926875.0,3939942.0,3953356.0,3971421.0,3995444.0,4022610.0,4051232.0,4119674.0,4188204.0,4218775.0,4252916.0,4286937.0,4318074.0,4345898.0,4369801.0,4388966.0,4400516.0,4405307.0,4407577.0,4400904.0,4381941.0,4343714.0,
Burundi,BDI,Rural population,SP.RUR.TOTL,5683541.0,5787529.0,5918664.0,6071677.0,6249682.0,6469754.0,6696167.0,6921702.0,7160953.0,7440530.0,7805682.0,8155352.0,8423640.0,8698973.0,8984203.0,9259032.0,9431523.0,9552623.0,9738163.0,9995643.0,10287647.0,10545078.0,10786763.0,11031286.0,
Belgium,BEL,Rural population,SP.RUR.TOTL,300145.0,294313.0,289464.0,285082.0,280571.0,276160.0,272130.0,268551.0,265111.0,261859.0,258792.0,255937.0,254101.0,250572.0,246734.0,242900.0,239464.0,235807.0,231939.0,228427.0,225069.0,221657.0,218168.0,215837.0,
Benin,BEN,Rural population,SP.RUR.TOTL,4207907.0,4315471.0,4424587.0,4530712.0,4631064.0,4733654.0,4845400.0,4953435.0,5053924.0,5159607.0,5266858.0,5375270.0,5484900.0,5595366.0,5706707.0,5820544.0,5937048.0,6054660.0,6173197.0,6291307.0,6408115.0,6521955.0,6632056.0,6738656.0,
Burkina Faso,BFA,Rural population,SP.RUR.TOTL,9553704.0,9762505.0,9978658.0,10199547.0,10424994.0,10654996.0,10887626.0,11118137.0,11363537.0,11621238.0,11881653.0,12146783.0,12419447.0,12704037.0,12989920.0,13275977.0,13564948.0,13852529.0,14134437.0,14405827.0,14670338.0,14935196.0,15196430.0,15446047.0,
Bangladesh,BGD,Rural population,SP.RUR.TOTL,97345170.0,98716621.0,99943164.0,100932171.0,101791806.0,102546176.0,103135334.0,103381656.0,103436270.0,103295671.0,103121684.0,103188230.0,103307619.0,103432288.0,103566785.0,103659677.0,103681684.0,103727348.0,103777884.0,103723251.0,103604879.0,103504655.0,103398765.0,103206552.0,
Bulgaria,BGR,Rural population,SP.RUR.TOTL,2571814.0,2541005.0,2469539.0,2388453.0,2342006.0,2297078.0,2252963.0,2209465.0,2167172.0,2126239.0,2087198.0,2048433.0,2010650.0,1974416.0,1938841.0,1903435.0,1866995.0,1829783.0,1792408.0,1755697.0,1719734.0,1685936.0,1648939.0,1528155.0,
Bahrain,BHR,Rural population,SP.RUR.TOTL,80454.0,82726.0,84936.0,87008.0,90410.0,96689.0,104424.0,112129.0,119786.0,127356.0,134705.0,137943.0,137025.0,137659.0,140866.0,145339.0,149849.0,153794.0,157542.0,159339.0,158474.0,155046.0,151858.0,151007.0,
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,58213.0,58480.0,59171.0,59813.0,60475.0,61152.0,61847.0,62563.0,63300.0,64059.0,64833.0,65595.0,66232.0,66738.0,67119.0,67444.0,67756.0,67981.0,68133.0,68224.0,68241.0,68104.0,67855.0,67680.0,
Bosnia and Herzegovina,BIH,Rural population,SP.RUR.TOTL,2405883.0,2407974.0,2403780.0,2392506.0,2370935.0,2334584.0,2294239.0,2261084.0,2220323.0,2172020.0,2123495.0,2074833.0,2025863.0,1976850.0,1934707.0,1898380.0,1861795.0,1826891.0,1793080.0,1759737.0,1726532.0,1691724.0,1654279.0,1621904.0,
Belarus,BLR,Rural population,SP.RUR.TOTL,3059960.0,2996577.0,2933092.0,2867027.0,2800401.0,2735436.0,2671686.0,2611003.0,2555356.0,2503383.0,2454844.0,2402066.0,2347623.0,2295865.0,2247579.0,2202165.0,2158923.0,2115365.0,2068303.0,2020372.0,1974004.0,1924485.0,1868889.0,1815531.0,
Belize,BLZ,Rural population,SP.RUR.TOTL,126649.0,131266.0,135510.0,139861.0,144283.0,148772.0,153329.0,157946.0,162616.0,167318.0,172024.0,176424.0,180495.0,184553.0,188606.0,192604.0,196468.0,200204.0,203829.0,207370.0,210633.0,213159.0,215213.0,217242.0,
Bermuda,BMU,Rural population,SP.RUR.TOTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bolivia,BOL,Rural population,SP.RUR.TOTL,3268951.0,3283512.0,3296749.0,3312530.0,3328768.0,3344495.0,3359918.0,3375431.0,3390940.0,3405346.0,3419056.0,3431952.0,3443860.0,3454705.0,3470209.0,3488305.0,3505243.0,3521044.0,3535867.0,3548811.0,3559929.0,3566167.0,3566464.0,3565773.0,
Brazil,BRA,Rural population,SP.RUR.TOTL,33836764.0,33078329.0,32874746.0,32702375.0,32502533.0,32287566.0,32065630.0,31829502.0,31577815.0,31311178.0,31037220.0,30758775.0,30459099.0,30150639.0,29836667.0,29517926.0,29198282.0,28873460.0,28546414.0,28227475.0,27904512.0,27559886.0,27182995.0,26795765.0,
Barbados,BRB,Rural population,SP.RUR.TOTL,173951.0,175131.0,176133.0,177376.0,178598.0,179799.0,180978.0,182142.0,183358.0,184694.0,186005.0,187161.0,188157.0,189049.0,189849.0,190560.0,191185.0,191730.0,192195.0,192574.0,192882.0,193142.0,193336.0,193416.0,
Brunei Darussalam,BRN,Rural population,SP.RUR.TOTL,95926.0,96291.0,96595.0,97130.0,97642.0,98067.0,98416.0,98686.0,98884.0,99019.0,99108.0,99168.0,99132.0,98991.0,98821.0,98614.0,98351.0,98021.0,97621.0,97151.0,96625.0,96075.0,95515.0,94946.0,
Bhutan,BTN,Rural population,SP.RUR.TOTL,431766.0,437951.0,443498.0,448376.0,452565.0,456066.0,457925.0,459756.0,460301.0,460496.0,460398.0,460046.0,459492.0,458857.0,458114.0,457145.0,455790.0,454145.0,452410.0,450437.0,448104.0,445612.0,443105.0,440632.0,
