,Year,"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
0,2003.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,1.171995547,2.677284167,0.018010582,368156.4246,34.683466945999996,11.11111111,0.02157474,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,20.428,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,50424.0,54.394,1.673854961,12.9350444574,180.0
1,2004.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,1.248594021,2.773688286,0.017566258,396089.3855,34.683466945999996,11.11111111,0.021381227,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,20.428,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,51223.0,54.76,1.572139772,12.9350444574,180.0
2,2005.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.316903458,0.378770414,0.017327777,408938.5475,34.683466945999996,11.11111111,0.021167829,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,20.428,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,52084.0,55.125,1.666914994,12.9350444574,180.0
3,2006.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,1.095953872,2.821705809,0.017507704,432402.2346,34.683466945999996,11.11111111,0.020919189,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,2.57,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,53051.0,55.489,1.839591516,12.9350444574,180.0
4,2007.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,1.006769112,2.645377463,0.017838596,477653.6313,34.683466945999996,11.11111111,0.020663932,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,1.9630000000000003,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,54058.0,55.853,1.880382921,12.9350444574,180.0
5,2008.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.243534905,2.540628588,0.016997399,483240.2235,34.683466945999996,11.11111111,0.020408996,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,1.9630000000000003,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,55090.0,56.217,1.891066725,12.9350444574,180.0
6,2009.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.025964463,0.655209723,0.019906853,508379.8883,34.683466945999996,11.11111111,0.020158852,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,1.355,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,56133.0,56.579,1.87556634,12.9350444574,180.0
7,2010.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.158576853,0.830182228,0.020492088,502793.2961,34.683466945999996,11.11111111,0.019932032,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,2.745,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,57135.0,56.941,1.769301372,12.9350444574,180.0
8,2011.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.097867573,0.827502401,0.020394903,537988.8268,34.683466945999996,11.11111111,0.019745676,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,17.361,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,57795.0,57.06,1.148537815,12.9350444574,180.0
9,2012.0,100.0,33.081477273999994,11.11111111,20.0,175.6,117.06666666599999,71.937984498,124.86000000000001,50.823529412,46.02908000000001,0.031729305,0.256387543,0.021468749,561452.514,34.683466945999996,11.11111111,0.019586337,2000.0,748.0,139509.478,2474.38,105.47,45.596369761999995,38.8363324512,49.494307546,40.600420455999995,78.185,102.872,2.333333333,4.2,180.0,96820.0,94.32000000000001,2.083333333,63308.33239094601,26.0434986534,3282.889877714,58248.0,57.043,0.780749035,12.9350444574,180.0
