Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,,
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,,
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,,
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,,
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,,
United Arab Emirates,ARE,Surface area (sq. km),AG.SRF.TOTL.K2,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,,
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,,
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,,
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,,
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,,
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,,
Azerbaijan,AZE,Surface area (sq. km),AG.SRF.TOTL.K2,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,,
Burundi,BDI,Surface area (sq. km),AG.SRF.TOTL.K2,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,,
